8/5p2/1p1k1Kp1/3p1b2/1P1N4/8/2P5/8 w - -,d4b5 d6d7 b5d4 f5e4 c2c3 d7d6 d4b5 d6c6 b5d4 c6d7
8/6p1/4k3/2p4r/5R1P/6K1/8/8 w - -,f4g4 e6f6 g4a4 g7g5 h4g5 h5g5 g3f4 g5d5 a4a6 f6e7
r1bq1rk1/pppp1ppp/2n2n2/8/2BP4/2P2N2/P1Q2PPP/R1B2RK1 w - -,d4d5 c6e7 c1g5 e7g6 h2h4 d7d6 h4h5 g6e5 f3e5 d6e5
2r3k1/1p3pp1/1q2nbp1/p2p4/P2P1P2/1NPQ2B1/6PP/1R4K1 w - -,b3c1 b6c6 c1e2 c6a4 b1b7 a4a3 d3d1 a3a2 g1f1 a2c4
rnbqk2r/ppp2ppp/3bp3/3p4/2PPn3/2N2N2/PP1BPPPP/R2QKB1R w KQkq -,c4d5 e4c3 b2c3 e6d5 d1b3 c7c6 e2e3 b8d7 c3c4 c6c5
2q2rk1/3n1pbp/1r1p2p1/1ppP4/4P3/3B1P2/1PQ3PP/R1B2RK1 w - -,g2g3 c5c4 d3e2 d7c5 c1e3 b6b8 a1a3 c5b3 f1d1 f7f5
1rbq1rk1/p2nppbp/2np2p1/1pp2P2/4P1P1/2NP1N1P/PPP3B1/R1BQK2R w KQ -,c3e2 b5b4 e1h1 c8a6 g1h1 c5c4 d3d4 c4c3 b2c3 b4c3
2r2k2/4ppbp/p1rpbnp1/3N4/2p1P1P1/1P2BP2/P2KB2P/2R4R w - -,e2c4 c8b8 d5f6 g7f6 c4e6 c6c1 h1c1 f7e6 c1c7 b8a8
r3kb1r/1p2pppp/2b2n2/2P5/1p6/2P2N2/P4PPP/RNBK3R w kq -,c1e3 f6d5 c3b4 d5b4 b1c3 g7g6 d1e2 f8g7 h1c1 e8h8
r2qkb1r/pp2pppp/1np2n2/8/3Pp1b1/1BP5/PP1NNPPP/R1BQK2R w KQkq -,b3c2 e7e6 d2e4 f6e4 c2e4 f8d6 d1d3 d8h4 g2g3 h4f6
r3k2r/pbqn1p1p/1p2pbp1/6N1/3P1p2/2PB3Q/P2B2PP/4RRK1 w kq -,e1e6 f7e6 h3e6 e8d8 g5f7 d8c8 d2f4 c7c6 f7d6 c8d8
r2qkbnr/pp2pppp/2n5/2ppP3/6b1/2P2N2/PP1PQPPP/RNB1KB1R w KQkq -,d2d3 e7e6 b1d2 g4h5 h2h3 d8c7 g2g3 g8e7 g3g4 h5g6
1rb2rk1/pp2p2p/2nq1ppQ/2p5/8/3P1NP1/PR2PPBP/5RK1 w - -,h2h4 c8g4 f3d2 c6d4 e2e3 d4f5 h6f4 d6f4 e3f4 f5d6
r4rk1/1p1n1pb1/2p1p2q/P2p1b2/1P1P2pp/3BPN1P/1B3PP1/2RQ1RK1 w - -,d3f5 e6f5 h3g4 f5g4 f3e5 d7e5 d4e5 h6h5 f2f4 f7f6
r3kbnr/pp1q1ppp/4p3/4P3/Q2n4/8/PP1P1PPP/RNB1K2R w KQkq -,b2b3 d7a4 b3a4 d4c2 e1d1 c2a1 c1b2 f8b4 b2a1 g8e7
6r1/1k1nbp2/2nqb1pB/2p1p3/1pP1P3/1P1N1BQP/3N1PP1/R5K1 w - -,f3e2 g6g5 h3h4 c6d4 g1f1 f7f6 d2f3 g8g6 f3d4 d6d4
r2q1rk1/6bp/p1p1pnp1/2p1p1B1/4N2Q/3P1b2/PPP3PP/R4RK1 w - -,g2f3 d8d4 g1g2 f6e4 h4e4 d4d5 g5e3 f8f5 a2a3 a6a5
r1bq1rk1/pp2bppp/2n1pn2/4p3/3P4/2NB1N2/PP3PPP/R1BQ1RK1 w - -,d4e5 f6d7 d1c2 h7h6 f1e1 c6b4 d3h7 g8h8 c2b1 d7b6
8/1p2qp1k/3Np1pn/P1r1n2r/2BQ3p/7P/5PP1/2R1R1K1 w - -,c1d1 e5c4 d6c4 h5d5 d4e4 d5d1 e1d1 h6f5 d1b1 e7c7
r2q1rk1/1p2pp1p/p2p2p1/n2P4/6P1/1pN1PN1P/P1Q2PB1/b1B2RK1 w - -,c2d1 a1c3 a2b3 d8b6 c1d2 a8c8 f3d4 b6b4 d2c3 c8c3
r4k2/2pr1pp1/2P4p/2b1P3/2B2P2/6P1/6KP/1R6 w - -,g2h3 d7d2 b1b5 c5g1 h3g4 d2h2 e5e6 f7e6 c4e6 f8e7
r2qkbnr/pp2pppp/2n5/2ppP3/8/2P2b1P/PP1PQPP1/RNB1KB1R w KQkq -,e2f3 c6e5 f1b5 e5c6 c3c4 e7e6 b1c3 g8f6 c4d5 e6d5
2kr3r/1pqbbpp1/p1nppn2/6p1/2BNP2P/2N1BP2/PPPQ4/2KR3R w - -,h4g5 h8h1 d1h1 f6e8 c4b3 c8b8 d4c6 b7c6 f3f4 c6c5
r1r1n1k1/3bb1pp/p1npp1p1/q6P/1p1NP3/4BP2/PPPQN3/1K1R1B1R w - -,d4c6 c8c6 h5g6 h7g6 e2d4 a8c8 d4c6 c8c6 h1g1 e7f6
r4rk1/1p1n1pb1/2p1p2q/P2p1B2/1P1P3p/4Pp1P/1B3PP1/2RQ1RK1 w - -,f5d3 f3g2 g1g2 f8c8 g2h1 f7f5 f1g1 d7f6 d1e2 g8h7
8/7Q/2K2k2/3B4/8/8/8/8 w - -,f5d3 f3g2 g1g2 f8c8 g2h1 f7f5 f1g1 d7f6 d1e2 g8h7
r2qkb1r/p1p2ppp/3pbn2/1p2p3/1n6/1P1PPN2/PBPNQPPP/R3KB1R w KQkq -,e2d1 a8b8 c2c3 b4c6 f1e2 f8e7 e1h1 e8h8 d3d4 a7a6
1rbq1rk1/p2nppbp/2np2p1/2p2P2/1p2P1P1/2NP1N1P/PPP3B1/R1BQ1RK1 w - -,c3b1 d8b6 g1h1 c5c4 d3c4 c8a6 b1d2 c6e5 a2a3 e5c4
6r1/1k1nbp2/3qb1pB/2p1p3/1pPnP3/1P1N2QP/3NBPP1/R5K1 w - -,e2d1 g6g5 h3h4 f7f6 h4h5 f6f5 e4f5 e6f5 g3e3 d6h6
8/2K4Q/8/3B2k1/8/8/8/8 w - -,e2d1 g6g5 h3h4 f7f6 h4h5 f6f5 e4f5 e6f5 g3e3 d6h6
2q2rk1/5pbp/1r1p2p1/1ppPn3/4P3/3BBP2/1PQ3PP/R4RK1 w - -,f1b1 e5d3 c2d3 b5b4 a1a7 f7f5 e4f5 c8f5 d3f5 f8f5
r1bq1rk1/ppp2ppp/2np4/2b1P3/2B2Bn1/2P2N2/PP3PPP/RN1Q1RK1 w - -,e5d6 d8f6 f4g3 c5d6 g3d6 c7d6 f1e1 g4e5 b1d2 c8g4
r1bq1rk1/pp2bppp/2n5/3pP3/8/3B1N2/PP3PPP/R1BQ1RK1 w - -,h2h3 c8e6 a2a3 d8d7 f1e1 f8d8 b2b4 e6f5 d3f5 d7f5
8/8/4k1p1/2p4r/2R4P/6K1/8/8 w - -,c4g4 e6f6 g4a4 h5e5 a4a8 e5e4 a8c8 c5c4 c8c5 e4d4
r1bq1r2/1ppn1pbk/3p2pp/2nPp3/p1P1P1PP/2N1BP2/PP1QB3/2KR2NR w - -,h4h5 g6g5 e2d3 c5d3 d2d3 b7b6 d3c2 a8a5 g1e2 c8a6
rnbq1rk1/1p3ppp/2pb4/3np3/p7/P2P1N2/BPP2PPP/RNBQ1RK1 w - -,
1r4k1/p3b1pp/2p1N3/2P2p2/1nP5/2K4P/P4P2/RR6 w - -,a2a3 e7f6 e6d4 b4a2 c3d3 b8d8 a1a2 d8d4 d3e2 d4e4
8/2K3Q1/8/3B4/5k2/8/8/8 w - -,a2a3 e7f6 e6d4 b4a2 c3d3 b8d8 a1a2 d8d4 d3e2 d4e4
6r1/1k1nbp2/3qb1pB/2p1p3/1pP1P3/1P1N2QP/3NnPP1/R4K2 w - -,
1rbq1rk1/p3ppbp/2np2p1/1pp1nP2/4P1P1/2NP1N1P/PPP3B1/R1BQ1RK1 w - -,f3h2 b5b4 c3e2 e7e6 c1e3 g8h8 e2g3 a7a5 d1d2 a5a4
r3k2r/1p2bppp/p1n2n2/2pp4/P5b1/2P2N2/BP1P1PPP/RNB2RK1 w kq -,g1h1 e8a8 d2d4 g4f3 g2f3 c5d4 f1d1 d4c3 b1c3 d5d4
8/8/8/2K3R1/kP6/5r2/8/8 w - -,
r1bqkb1r/pp3ppp/2n2n2/2ppp3/4P3/2PP2P1/PPQ2P1P/RNB1KBNR w KQkq -,c1g5 d5d4 b1d2 f8e7 a2a4 h7h6 g5f6 e7f6 f1g2 c8e6
3r3k/6p1/2p4p/R7/1PP5/7r/2PK1PR1/8 w - -,d2c1 h3h4 a5c5 d8d4 c1b2 d4c4 c5c4 h4c4 b2b3 c4f4
8/1p2kp2/3p3q/2p1p1p1/p1P1P1Pr/PnBPQ2P/1P3P2/1K5R w - -,h1h2 h4g4 h3g4 h6h2 e3g5 e7d7 g5e3 h2g1 e3e1 g1g4
r7/1b1nkp2/3pp3/1p3Pqp/2pPP1p1/2P3P1/1PBNQ1P1/5RK1 w - -,e4e5 d6e5 d4e5 e6f5 c2f5 a8d8 f1f4 d7c5 e2f2 d8d5
2rq1rk1/1p2pp1p/p2p2p1/n2P4/6P1/1PN1PN1P/2Q2PB1/b1B2RK1 w - -,c1d2 a1c3 d2c3 b7b5 c2b2 d8c7 f1c1 b5b4 c3d2 c7b7
r1bq1r2/1ppn1pbk/3p3p/2nPp1pP/p1P1P1P1/2N1BP2/PP1QB3/2KR2NR w - -,e2d3 c7c6 g1e2 d8a5 e2g3 c5d3 d2d3 d7c5 e3c5 a5c5
r1r1n1k1/3bbppp/p1npp3/q5PP/1p1NP3/4BP2/PPPQN3/1K1R1B1R w - -,g5g6 c6e5 e2f4 e7f6 g6f7 g8f7 d2g2 a5c7 g2h3 e5c4
rnbqk2r/ppp2ppp/3p1n2/2b1p3/4PP2/2NB4/PPPP2PP/R1BQK1NR w KQkq -,f4e5 d6e5 g1f3 f6g4 d1e2 g4f2 d3b5 c7c6 h1f1 c6b5
r1bq1rk1/ppp2ppp/2n2n2/3p4/2BP4/2P2N2/P1Q2PPP/R1B1R1K1 w - -,c4d3 h7h6 h2h3 f8e8 c1f4 e8e1 a1e1 c8e6 c2b1 a8b8
r3kb1r/1p2pppp/2b5/2Pn4/1P6/5N2/P4PPP/RNBK3R w kq -,a2a3 d5b4 b1c3 f7f6 f3d4 a8d8 a3b4 d8d4 d1c2 d4b4
1rbq1rk1/p3ppbp/3p2p1/1ppNnP2/1n2P1P1/3P1N1P/PPP3B1/R1BQ1RK1 w - -,f3e5 g7e5 d5b4 e5d4 g1h1 c5b4 a1b1 d4g7 d1e1 d8c7
r4rk1/1p4b1/2p1pn1q/P2p1p2/1P1P3p/4PB1P/1B3PK1/2RQ1R2 w - -,b2a3 f5f4 b4b5 f8f7 b5c6 f4e3 c6c7 a8c8 a3d6 e3f2
6r1/1k1nbp2/3qb2B/2p1p1p1/1pPnP3/1P1N2QP/3NBPP1/R4K2 w - -,h3h4 f7f6 h4h5 g8h8 h6g7 h8h7 h5h6 e7f8 g7f8 d6f8
8/8/6p1/2pk3r/2R3KP/8/8/8 w - -,c4c1 c5c4 g4f4 d5d4 c1d1 d4c5 d1g1 h5h4 f4e3 c5b4
6r1/ppn5/2pR2Bp/2P3R1/8/2P2k1P/P5r1/2K5 w - -,c4c1 c5c4 g4f4 d5d4 c1d1 d4c5 d1g1 h5h4 f4e3 c5b4
2k5/8/2K5/2B2P2/7b/8/8/8 w - -,c5b6 h4g5 c6d6 g5f6 b6a5 f6h4 d6e6 h4g5 a5c3 g5h4
r1bqk1nr/1ppp1ppp/2n5/p3p3/1bP5/2NP1N2/PP2PPPP/R1BQKB1R w KQkq -,g2g3 g8f6 f1g2 e8h8 e1h1 d7d6 c1d2 h7h6 f1e1 f8e8
2q2rk1/5pbp/1r1p2p1/1ppP4/2n1P3/4BP2/1PQ1B1PP/R4RK1 w - -,e3f2 c4b2 a1b1 b2a4 b1b5 b6b5 e2b5 a4c3 b5c6 c8a6
1rbq1rk1/p4pbp/2npp1p1/1ppNnP2/4P1P1/3P1N1P/PPP3B1/R1BQ1RK1 w - -,d5f4 b5b4 f3h2 a7a5 c1e3 a5a4 g1h1 f8e8 d1d2 c6d4
r3k2r/p4pbp/1p1pp3/2n5/2P5/2PB1q2/P1QB1P1P/R3K2R w KQkq -,d3f1 f3h1 d2e3 h1h2 e3d4 g7e5 e1a1 h8g8 c1b2 e8e7
r1bqk2r/pppn1ppp/3p1n2/1Bb5/4Pp2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,d2d4 c5b4 b5d3 c7c5 e1h1 c5d4 c3d5 f6d5 e4d5 d8f6
rnb1kb1r/ppp2ppp/4p3/3pP3/3P4/5PqN/PPP5/RNBQKB1R w KQkq -,h3f2 c7c5 h1h3 g3g6 b1c3 c8d7 d4c5 b8c6 f2d3 f8e7
6r1/1k1nb3/3qbp1B/2p1p1p1/1pPnP2P/1P1N2Q1/3NBPP1/R4K2 w - -,h4h5 g8h8 h6g7 h8h7 h5h6 e7f8 g7f8 d6f8 a1a2 h7h6
r4rk1/3bbppp/p1nppn2/q6P/1p1NP1P1/4BP2/PPPQN3/2KR1B1R w - -,d4c6 d7c6 c1b1 h7h6 e2d4 f8c8 f1d3 c6b5 d1g1 f6h7
8/8/4k1p1/7r/2p4P/6K1/8/2R5 w - -,
r1bqk1nr/pp1n1ppp/3p4/2pPp3/4P3/2N2N2/PPP1BPPP/R1Q1K2R w KQkq -,c3b5 d7f6 c1g5 e8f8 f3d2 a7a6 b5c3 b7b5 a2a4 b5b4
r1b1kb1r/1pp1p1pp/p1nq1n2/1B3pB1/3Pp3/2N2P2/PPPQ2PP/R3K1NR w KQkq -,g5f6 e7f6 b5c6 d6c6 e1a1 f8b4 d4d5 b4c3 d5c6 c3d2
r3k2r/1p2bppp/p1n2n2/2pp4/P7/2P5/BP1PbPPP/RNB1NRK1 w kq -,a2b3 e8h8 d2d3 f8d8 b1d2 b7b5 e1f3 e2f1 g1f1 c5c4
6r1/1k1nb3/3qb2B/2p1p1p1/1pPnP3/1P1N2Q1/3NBPP1/R4K2 w - -,g3h2 g8h8 d2f3 d4f3 g2f3 e6f7 f1g2 h8h6 h2g3 f7e6
7k/6p1/7p/8/4Q3/1P6/q3K1R1/7r w - -,e2f3 a2b3 f3f2 b3f7 f2g3 f7c7 g3f2 c7c5 f2g3 h1f1
8/ppn5/2pR2rp/2P3R1/4k3/2P4P/P5r1/2K5 w - -,d6d4 e4f3 g5f5 f3g3 d4d6 g3h2 f5f7 c7e6 f7b7 e6c5
8/5K2/1p1k4/3p1p1b/1P1N4/2P5/8/8 w - -,
r3kb1r/ppp2ppp/2q1b3/8/4p3/2P5/PP1P1PPP/RNBQR1K1 w kq -,f2f3 e8a8 f3e4 d8d3 d1e2 f8c5 g1h1 h8d8 b2b4 c5e7
r4r1k/1p4bq/2p1p3/P2p1p2/1P1Pn2p/4PB1P/1B2QP2/2R3RK w - -,b4b5 a8a5 b5c6 b7c6 c1c6 g7f6 c6e6 f8g8 f3e4 g8g1
r2qnrk1/pb1nbppp/1pp1p3/3p4/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,b2b3 e8d6 d1d3 b7a6 d3c2 d5c4 f4d6 e7d6 b3c4 d6e7
2r2k2/1p1nppbp/p1rpb1p1/8/2P1P1P1/1PN1BP2/P2KB2P/2R4R w - -,c3d5 d7c5 h2h4 h7h6 d2c2 a6a5 c2b1 c6a6 h1d1 f8e8
r1bqk1nr/1ppp1ppp/2n5/p3p3/2P5/P1bP1N2/1P2PPPP/R1BQKB1R w KQkq -,d1d2 c3d2 c1d2 d7d6 d3d4 e5d4 e2e3 g8f6 e3d4 e8h8
7r/1k1nb3/3qb2B/2p1p1p1/1pPnP3/1P1N4/3NBPPQ/R4K2 w - -,d2f3 d4f3 g2f3 e6f7 a1a5 h8h6 h2g1 e7d8 a5b5 b7c8
