r2qk2r/ppp2ppp/2n1pn2/8/QbPP2b1/2N2N2/PP2BPPP/R1B1K2R w KQkq -,e1h1 e8h8 h2h3 g4h5 c1e3 h7h6 a1d1 b4c3 b2c3 a7a6
r1b1k2r/ppppqppp/2n5/3P4/2B5/2nQ1N2/P4PPP/R1B1K2R w KQkq -,c1e3 c3d5 d3d5 e8h8 e1h1 d7d6 a1c1 h7h6 d5d2 c8g4
rn1qkb1r/pp2pppp/2p2nb1/3p4/3P2P1/1P1BPP2/P1P4P/RNBQK1NR w KQkq -,b1c3 b8d7 g4g5 f6h5 f3f4 e7e6 c1b2 f8d6 g1f3 d8e7
R7/8/8/2k2K2/1p6/2p5/8/8 w - -,c1b2 e7e6 b1c3 d8a5 g4g5 f6h5 d1d2 g6d3 d2d3 f8e7
3qrnk1/1p2r2p/2b1p1pQ/6N1/8/PB5P/1P3RP1/5R1K w - -,c1b2 e7e6 b1c3 d8a5 g4g5 f6h5 d1d2 g6d3 d2d3 f8e7
4r1kr/3R3p/p4p1B/1pp2p2/8/1PPP4/1P3PPP/R5K1 w - -,d7g7 g8f8 g7a7 f8g8 b3b4 a6a5 b4c5 b5b4 c3b4 a5a4
r2qk1nr/pp3ppp/2nbp3/1Bpp1b2/3P1B2/2P1PN2/PP1N1PPP/R2QK2R w KQkq -,b5c6 b7c6 d1a4 g8e7 f4d6 d8d6 a4a3 d6b8 d4c5 a7a5
r1bq1rk1/ppp1bppp/3p1n2/n3p1B1/2B1P3/2NP1N1P/PPP2PP1/R2Q1RK1 w - -,g5e3 a5c4 d3c4 c7c6 d1e2 d8a5 a1d1 f8d8 a2a3 h7h6
r3kb1r/pp2pppp/n1p2n2/3p1b2/3P1B2/2N1P3/PqPQ1PPP/R3KBNR w KQkq -,f1a6 b2a1 c3d1 b7a6 g2g4 f5g4 f2f3 g4d7 g1e2 a1b1
r1bqk1nr/ppppb1pp/5p2/n2PP3/5B2/2N2N2/PPP3PP/R2QKB1R w KQkq -,d5d6 f6e5 f4e5 e7f6 d1e2 e8f8 e1a1 c7c5 e2f2 b7b6
r3kb1r/pp2pppp/2n2n2/q7/3P4/1QN2b2/PP2BPPP/R1B1K2R w KQkq -,c1e3 f3g2 h1g1 g2d5 b3b7 a8b8 b7a6 a5a6 e2a6 c6b4
rn2k2r/p1ppbppp/1p2p3/4P3/3P3q/P1NB1P2/1PPQ1P1P/R3K2R w KQkq -,f3f4 f7f6 c3e2 b8c6 e1a1 e8h8 h1g1 f6e5 d4e5 e7c5
rnb1kbnr/ppp1qppp/8/8/3pN3/5P2/PPPP2PP/R1BQKBNR w KQkq -,d1e2 b8c6 d2d3 c8d7 e4g3 d7e6 g1h3 e7b4 e2d2 e6h3
r3kb1r/pp2pppp/5n2/q7/3n4/1QN2B2/PP3PPP/R1B1K2R w KQkq -,f3c6 b7c6 b3b7 a8d8 c1e3 d8d7 b7c8 a5d8 c8d8 e8d8
r1bq2rk/1p1p4/p1n1pP1p/3n4/4NR2/1N1Bb3/PPP3PP/R6K w - -,f4f3 c6e5 f6f7 g8f8 a1f1 e5f3 f1f3 d8e7 c2c4 d5f4
8/p1n1k1pp/P7/4P3/3q2Q1/6p1/4p1P1/7K w - -,f4f3 c6e5 f6f7 g8f8 a1f1 e5f3 f1f3 d8e7 c2c4 d5f4
r1bqk1nr/pp3ppp/2np4/2b1p3/8/P1N2N2/1PP1PPPP/R1BQKB1R w KQkq -,b2b4 c5b6 e2e3 g8f6 c3a4 e8h8 c1b2 b6c7 c2c4 f8e8
8/5k2/8/8/4P1K1/8/8/8 w - -,b2b4 c5b6 e2e3 g8f6 c3a4 e8h8 c1b2 b6c7 c2c4 f8e8
r2q1rk1/1bp2ppp/pb3n2/1p2p3/4P3/1PP1BN1P/1P3PP1/RN1QR1K1 w - -,b1d2 d8e7 b3b4 f8d8 d1c2 a8c8 c3c4 b6e3 e1e3 c7c5
6k1/5p2/8/8/2p3p1/2P5/2K5/1q6 w - -,c2b1 g8g7 b1b2 g4g3 b2a3 g7f6 a3b4 g3g2 b4c4 g2g1q
rnb1k2r/pp3ppp/4pq2/3p4/1bP5/2N2N2/PP2PPPP/R2QKB1R w KQkq -,a1c1 d5c4 d1a4 b8c6 e2e3 f6g6 f1e2 a7a6 f3e5 g6e4
rnb1kbnr/pppp1ppp/5q2/8/2B1P3/2N5/PB3PPP/R2QK1NR w KQkq -,g1f3 b7b5 c4b3 b5b4 e4e5 f6f5 c3d5 b8a6 d5e3 f5g6
r3kb1r/pp2pppp/2n2n2/8/1q1P2b1/1QN2N2/PP2BPPP/R1B1K2R w KQkq -,b3b4 c6b4 e1h1 a8d8 h2h3 g4f3 e2f3 d8d7 c1f4 e7e6
3r4/4q1kp/1prpppp1/pNn5/P1P1P2P/1P2Q1P1/3R1PK1/3R4 w - -,e4e5 d8f8 e5f6 e7f6 b5d6 c6c7 d2e2 c7c6 d6e4 f6e5
4r1kr/5p1p/p6q/1pP2p2/1P6/2P5/1P3PPP/R5K1 w - -,g2g3 g8g7 c3c4 h6d2 g1g2 e8e1 a1e1 d2e1 c5c6 e1e4
3r2k1/p4pbp/2P3p1/q6n/5B2/1PN1QP2/1PP4P/1K5R w - -,c6c7 d8c8 b3b4 a5b4 h1d1 g7f6 f4e5 b4e7 f3f4 f6e5
r2qkb1r/pppn1pp1/4pn1p/1Q1p4/3P4/2N1PN2/PPP2PPP/R1B1K2R w KQkq -,b5b7 f8d6 b2b3 e8h8 b7a6 d8c8 a6c8 f8c8 c3a4 a7a5
r1bqk1nr/ppppb1pp/3P4/n3p3/5B2/2N2N2/PPP3PP/R2QKB1R w KQkq -,f4e5 e7d6 e5g7 d8e7 d1e2 b7b6 g7h8 c8b7 e1a1 e8a8
r1bqkb1r/pppp1p1p/2n3pn/4p2Q/2B5/3PP3/PPP2PPP/RNB1K1NR w KQkq -,h5f3 c6a5 b1c3 a5c4 d3c4 f8g7 e3e4 d7d6 h2h4 c8e6
r3qr1k/pp3p1p/2pn1b2/7Q/3pP3/2NB4/PPP3PP/R5K1 w - -,h5f3 c6a5 b1c3 a5c4 d3c4 f8g7 e3e4 d7d6 h2h4 c8e6
rnb1kb1r/pp2pppp/2pp1n2/q7/3P1P2/2N2N2/PPPB2PP/R2QKB1R w KQkq -,f1d3 a5b6 h2h3 g7g6 d1e2 c8f5 d3f5 g6f5 f3h4 b6a6
2r3k1/p1P2pbp/6p1/q6n/5B2/1PN1QP2/1PP4P/1K5R w - -,b3b4 a5b4 h1d1 g7f6 f4e5 b4e7 f3f4 f6e5 c3d5 e7c7
r1bq1rk1/1ppnb1pp/3pp3/p4p2/2PP4/2Q2NP1/PP1BPPBP/R4RK1 w - -,c3c2 d7f6 f1d1 d8e8 a1c1 f6e4 d2f4 g7g5 f4e3 e8h5
rnbqk2r/ppppppbp/6p1/2PnP3/5P2/3P4/PP4PP/RNBQKBNR w KQkq -,b1c3 d5c3 b2c3 b7b6 h2h4 h7h5 d1f3 b8c6 d3d4 e7e6
r1b2rk1/ppp1qppp/3p4/3Pn3/8/5NP1/PP1QPPBP/R3K2R w KQ -,f3e5 d6e5 a1c1 f7f5 c1c3 e7d6 e1h1 c8d7 d2c2 e5e4
2kr1bnr/pp2pppp/2n5/3q4/3P4/2N2b2/PP2BPPP/R1BQK2R w KQ -,c3d5 f3d5 e1h1 e7e6 c1f4 f8d6 f4d6 d8d6 a1c1 c8b8
r2q1rk1/ppp3pp/2nb1p2/8/3pB1bB/5N2/PPP2PPP/R2Q1RK1 w - -,d1d3 g8h8 e4c6 b7c6 f3d4 d6e5 d4c6 d8d3 c2d3 e5b2
rnb1kb1r/ppq1pppp/2pp1n2/8/3P1P2/2NB1N2/PPPB2PP/R2QK2R w KQkq -,h2h3 g7g6 g2g4 b7b5 a2a3 b8d7 d1e2 d7b6 f4f5 g6f5
r2qkb1r/pp3ppp/2n1bn2/2ppp3/8/2NPPN2/PPPBBPPP/R2QK2R w KQkq -,e1h1 h7h6 h2h3 f8e7 f3h2 d8d7 f2f4 e8h8 h2g4 f6g4
r1bq1rk1/p4ppp/2p1pn2/3p4/1b2P3/2NQ4/PPPBBPPP/R3K2R w KQ -,e4d5 c6d5 e1h1 f8e8 c3e4 b4d2 e4d2 e6e5 f1e1 d8b6
r6r/5pkp/pq3p2/Npp5/1P6/2PP4/1P3PPP/R1B1R1K1 w - -,c1e3 b6d6 b4c5 d6d5 a1d1 h8d8 b2b3 a8c8 h2h3 g7h8
2kr1bnr/pp2pppp/2n5/q7/3P4/2N2b2/PP2BPPP/R1BQ1RK1 w - -,d4d5 f3d5 b2b4 c6b4 c3d5 e7e6 c1d2 a5d5 d1a4 d5d2
r1bq1rk1/p2n1ppp/2p1p3/3pP3/1b6/2NQ4/PPPBBPPP/R3K2R w KQ -,f2f4 f7f6 d3h3 f6e5 h3e6 g8h8 e6c6 d7b6 e1h1 c8d7
2k2bnr/pp2pppp/2n5/q7/3r4/2N2B2/PP3PPP/R1BQ1RK1 w - -,d1e2 e7e6 c1e3 d4d8 a1c1 f8d6 c3b5 g8e7 b5d6 d8d6
r1bqk2r/ppppnppp/8/3P4/1b1Q4/2n2N2/PP3PPP/R1B1KB1R w KQkq -,a2a3 b4a5 b2c3 e7d5 c1d2 d5f6 e1a1 e8h8 d2g5 h7h6
rnbq1rk1/pp3pp1/2pbpn1p/3p4/2PP4/2NBPN1P/PP3PP1/R1BQK2R w KQ -,e1h1 b8d7 f1e1 d5c4 d3c4 e6e5 e3e4 e5d4 f3d4 d7e5
rn2kb1r/pp3ppp/2p1pn2/3p1b2/1qPP1B2/1PN1PN2/P4PPP/R2QKB1R w KQkq -,d1d2 f6e4 c3e4 f5e4 c4c5 a7a5 f3e5 f7f6 e5d3 b4d2
rn1qkbnr/ppp1p1pp/5p2/3pN2b/3P4/2N5/PPP1PPPP/R1BQKB1R w KQkq -,g2g4 f6e5 g4h5 e5d4 d1d4 e7e6 e2e4 b8c6 f1b5 g8e7
r2qkb1r/3b1ppp/p1nppn2/1p6/3NP3/1BN1B3/PPP1QPPP/R3K2R w KQkq -,e1a1 c6a5 f2f3 b5b4 c3a4 g7g6 e2d2 a8b8 g2g4 e6e5
r1b1kb1r/ppp2ppp/2n2n2/4p3/2P5/P1N1P3/1P3PPP/R1BqKBNR w KQkq -,e1d1 c8f5 g1f3 e8a8 d1e1 a7a5 f3h4 f5c2 c1d2 h7h6
rnb1kb1r/pp2pppp/3q1n2/8/3N4/2N5/PP2PPPP/R1BQKB1R w KQkq -,d4b5 d6d1 e1d1 b8a6 e2e4 e7e5 f2f3 c8e6 c1e3 f6d7
r1bqk2r/ppppnppp/8/3P4/3Qn3/2b2N2/PP3PPP/R1B1KB1R w KQkq -,c1d2 c3d4 f3d4 e7d5 e1a1 e8h8 d2e1 d7d6 f1c4 d5b6
r2qr1k1/p4pp1/2p1bn1p/3p4/NbP4B/3B4/PP3PPP/R2Q1RK1 w - -,c4c5 g7g5 h4g3 f6e4 a2a3 b4a5 b2b4 e4g3 h2g3 a5c7
r2qkb1r/3b1ppp/p1nppn2/8/1p1NP3/1BN1B3/PPP1QPPP/2KR3R w kq -,d4c6 d7c6 e2c4 d8c8 c4b4 f8e7 e3f4 a6a5 b4c4 a5a4
r2qr1k1/p4pp1/2p2n1p/3b4/Nb5B/3B4/PP3PPP/R2Q1RK1 w - -,
r5rk/1p5p/8/p3Pp2/3P1p2/7q/2R3P1/3QR1K1 w - -,d1d2 f4f3 e1e3 f3f2 d2f2 g8g2 f2g2 h3e3 g1f1 e3d4
8/8/1K6/8/8/k7/3p4/3N4 w - -,
r1bq1rk1/pp1pnppp/3p1n2/8/3Q4/2PB1N2/P4PPP/R1B1K2R w KQ -,h2h3 d6d5 e1h1 e7c6 d4f4 f8e8 c1a3 h7h6 a1e1 e8e6
rn2kbnr/pp2p3/2pq2p1/3p4/3P2b1/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,h2h3 d6f6 h1g1 g4f3 d1f3 f6f3 g2f3 e7e6 c3e2 f8d6
r2q1r1k/pp3pp1/2n2B1p/3p2N1/8/P6Q/1PP2PPP/R4RK1 w - -,h2h3 d6f6 h1g1 g4f3 d1f3 f6f3 g2f3 e7e6 c3e2 f8d6
rn2kbnr/1pp1p3/p2q2p1/3p4/3P2b1/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,h2h3 b8c6 e1h1 c6d4 c1f4 d6f4 d3g6 e8d7 d1d4 f4d4
8/8/8/1K6/8/2k5/3p1N2/8 w - -,
r1bqk1nr/ppp1b1p1/2n1pp1p/3pP3/3P4/2PB1N2/PP3PPP/RNBQK2R w KQkq -,f3h4 f6e5 h4g6 e5e4 g6h8 e4d3 e1h1 e7f6 d1d3 g8e7
r1bq1rk1/ppp3pp/3b4/5p2/1n1Pp3/3B1N2/PPP2PPP/R1BQR1K1 w - -,c1g5 d8e8 g5d2 b4c6 c2c3 h7h6 d3c2 e8f7 g2g3 c6a5
r1bq1rk1/pp1pnppp/5n2/3p4/3Q4/2PB1N2/P4PPP/R1B2RK1 w - -,f1d1 f8e8 c1g5 f6e4 d1e1 d7d6 d3e4 d5e4 d4e4 f7f6
r1bq1r1k/ppp3pp/3b4/5p2/1nBPp3/5N2/PPP2PPP/R1BQR1K1 w - -,f3g5 d8e8 a2a3 b4c6 g5h3 e8g6 c1f4 c8d7 d1d2 a8e8
rnbqkb1r/1pp1pppp/1n1p4/p3P3/8/PB6/1PPP1PPP/RNBQK1NR w KQkq -,g1f3 g7g6 d2d4 f8g7 f3g5 e7e6 d1f3 e8h8 f3h3 h7h6
r1bqkb1r/pp2pppp/2n2n2/6B1/3pN3/3P4/PPP2PPP/R2QKBNR w KQkq -,f1e2 h7h6 g5d2 e7e5 e4f6 d8f6 e2f3 f8d6 g1e2 e8h8
3b4/1p4k1/p7/P5Pp/6n1/1BpP1bPQ/4q3/2B2RK1 w - -,b3d1 e2d1 f1d1 f3d1 h3g2 g4e5 g2b7 e5f7 g5g6 g7g6
r2qkb1r/3b1ppp/p2pp3/8/Np1Nn1P1/1P2B3/1PP1QP1P/2KR3R w kq -,g4g5 d6d5 h1e1 a8c8 f2f3 e4c5 c1b1 d7a4 b3a4 f8d6
rnbqk2r/2p1ppbp/p2p1n2/1p5B/3PP3/2N5/PPP2PP1/R1BQK1NR w KQkq -,h5f3 c7c6 c1f4 h7h5 d1d2 c8e6 c3d1 b8d7 d1e3 d7b6
rnbqkb1r/pp3ppp/8/4p3/3pn3/3P2P1/PPP2PBP/R1BQK1NR w KQkq -,g1f3 e4f6 e1h1 f8d6 c2c3 e8h8 c3d4 e5d4 f3d4 d6c5
r4rk1/pbp1qppp/1p2pn2/n2p4/1bPP4/1PN2NP1/P2BPPBP/R2QR1K1 w - -,c4d5 e6d5 f3e5 c7c5 e5d3 f6e4 c3e4 d5e4 d2b4 c5b4
r2qk1nr/ppp2ppp/3bp3/3p1b2/3P1B2/3PPN2/PP1N1PPP/R2QK2R w KQkq -,f3e5 g8e7 e3e4 f5g6 h2h4 f7f6 d1a4 c7c6 e5g6 e7g6
5rk1/p4nb1/p1pB4/2P3q1/2Q2pp1/2N2R1P/P1r5/4R1K1 w - -,f3g3 f4g3 c3e4 c2c4 e4g5 f7g5 d6g3 g5f3 g1f1 f3e1
5rk1/p3Bnb1/p1p5/2P3q1/2Q2p2/2N2p1P/P1r5/4R1K1 w - -,e7g5 f3f2 g1f1 f2e1q f1e1 c2c3 c4f4 f7e5 f4e4 e5f3
r1bqkb1r/1p2pppp/p1n2n2/3p4/B1P5/8/PP1P1PPP/RNBQK1NR w KQkq -,d2d4 d5c4 a4c6 b7c6 d1a4 g7g6 b1c3 d8b6 g1f3 c8e6
5rk1/p4nb1/p1p5/2P3B1/2Q2p2/2N4P/P1r2p2/4R1K1 w - -,g1f1 f2e1q f1e1 c2c3 c4f4 f7e5 f4e4 e5f3 e1d1 f3g5
r2q1rk1/pp3pp1/2n2B1Q/3p2N1/8/P7/1PP2PPP/R4RK1 w - -,g1f1 f2e1q f1e1 c2c3 c4f4 f7e5 f4e4 e5f3 e1d1 f3g5
5rk1/p4nb1/p1p5/2P3B1/2Q2p2/2N4P/P1r5/4qK2 w - -,f1e1 c2c3 c4f4 f7e5 f4e4 e5f3 e1e2 f3g5 e4c6 f8d8
5rk1/p4nb1/p1p5/2P3B1/2Q2p2/2r4P/P7/4K3 w - -,c4e4 f7g5 e4c6 f8d8 c6d6 d8d6 c5d6 c3c1 e1d2 c1c8
rn3rk1/pp1bqppp/4pn2/8/2BN4/PQb1P3/1P3PPP/R1B2RK1 w - -,d4e6 d7e6 c4e6 e7e6 b3e6 f7e6 b2c3 e6e5 c3c4 b8c6
5rk1/p5b1/p1p5/2P1n1B1/5Q2/2r4P/P7/4K3 w - -,f4f1 f8f1 e1f1 g8f7 h3h4 f7e6 g5d2 c3h3 d2g5 e6f5
k6N/8/8/8/8/8/8/B6K w - -,h1g2 a8b7 h8g6 b7b6 g2f3 b6b5 f3e4 b5c6 g6e5 c6d6
5rk1/p5b1/p1p5/2P3B1/4Q3/2r2n1P/P7/4K3 w - -,e4f3 c3f3 h3h4 f3f2 g5d2 f2h2 h4h5 h2h5 e1e2 h5h2
5rk1/p5b1/p1p5/2P3n1/4Q3/2r4P/P7/3K4 w - -,e4g6 c3h3 g6g5 f8f2 g5g1 f2a2 d1e1 h3h2 g1h2 a2h2
3r2k1/p5b1/p1Q5/2P3n1/8/2r4P/P7/3K4 w - -,e4e7 c3h3 e7g5 f8f2 g5g1 f2a2 d1e1 h3h2 g1h2 a2h2
3r2k1/p5b1/p1Q5/2P5/8/2r2n1P/P3K3/8 w - -,e4e7 c3h3 e7g5 f8f2 g5g1 f2a2 d1e1 h3h2 g1h2 a2h2
3r3k/p5b1/p3Q3/2P5/8/2r2n1P/P3K3/8 w - -,e4e7 c3h3 e7g5 f8f2 g5g1 f2a2 d1e1 h3h2 g1h2 a2h2
r1b1k2r/ppp1qp2/3p3p/3n2p1/4P3/P5P1/1PQN1PP1/R3KB1R w KQkq -,f1b5 e8f8 e1a1 d5f6 f2f4 f8g7 c2c3 c8d7 b5d3 b7b5
2kr3r/pp3p2/4pp2/2b1n1p1/2P2qP1/1BBR3P/PP2QP2/1K5R w - -,d3d8 h8d8 a2a3 c5d4 c3b4 e5c6 f2f3 d4e5 h1d1 c6d4
8/8/8/6k1/P6p/7K/8/8 w - -,d3d8 h8d8 a2a3 c5d4 c3b4 e5c6 f2f3 d4e5 h1d1 c6d4
7k/p5b1/p3Q3/2P5/8/2r2n1P/P2r1K2/8 w - -,d3d8 h8d8 a2a3 c5d4 c3b4 e5c6 f2f3 d4e5 h1d1 c6d4
r1bqkb1r/pp2p1p1/2n2p2/2Pp3p/4n2B/4PN1P/PPP2PP1/RN1QKB1R w KQkq -,
r6r/1pk1qp2/1npp3p/p5p1/P3P1b1/6P1/1PQN1PP1/1R1R1BK1 w - -,d1c1 d6d5 f1b5 g4d7 b2b4 a5b4 d2b3 d5e4 b3c5 e4e3
r1bqk2r/pp1nbppp/3ppn2/2p5/3PPP2/2N1BN2/PPP3PP/R2QKB1R w KQkq -,d4c5 d7c5 e4e5 f6g4 e3c5 d6c5 f1b5 c8d7 d1e2 a7a6
8/8/8/2k5/Q6K/8/8/8 w - -,d4c5 d7c5 e4e5 f6g4 e3c5 d6c5 f1b5 c8d7 d1e2 a7a6
r2qk1nr/ppp2ppp/3pb3/4n3/3QP3/2N5/PPP1BPPP/R1B1K2R w KQkq -,f2f4 d8h4 g2g3 e5c6 d4g7 h4f6 g7f6 g8f6 f4f5 e6d7
8/8/8/1k6/4Q2K/8/8/8 w - -,e1h1 f7f6 f2f4 e5c6 d4f2 d8d7 f4f5 e6f7 f2g3 g7g6
r1bqkb1r/pp2pp1p/2n3p1/2ppP3/3P4/2PBB3/P1P2PPP/R2QK1NR w KQkq -,g1f3 d8a5 e3d2 c5c4 d3e2 h7h6 h2h4 h6h5 d1b1 a8b8
8/8/1k6/8/2Q4K/8/8/8 w - -,g1f3 d8a5 e3d2 c5c4 d3e2 h7h6 h2h4 h6h5 d1b1 a8b8
r1bqk2r/1p1nbppp/p2ppn2/2p5/3PPP2/2N1BN2/PPPQ2PP/R3KB1R w KQkq -,e4e5 f6g4 e3g1 d6e5 f4e5 d8c7 d4d5 g4e5 e1a1 e7f6
rnbq1rk1/ppp2pb1/3p1npp/4p3/8/3P1NP1/PPPNPPBP/R1BQR1K1 w - -,c2c4 c7c5 b2b3 b8c6 c1b2 a7a6 d2b1 c8e6 b1c3 a8b8
5Bk1/p4nb1/p1p5/2P5/2Q2ppq/2N2R2/P1r5/R5K1 w - -,c2c4 c7c5 b2b3 b8c6 c1b2 a7a6 d2b1 c8e6 b1c3 a8b8
5Bk1/p4n2/p1p5/2P5/3b1Qpq/2N2R2/P1r5/R5K1 w - -,c2c4 c7c5 b2b3 b8c6 c1b2 a7a6 d2b1 c8e6 b1c3 a8b8
8/8/5k2/8/3KQN2/8/8/8 w - -,c2c4 c7c5 b2b3 b8c6 c1b2 a7a6 d2b1 c8e6 b1c3 a8b8
rn1qkbnr/pp4pp/2p1pp2/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1d3 f5d3 d1d3 c6c5 e1h1 b8c6 f1e1 d8d7 b1c3 c5d4
k7/3Q4/8/8/7K/8/8/8 w - -,f1d3 f5d3 d1d3 c6c5 e1h1 b8c6 f1e1 d8d7 b1c3 c5d4
8/8/kB6/2K5/8/8/3N4/8 w - -,b6c7 a6b7 c7f4 b7a8 c5c6 a8a7 f4e3 a7b8 d2c4 b8a8
rn1qkb1r/pp3pp1/4p3/2ppPn1p/3P1P2/2N2N2/PPP3PP/R1BQK2R w KQkq -,c3e2 b8c6 d1d3 a8c8 c2c3 c5d4 e2d4 f5d4 f3d4 c6d4
rn1qk2r/1p1nbp1p/p1p1p1p1/3pP1N1/3P4/2N4Q/PPP2PPP/R1B2RK1 w kq -,f2f4 e7g5 f4g5 c6c5 d4c5 b8c6 c1e3 e8h8 c3d1 c6e5
