8/r4p2/5bkp/pR2R3/P4PP1/2p5/2K5/8 w - -,b5a5 a7b7 a5b5 b7a7 e5f5 g6g7 a4a5 a7e7 c2d1 e7e3
r1bqkb1r/p1pp1ppn/2p4p/4P3/8/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1d3 g7g6 f2f4 f8g7 d1f3 d8h4 g2g3 h4e7 c1e3 a8b8
rnb1kb1r/pp1ppppp/2p5/q2n4/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq -,f4b8 a8b8 d1d2 d5f6 f1d3 d7d6 g1f3 a5c7 e1h1 g7g6
rn1qkbnr/pp1b1pp1/2p1p2p/3pP3/3P2PP/5P2/PPP5/RNBQKBNR w KQkq -,g1e2 c6c5 h4h5 b8c6 c2c3 d8b6 f3f4 a8c8 b1a3 c5d4
r1b1k1nr/pp3pp1/2pQ4/4P1p1/4P3/1Bq5/P5PP/R1B1K2R w KQkq -,e1f1 c3a1 f1f2 h8h6 d6c5 b7b6 c5c4 h6e6 h2h4 a1e5
1r6/4N1kp/5pp1/2R5/3Q4/8/5PPP/6K1 w - -,e1f1 c3a1 f1f2 h8h6 d6c5 b7b6 c5c4 h6e6 h2h4 a1e5
B7/p3k1p1/7q/2P1ppp1/6n1/2N5/P1P2PPr/R1BR1K2 w - -,
B7/p3kpp1/8/2P1p1p1/7q/2N1P3/P1P3P1/R2R1K1r w - -,
r1bqk2r/pppp2pp/2n5/4P1N1/6Q1/2b5/PP3PPP/R1B1K2R w KQ -,b2c3 c6e5 g4h5 g7g6 h5e2 d8e7 e1h1 h7h6 f2f4 h6g5
n1QBq1k1/5p1p/5KP1/8/p7/8/8/8 w - -,f6g5 h7g6 c8a8 a4a3 g5f4 a3a2 f4f3 a2a1q a8a1 e8d8
B7/p3kpp1/8/2P1p1p1/2q5/2N1P3/P1P1K1P1/R2R3r w - -,e2f3 h1d1 c3d1 f7f5 f3f2 c4c2 f2f1 g5g4 a2a4 c2c5
B6r/p3kpp1/8/2P1p1p1/2q5/2N1P3/P1PK2P1/R2R4 w - -,a8b7 h8d8 c3d5 d8d5 b7d5 c4d5 d2c1 d5g2 a1b1 g2c6
rn1qk1nr/ppp1bppp/4p3/6N1/3P4/3B1b2/PPP2PPP/R1BQK2R w KQkq -,d1d2 f3g2 h1g1 g2c6 d2e2 d8d4 c2c3 d4h4 c1e3 g8f6
r1bq1rk1/pp2ppbp/1nnp2p1/8/3NP3/1BN1BP2/PPPQ2PP/R3K2R w KQ -,e1a1 c6a5 h2h4 c8d7 e3h6 b6c4 d2g5 e7e5 h6g7 g8g7
r1bqkbnr/ppp1ppp1/2n5/3p4/8/4PNPp/PPPP1P1P/RNBQKB1R w KQkq -,d2d4 c8g4 f1e2 d8d7 a2a3 d7f5 b2b4 g8f6 b1d2 f6e4
rn1q1rk1/ppp1bppp/3p1n2/4p1B1/2B1P3/2NP1b2/PPPQ1PPP/R3K2R w KQ -,g2f3 b8c6 f3f4 c6d4 e1a1 c7c6 c3e2 d4e2 d2e2 b7b5
r3k2r/1bqnbpp1/pp1ppn2/7p/2P1PP2/1NNBBQ1P/PP4P1/R4RK1 w kq -,b3d4 g7g6 a1c1 e7f8 b2b4 f8g7 f3g3 a8c8 d4f3 e8h8
5k2/1R6/6p1/5r1p/5P2/6PK/7P/8 w - -,h3h4 f5c5 h2h3 c5f5 b7b4 f8g7 g3g4 h5g4 h3g4 f5c5
rn1qk1nr/ppp2ppp/2b1p3/6b1/3P4/3B1N2/PPP2PPP/R1BQK2R w KQkq -,c2c4 g5f6 d4d5 e6d5 e1h1 d5c4 d3c2 d8d1 c2d1 c4c3
rnbqk2r/pp1nppbp/3p2p1/2p1P3/2PP1P2/5N2/PP4PP/RNBQKB1R w KQkq -,d4d5 d6e5 b1c3 e8h8 f1e2 d8b6 a2a4 e5f4 e1h1 b6f6
rnbq1rk1/ppp1ppbp/3p1np1/8/2BP4/5N1P/PPP2PP1/RNBQR1K1 w - -,c4f1 e7e6 c2c4 b7b6 b1c3 b8d7 c1e3 c8b7 d4d5 f8e8
rn1qkb1r/1p6/p2pbp1n/4p1pp/4P3/1NN3BP/PPPQ1PP1/R3KB1R w KQkq -,f2f3 b8d7 g3f2 a8c8 c3d5 f8e7 e1a1 h5h4 f1e2 f6f5
rnbq1rk1/pp2b1pp/2pppn2/5p2/2PP1B2/2N2NP1/PP2PPBP/R2QK2R w KQ -,d1c2 b8d7 a1d1 d6d5 b2b3 f6e4 e1h1 a7a5 c3e4 f5e4
rn1q1rk1/pbp1ppbp/1p1p1np1/8/3P4/1PNBPN2/PBP2PPP/R2QK2R w KQ -,e1h1 c7c5 c3a4 b7c6 a4c3 e7e6 f1e1 d6d5 c3b1 c6b7
r1bq1rk1/1p2ppb1/p1np3p/2p5/2B1n2Q/2NP4/PPP3PP/R1B2RK1 w - -,g1h1 e7e6 h4d8 f8d8 d3e4 b7b5 c4e2 c8b7 e2h5 c6e5
2r5/5p2/3kpQ2/1p2qp2/8/1P5P/P5PK/5R2 w - -,f6e5 d6e5 a2a4 b5b4 h3h4 e5e4 a4a5 c8a8 h2g3 e6e5
8/7k/8/6KP/7P/7P/7P/8 w - -,h5h6 h7h8 g5g4 h8g8 h4h5 g8h7 g4h4 h7g8 h4g3 g8h7
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2P3P1/7P/PP1PPPB1/RNBQK1NR w KQkq -,b1c3 d7d5 g4g5 f6d7 d2d3 d5d4 g2c6 b7c6 c3e4 f8e7
r1bqkb1r/pp2pp1p/2n3p1/3nN3/3P4/3B4/PP3PPP/RNBQK2R w KQkq -,d3c4 c8e6 e5c6 b7c6 e1h1 f8g7 c4d5 d8d5 c1e3 a8d8
r2qk2r/ppp1bppp/2n5/3np3/6b1/2PP1N2/PP1NBPPP/R1BQK2R w KQkq -,d2b3 a7a5 a2a4 d8d6 e1h1 d6g6 d3d4 e5e4 f3e1 g4e2
rn2kb1r/1pq2ppp/p2pbn2/4p3/4P3/1NN1BP2/PPP3PP/R2QKB1R w KQkq -,g2g4 h7h6 d1d2 b8d7 e1a1 b7b5 c3d5 e6d5 e4d5 d7b6
r1bqk2r/p1ppbppp/1pn2n2/4p3/4P3/2PP1P2/PP2Q1PP/RNB1KBNR w KQkq -,b1d2 d7d5 g2g3 a7a5 g1h3 d5d4 f1g2 d4c3 b2c3 c8a6
r2qk2r/pbppbppp/1pn2n2/4p3/4P3/2PP1PP1/PP2Q2P/RNB1KBNR w KQkq -,a2a4 d7d5 b1d2 e8h8 g1h3 a7a5 h3f2 b7a6 e2d1 e7c5
r1b1r1k1/pp1nq1pp/2p2pn1/3pN3/3P1P2/2NBP2P/PPQ3P1/R4RK1 w - -,e5g6 h7g6 d3g6 e7e3 g1h2 e8e7 a1e1 e3e1 f1e1 e7e1
r2qk2r/pbppbpp1/1pn2n1p/4p3/4P3/2PP1PPN/PP2Q2P/RNB1KB1R w KQkq -,a2a4 d7d5 h3f2 d5d4 b1d2 f6d7 d2b3 d7c5 b3c5 e7c5
rnb1kb1r/pppp1ppp/8/4N3/1q1P4/2n5/PP2QPPP/RNB1KB1R w KQkq -,b1c3 f8e7 a2a3 b4d4 c1g5 e8h8 e5f3 d4g4 e2e7 b8c6
r2qkb1r/ppp1pppp/2n2nb1/3pN3/3P1BP1/7P/PPP1PP2/RN1QKB1R w KQkq -,e2e3 c6e5 d4e5 f6e4 e5e6 e4c5 h3h4 h7h5 g4h5 h8h5
r2qkb1r/ppp1pppp/5nb1/3pn3/3P1BP1/2N4P/PPP1PP2/R2QKB1R w KQkq -,d4e5 d5d4 c3b5 c7c6 d1d4 d8a5 d4d2 a5b5 e1a1 b5d5
r2q1rk1/pppnbppp/4pn2/8/3P4/3B1N2/PPP1QPPP/R1B2RK1 w - -,c1f4 c7c5 c2c3 f6h5 f4d2 h5f6 d4c5 d7c5 d3c2 d8b6
rnbqkb1r/pp3ppp/5n2/3pp3/4P3/3Q1N2/PPP2PPP/RNB1KB1R w KQkq -,c1g5 d5d4 c2c3 b8c6 b1d2 f8e7 f1e2 e8h8 c3d4 e5d4
2rr2k1/p2nqpb1/bpp1p1pp/8/P2P4/2N1PN2/1P2QPPP/3RR1K1 w - -,e2c2 d7f8 e3e4 a6b7 c2b3 h6h5 d4d5 c6d5 e4d5 g7f6
B7/p5p1/4k3/2PNp1p1/5pnq/4B3/P1P1KPPr/R2R4 w - -,d5b4 f4e3 d1d6 e6f5 a1f1 g4f6 f2e3 f5g6 b4d3 h4g4
rnbqk1nr/ppp2ppp/3bp3/3p4/3P1P2/4PN2/PPP3PP/RNBQKB1R w KQkq -,f1d3 g8f6 b1c3 b7b6 f3e5 c8b7 d1f3 c7c5 c1d2 b8c6
rn1q1rk1/pp2ppbp/2p1bnp1/3p4/3P1B2/2NBPN2/PPP2PPP/R2Q1RK1 w - -,c3e2 e6g4 f3d2 g4e2 d1e2 f8e8 d2f3 b8d7 f1d1 f6h5
r1bqk2r/pppp1pp1/2n2n1p/4p3/2B1P3/P4N2/1PPP1PPP/R1BQK2R w KQkq -,d2d4 e5d4 e4e5 f6g4 c1f4 d7d6 e5d6 e8h8 d6c7 f8e8
rnbqk1nr/pppp1ppp/3b4/4p3/6P1/5N2/PPPPPP1P/RNBQKB1R w KQkq -,d2d4 e5e4 f3d2 e4e3 d2e4 d6e7 c1e3 d7d5 e4c5 b8c6
3r2k1/3q1pp1/1p4rp/2b2n2/P2Np3/1Q2P2P/1B2RPP1/3R3K w - -,b3b5 d7c8 g2g4 f5h4 d1g1 c5d4 e3d4 h4f3 g1g3 c8a8
r1bq1rk1/ppp2pp1/3p1n1p/2b1p3/2BnP3/2NP1N2/PPP2PPP/R1BQ1RK1 w - -,c3b1 c8g4 b1d2 b7b5 c4b3 c5b6 h2h3 g4h5 a2a4 d4b3
r1bq1rk1/ppp1bppp/4pn2/3p4/1nPP4/2NBPN2/PPQ2PPP/R1B1K2R w KQ -,d3h7 f6h7 c2e2 d5c4 e1h1 b7b6 f1d1 c8a6 e3e4 d8e8
B7/p5p1/2P1kN2/4ppp1/7q/4B3/P1P2PP1/R2R1K1r w - -,
r3kb1r/pppq1ppp/2np1n2/1B2p2b/4P3/2N2N1P/PPPP1PP1/R1BQ1RK1 w kq -,f1e1 a7a6 b5e2 e8a8 d2d3 d8e8 c3d5 f6d5 e4d5 h5f3
r3kb1r/pppqp1pp/2np1n2/5b2/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq -,e1h1 e7e5 c2c4 h7h6 d4d5 c6d8 b1c3 f5h7 c1e3 f8e7
r1bqk2r/1pp3pp/2n2n2/p1b5/2Pp4/P4NP1/1P2PPBP/RNBQK2R w KQkq -,e1h1 e8h8 b1d2 d4d3 e2d3 d8d3 d2b3 d3d1 f1d1 c5a7
r2qkb1r/pppnpppp/3p1n2/8/3PP1b1/5N2/PPPN1PPP/R1BQKB1R w KQkq -,h2h3 g4f3 d1f3 g7g6 a2a4 f8h6 a4a5 e8h8 a5a6 b7a6
r1b1k2r/pp1p1ppp/2n1pn2/q1b5/2P5/2N1BN2/PP2PPPP/R2QKB1R w KQkq -,e3c5 a5c5 e2e3 b7b6 f1e2 c8a6 b2b3 c6e5 f3e5 c5e5
r2qkb1r/pppn1ppp/3p1n2/4p3/3PP1b1/3B1N2/PPPN1PPP/R1BQK2R w KQkq -,c2c3 f8e7 e1h1 e8h8 f1e1 f8e8 h2h3 g4h5 d2f1 c7c6
rn1qkbnr/pp3pp1/2pp3p/4p3/B3P1b1/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,h2h3 g4h5 d2d4 b8d7 a4c2 g8f6 e1h1 f8e7 f1e1 e8h8
rnbqkb1r/pppp1p1p/5np1/8/2Pp4/6P1/PP2PPBP/RNBQK1NR w KQkq -,d1d4 b8c6 d4e3 c6e7 g1f3 f8g7 e3a3 e8h8 b1c3 e7c6
r2qkb1r/pp2pppp/2n2n2/2pp1b2/8/PP1PP3/1BP2PPP/RN1QKBNR w KQkq -,b1d2 e7e5 g2g3 f8e7 f1g2 d8c7 d1e2 f5g4 f2f3 g4d7
rnbqkb1r/pp2pppp/5n2/8/3p4/5N2/PPPPBPPP/RNBQ1RK1 w kq -,e2b5 b8c6 d2d3 c8g4 b1d2 d8d5 b5c6 b7c6 h2h3 g4h5
rnbqkb1r/pp1n1ppp/4p3/3pP3/3p4/1B3N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 b8c6 f1e1 f8e7 c1f4 e8h8 c2c3 d4c3 b1c3 f8e8
r1bqkb1r/ppp2ppp/4p3/n2P4/4p3/8/PPP1BPPP/R1BQK1NR w KQkq -,c1f4 e6d5 d1d2 a5c6 e1a1 c8e6 f2f3 f8c5 d2c3 d8f6
4k3/Q7/8/8/8/8/8/7K w - -,c1f4 e6d5 d1d2 a5c6 e1a1 c8e6 f2f3 f8c5 d2c3 d8f6
6k1/1R3pp1/8/7p/4P3/5P2/2r3PP/6K1 w - -,b7b8 g8h7 h2h4 c2a2 g1h2 g7g6 h2h3 h7g7 h3g3 g7f6
rnbqkbnr/pp3ppp/2p5/4p3/2pP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,f3e5 g8f6 b1c3 c8e6 e2e4 f8b4 f1g2 b8d7 f2f4 d8b6
8/1r3p2/5bkp/3RR3/P4PP1/2p5/2K5/8 w - -,d5b5 b7d7 e5d5 d7e7 c2d3 e7e1 a4a5 e1f1 b5c5 f1f4
6k1/Q7/8/8/8/5K2/8/8 w - -,e5e4 b7b2 c2c1 b2a2 e4c4 f6e7 a4a5 g6g7 c1d1 e7f6
r2qk2r/1p1n1ppp/p1pbpn2/3p3b/2PP4/1P1BPN2/P1QN1PPP/R1B2RK1 w kq -,c1b2 h5g6 e3e4 d5e4 d2e4 g6e4 d3e4 f6e4 c2e4 e8h8
rn1qkb1r/pb1ppppp/5n2/1p4B1/3P4/5N2/PP2PPPP/RN1QKB1R w KQkq -,e2e3 a7a6 g5f6 e7f6 b1c3 d7d5 f1e2 f8d6 d1b3 e8h8
1qr3k1/r5p1/2bpn1P1/p1pN1p2/P1PnP2Q/3PB2P/7K/3B1R2 w - -,b1d2 e7e6 e2e4 d8b6 f1d3 b8c6 d4d5 c6b4 d3b1 e6d5
1qr2k2/r5pQ/2bpn1P1/p1pN1p2/P1PnP3/3PB2P/7K/3B1R2 w - -,b1d2 e7e6 e2e4 d8b6 f1d3 b8c6 d4d5 c6b4 d3b1 e6d5
2r3k1/p1rq1pp1/1p2p1p1/1b2P3/1P1Bp1Q1/P3R3/2P2PPP/4R1K1 w - -,c2c3 d7e7 e3h3 a7a5 b4a5 b6a5 h3h4 c7c3 d4c3 c8c3
8/3k4/8/3BB3/6K1/8/8/8 w - -,a3a4 c7c2 a4b5 d7d4 g4e4 d4d2 e1f1 c2c4 e4b7 c4c1
rnbqkb1r/pp3ppp/3p4/3nP3/8/8/P1PP1PPP/RNBQKBNR w KQkq -,c2c4 d5b6 e5d6 f8d6 b1c3 e8h8 f1e2 f8e8 g1f3 b6c4
r1bqkbnr/pp3ppp/2n1p3/1Bp5/3pPP2/2N5/PPPPQ1PP/R1B1K1NR w KQkq -,g1f3 d4c3 b5c6 b7c6 d2c3 d8c7 c3c4 f8e7 c1d2 g8f6
r1bqkbnr/p4ppp/2p1p3/2p5/3pPP2/2N5/PPPPQ1PP/R1B1K1NR w KQkq -,a1b1 d4c3 b2c3 f8d6 g1f3 a8b8 b1b8 d6b8 e1h1 g8e7
r1r3k1/1p2pp1p/1q1p1npb/p7/PnB1PPb1/1PN2N2/1BPQ2PP/1K1R3R w - -,h2h3 g4f3 g2f3 c8c4 b3c4 a8c8 c3b5 f6h5 d2d4 b6d4
8/8/4k3/6Q1/8/8/8/7K w - -,d1e1 c8c4 b3c4 a8c8 e4e5 d6e5 e1e5 c8c4 h1d1 b4c6
r4rk1/pp2ppbp/2np2p1/q1n5/4PP2/2NB1Q1P/PPPB2P1/R4R1K w - -,a1d1 a5b4 d1b1 c5d3 c2d3 f7f5 f3d1 a8c8 d2e3 g7c3
rn3rk1/1p1b1ppp/4p3/2P1P3/2B2q2/1QB5/5PPP/1R3RK1 w - -,b1a1 a8a1 f1a1 d7c6 c4f1 b8d7 b3c4 f4c4 f1c4 f8d8
r1bq1rk1/pp3ppp/2n2n2/1Bbp4/8/4PN2/PP3PPP/RNBQ1RK1 w - -,b1c3 a7a6 b5c6 b7c6 b2b3 c5d6 c1b2 c6c5 c3a4 f6e4
r2qkb1r/pbpnppp1/1p3n1p/3p4/3P3B/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,f3e5 a7a6 d1f3 e7e6 e5d7 e8d7 h4g3 d7c8 f1d3 c8b8
3R4/2p1r2k/1p1p2n1/1P3q1p/2P2Pp1/2Q3P1/1B2P2P/6K1 w - -,d8e8 f5f7 e8e7 f7e7 g1f2 h7g8 c3d4 e7f7 f2e3 g8f8
r1bqkb1r/p1pnppp1/1p3n1p/3p4/3P3B/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,e2e4 d5e4 f3e5 c8b7 f1b5 a7a6 b5c6 b7c6 e5c6 d8c8
2r1n1k1/1p2pp1p/1q1pb1pb/p3P3/PnP2P2/2N2N1P/1BPQ2P1/1K1R1R2 w - -,d2d4 b6a6 f3d2 d6e5 f4e5 h6d2 d1d2 c8c4 d4f2 b4c6
r1bqkb1r/1p2nppp/p1n1p3/2ppP3/8/2P2N2/PPNP1PPP/R1BQKB1R w KQkq -,d2d4 e7f5 f1d3 c5c4 d3e2 f8e7 e1h1 e8h8 c2e1 b7b5
8/1k2K2r/8/4P3/8/8/2R5/8 w - -,e7d6 h7h1 e5e6 h1d1 d6e7 b7b6 e7f7 b6b5 e6e7 d1f1
r3kbnr/ppp1pppp/2q5/3p4/3P4/4Pb1P/PPP2PP1/RNBQK2R w KQkq -,g2f3 e8a8 b1c3 e7e6 d1d3 g8e7 c1d2 e7f5 e1e2 c8b8
B3k3/p5p1/q7/2P2pp1/4p1n1/2NR4/P1P1KPP1/1RB4r w - -,b1b8 e8f7 a8d5 f7g6 c3e4 h1c1 e2d2 c1g1 d5f7 g6f7
B3k3/p5p1/q7/2P3p1/4p1n1/3R4/P1P1KPP1/1RB4r w - -,g2g3 e4d3 c2d3 h1g1 a8d5 g4e5 b1b8 e8d7 b8b7 d7c8
8/8/8/2K5/5Q2/8/6p1/4k3 w - -,g2g3 e4d3 c2d3 h1g1 a8d5 g4e5 b1b8 e8d7 b8b7 d7c8
r1bqkb1r/ppp3pp/2np1n2/5p2/2PPp3/4P1P1/PP2NPBP/RNBQK2R w KQkq -,f2f3 e4f3 g2f3 g7g6 b1c3 f8g7 b2b3 e8h8 e1h1 c6e7
rnb1kb1r/pp3ppp/4pn2/2p4q/3P4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2 f8e7 d4c5 e8h8 e1h1 b8c6 c1g5 e7c5 g5f6 g7f6
rn2kb1r/ppp1pppp/5n2/8/3qP1b1/2N2Q2/PPPP2PP/R1B1KBNR w KQkq -,f3f2 d4f2 e1f2 g4d7 g1f3 b8c6 f1c4 f6g4 f2e2 g4e5
8/8/1k1n4/8/8/3K4/8/2Q5 w - -,f3f2 d4f2 e1f2 g4d7 g1f3 b8c6 f1c4 f6g4 f2e2 g4e5
8/8/8/8/6k1/2R2p2/1r6/5K2 w - -,
2R5/p3k2p/1b4p1/1p6/1P3p2/P2Rnn2/7P/4K3 w - -,e1e2 f3e5 d3b3 f4f3 e2e1 e3c4 b3c3 b6d4 c3c2 e5d3
6k1/1R2Q3/6q1/2B2p2/2P2P2/4P3/4R3/r4K2 w - -,e1e2 f3e5 d3b3 f4f3 e2e1 e3c4 b3c3 b6d4 c3c2 e5d3
6k1/1R2Q3/6q1/2B2p2/2P2P2/4P3/8/4rK2 w - -,e1e2 f3e5 d3b3 f4f3 e2e1 e3c4 b3c3 b6d4 c3c2 e5d3
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P1P2/4P1B1/PPP3PP/RN1QKBNR w KQkq -,c2c4 b7b6 g3h4 c6e7 h4f6 g7f6 b1c3 c8b7 c4d5 e7d5
r3k2r/ppp2ppp/2n2n2/3qp3/1bPP2b1/4BN2/PP2BPPP/RN1QK2R w KQkq -,d1d2 b4d2 b1d2 d5a5 d4e5 g4f3 e2f3 c6e5 e1h1 e8a8
6k1/1R2Q3/8/2B2p2/2P2P2/4P3/3K1q2/8 w - -,d1d2 b4d2 b1d2 d5a5 d4e5 g4f3 e2f3 c6e5 e1h1 e8a8
6k1/1R2Q3/8/2B2p2/2P2P2/3KP3/8/5q2 w - -,d1d2 b4d2 b1d2 d5a5 d4e5 g4f3 e2f3 c6e5 e1h1 e8a8
6k1/1R2Q3/8/2B2p2/2PK1P2/4P3/8/q7 w - -,d1d2 b4d2 b1d2 d5a5 d4e5 g4f3 e2f3 c6e5 e1h1 e8a8
r2qk2r/pp1bbppp/2n1p1n1/2ppP3/3P4/2P2N2/PPN1BPPP/R1BQK2R w KQkq -,e1h1 e8h8 e2d3 c5d4 c3d4 d8e8 f1e1 f7f6 e5f6 e7f6
r1b1kbnr/1pp2ppp/p1p5/8/2q5/8/PPPP1PPP/RNBQ1K1R w kq -,d1e2 c4e2 f1e2 f8d6 d2d3 g8f6 c1g5 e8h8 g5f6 g7f6
rnbqkbnr/p1pp1p2/1p2p2p/6p1/3PP3/5N1P/PPP2PP1/RNBQKB1R w KQkq -,c1e3 c8b7 f1d3 f8g7 c2c4 g8e7 b1c3 e8h8 d4d5 b8a6
4R3/8/8/8/Q7/2P2k2/8/K7 w - -,c1e3 c8b7 f1d3 f8g7 c2c4 g8e7 b1c3 e8h8 d4d5 b8a6
2b3k1/4q2p/3r2pQ/8/8/7R/6PP/5rK1 w - -,c1e3 c8b7 f1d3 f8g7 c2c4 g8e7 b1c3 e8h8 d4d5 b8a6
2b3k1/4q2p/6pQ/8/8/7R/6PP/3r1K2 w - -,c1e3 c8b7 f1d3 f8g7 c2c4 g8e7 b1c3 e8h8 d4d5 b8a6
rnbk1b1r/pp2pppp/8/8/4p3/2B5/PPP2PPP/R3KBNR w KQ -,e1a1 d8e8 g1e2 b8c6 e2d4 c8d7 f1b5 a7a6 b5c6 b7c6
rnbqk2r/ppppbppp/4pn2/8/2PP4/7P/PP2PPP1/RNBQKBNR w KQkq -,b1c3 d7d5 g1f3 e8h8 c4d5 e6d5 c1f4 c8f5 e2e3 c7c6
r1bq1rk1/ppp1bppp/2np1n2/4pPB1/4P3/3P1N2/PPP3PP/RN1QKB1R w KQ -,
r1bqk2r/ppp1bppp/2n2n2/4p1B1/4p3/3P1N2/PPP1BPPP/RN1Q1RK1 w kq -,f3e1 e8h8 b1c3 e4d3 e1d3 e5e4 d3c1 a7a5 c3b5 f6d5
8/5k2/8/1B2K3/3B4/8/8/8 w - -,f3e1 e8h8 b1c3 e4d3 e1d3 e5e4 d3c1 a7a5 c3b5 f6d5
rn1qkb1r/pp1b1ppp/3p1n2/1BpPp3/4P3/5P2/PPP3PP/RNBQK1NR w KQkq -,a2a4 d7b5 a4b5 f8e7 g1h3 e8h8 e1h1 a7a6 g1h1 b8d7
rnb2rk1/pp2ppbp/5np1/2qp4/5B2/2N1P2P/PPPN1PP1/R2QKB1R w KQ -,f4e5 b8d7 d2b3 c5b6 e5h2 a7a5 a2a4 b6b4 d1d4 d7b6
r1b1r1k1/ppq2ppp/2nbpn2/3pN3/3p1P2/1P1BP3/PBPN2PP/R2Q1RK1 w - -,d2f3 d4e3 d1e2 h7h6 f3d4 d6c5 d4c6 b7c6 f1f3 d5d4
rn1qkb1r/pp2ppp1/2pp1n1p/5b2/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,f1d3 f5d3 d1d3 f6h5 b1d2 b8d7 h2h3 h5f4 e3f4 e7e6
4k3/8/8/2BK4/8/3B4/8/8 w - -,b1d2 a7a5 a2a4 b8d7 h2h3 e7e6 f1e2 f8e7 e1h1 d6d5
r1bqk2r/pp2bppp/2nppn2/8/2P5/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3 d6d5 c4d5 f6d5 c3d5 e6d5 e1h1 e7f6 d1b3 e8h8
r1bqk1nr/pp3pbp/2n1p3/2p1P1p1/3p4/2PB1N2/PP1PQPPP/RNB2RK1 w kq -,c3d4 g5g4 f3e1 d8d4 e1c2 d4e5 e2g4 h7h5 g4c4 e5d5
rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R w - -,e2e4 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f2f3 e7e6
r1bqk2r/1ppp1ppp/p1n2n2/4p3/1b2P3/2NP1NP1/PPP2P1P/R1BQKB1R w KQkq -,f1g2 d7d5 e4d5 f6d5 c1d2 d5c3 b2c3 b4d6 a1b1 e8h8
r1bqkbnr/ppp2ppp/8/3pn3/8/8/PPPPPPPP/RNBQKB1R w KQkq -,d2d3 g8f6 d3d4 e5g6 e2e3 c7c6 c2c4 d5c4 f1c4 f8d6
rnbqkbnr/pp3pp1/2p1p3/3pP2p/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq -,d2d4 g8h6 c2c3 b7b6 c1e3 f8e7 h2h3 c8a6 f1a6 b8a6
r1bq1rk1/p4ppp/1pnbp3/2pn4/3P4/2P2NP1/PP3PBP/RNBQ1RK1 w - -,c1g5 f7f6 g5c1 c8b7 d4c5 d6c5 b2b4 c5d6 c1b2 a8c8
