r1b1k2r/p3ppbp/2pqn1p1/8/2P4Q/5N2/PP3PPP/RNB1R1K1 w kq -,c4c5 d6c5 b1c3 c5h5 h4h5 g6h5 c1e3 h8g8 c3a4 c8a6
r2qk1nr/pp2ppbp/2np2p1/2p5/4P1b1/5NP1/PPPP1PBP/RNBQR1K1 w kq -,a2a4 e7e5 h2h3 g4e6 c2c3 g8e7 b2b4 c5b4 c3b4 c6b4
r1bqkbnr/pp2pp1p/2np2p1/2p5/2B1P3/2PP4/PP3PPP/RNBQK1NR w KQkq -,d3d4 f8g7 d4d5 c6a5 c4d3 e7e6 c3c4 g8f6 b1c3 e8h8
r1bqkb1r/pp1ppppp/2n5/2p1P3/6n1/N4N2/PPPP1PPP/R1BQKB1R w KQkq -,e5e6 d7e6 c2c3 g4f6 d2d3 f6d5 g2g3 g7g6 h2h4 h7h5
rnbqkb1r/pppp3p/5pp1/8/2B1pP1N/2P5/PPP3PP/R1BQK2R w KQkq -,f4f5 d7d5 f5g6 h7g6 h4g6 h8h7 d1d5 d8d5 c4d5 b8d7
r1bqkb1r/ppp1pppp/2n2n2/1B1p4/8/4PQ2/PPPP1PPP/RNB1K1NR w KQkq -,d2d4 c8g4 f3f4 e7e6 g1f3 f8d6 f3e5 e8h8 b5c6 b7c6
r1bqkb1r/ppp2ppp/2n2n2/3p4/3P4/2P2Q2/PP3PPP/RNB1KBNR w KQkq -,g1e2 h7h6 h2h3 f8d6 e2g3 c6e7 f1d3 e8h8 g3h5 f6h5
r1bqkb1r/ppp3pp/2n2n2/4pp2/8/2N3N1/PPPP1PPP/R1BQKB1R w KQkq -,d2d3 c8e6 f1e2 d8d7 f2f4 f8c5 f4e5 c6e5 c1f4 e5g6
rnbqkb1r/ppp1pppp/8/8/8/2n5/PPPPBPPP/R1BQK1NR w KQkq -,e2h5 c3d1 h5d1 g7g6 g1f3 f8g7 e1h1 e8h8 d2d4 e7e6
r1bqkb1r/ppp2ppp/2n5/4p3/8/2P2N2/P1PPBPPP/R1BQK2R w KQkq -,d2d4 f8d6 e1h1 e8h8 f1e1 f8e8 a1b1 h7h6 e2b5 e5d4
r2qkbnr/ppp1pppp/8/3P4/2p1PPb1/5n2/PP4PP/RNBQKB1R w KQkq -,e1e2 f3h2 e2e1 g4d1 h1h2 d1c2 b1c3 g8f6 f1c4 c2e4
r1b1kb1r/ppp2Npp/2n5/3np3/4P2q/8/PPPP1PPP/RNBQK2R w KQkq -,e1f1 d5f4 d2d3 f8c5 c1e3 c8h3 e3c5 h3g2 f1e1 e8f7
r3kb1r/ppp2Npp/2n5/3Pp3/6bq/8/PPPP1PPP/RNBQK2R w KQkq -,c2c3 g4d1 e1d1 h4g4 d1c2 e8f7 d5c6 g4g6 d2d3 e5e4
rnbqkb1r/ppp1pp1p/3p2p1/8/3PP1n1/3BB3/PPP2PPP/RN1QK1NR w KQkq -,e3d2 f8g7 g1f3 e8h8 h2h3 g4f6 b1c3 b8c6 d4d5 c6e5
r1b1kb1r/ppp2Npp/2n5/4p3/4Pn1q/8/PPPP1PPP/RNBQ1RK1 w kq -,d2d3 e8f7 g2g3 f4h3 g1g2 h4d8 c1e3 h7h5 c2c3 g7g5
rnbqkbnr/ppp3pp/5p2/4p3/3Pp3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,f1b5 c7c6 f3e5 f6e5 d1h5 e8d7 b5c4 g8f6 h5f7 d8e7
rn1qkbnr/p3pppp/2p1b3/1p6/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,a2a4 d8a5 c1e3 b5b4 c3e2 g8f6 e2f4 e6c8 f1c4 f6e4
rnbqkb1r/pp3ppp/2p1pn2/3p2B1/4P3/3P1N2/PPP2PPP/RN1QKB1R w KQkq -,e4e5 h7h6 g5e3 f6d7 c2c3 c6c5 d3d4 d8b6 d1c1 b6c7
r3kb1r/ppp2ppp/2n5/3Pp1q1/8/7b/PPPP1PPP/RNBQ1RK1 w kq -,g2g4 h3g4 d2d4 g5g6 d1d3 c6d4 d3g6 h7g6 b1d2 d4c2
rnbqk1nr/pppppp1p/7b/6p1/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq -,d2d4 b8c6 h2h4 e7e6 b1c3 h6g7 c1g5 g8e7 g1f3 h7h6
rn1qkbnr/ppp1ppp1/6b1/3p3p/3P1BPP/5P2/PPP1P3/RN1QKBNR w KQkq -,e2e3 e7e6 d1d2 c7c5 b1c3 b8c6 e1a1 a8c8 d4c5 f8c5
rn1qkb1r/ppp2ppp/5n2/3pp2b/8/4P1PP/PPPPNPB1/RNBQK2R w KQkq -,e1h1 b8d7 g3g4 h5g6 d2d4 e5d4 e3d4 f8e7 f2f4 g6e4
8/8/8/3k4/8/4K3/4R3/R7 w - -,b1c3 c7c6 g3g4 h5g6 d2d3 b8d7 f2f4 h7h6 f4f5 g6h7
8/8/8/8/2k5/4K3/4R3/3R4 w - -,b1c3 c7c6 g3g4 h5g6 d2d3 b8d7 f2f4 h7h6 f4f5 g6h7
r2qkb1r/ppp2ppp/2npbn2/4p3/2B1P3/3P1N2/PPPN1PPP/R1BQK2R w KQkq -,e1h1 f8e7 c2c3 a7a5 c4e6 f7e6 d1b3 d8c8 a2a4 e8h8
rn1qkb1r/pp2npp1/2p1p1b1/3p2Pp/3P1B1P/2N2P2/PPP1P3/R2QKBNR w KQkq -,e2e4 e7c8 f1d3 f8d6 g1e2 e8h8 d1d2 b7b5 e1a1 b8d7
r1bqkbnr/ppp2ppp/3p4/2nPp3/2P1P3/5N2/PP3PPP/RNBQKB1R w KQkq -,d1c2 g8f6 b1c3 c8g4 b2b4 c5d7 f3d2 a7a5 b4a5 a8a5
r3kb1r/pppq1ppp/2n2n2/3pp3/6b1/1P2P1P1/PBPPNPBP/RN1QK2R w KQkq -,e1f1 g4h3 d2d4 e5e4 e2f4 h3g4 f4e2 h7h5 h2h3 g4f5
rnbqkbnr/1p2pppp/p7/2pp4/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq -,d4c5 e7e6 c4d5 e6d5 b1c3 g8f6 c3a4 b8c6 g1f3 c8e6
rnbqr1k1/ppp2pbp/3p1np1/4p3/3P1B2/3BPN1P/PPP2PP1/RN1Q1RK1 w - -,f4e5 d6e5 f3e5 c7c5 c2c3 b8c6 d3b5 a7a6 e5c6 d8c7
8/8/8/3Q4/5K2/8/8/5k2 w - -,f4e5 d6e5 f3e5 c7c5 c2c3 b8c6 d3b5 a7a6 e5c6 d8c7
r1bqk2r/ppp2ppp/2p5/8/4P3/2N5/PPP2bPP/R1BQKB1R w KQkq -,e1f2 d8e7 d1d4 e8h8 c1f4 f8d8 d4e3 c8g4 e3g3 g4h5
rnbqk1nr/pp2bppp/2pp4/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,g2g3 g8f6 f1g2 e8h8 e1h1 f8e8 d1c2 b8d7 f1d1 e7f8
rnbq1rk1/ppp1ppb1/3p1npp/8/3PP2B/2P5/PP1N1PPP/R2QKBNR w KQ -,f1e2 c7c5 d4c5 d6c5 e4e5 f6d5 h4g3 c8e6 g1f3 d8c7
rn4rk/1pp1bQ1p/p3p2B/1P1qNp2/P2P4/2P5/5PPP/R4RK1 w - -,f1e2 c7c5 d4c5 d6c5 d1c2 b8c6 a1d1 c8e6 a2a4 d8b6
rnbqk2r/ppp1ppb1/3p1npp/8/3PP2B/2P5/PP3PPP/RN1QKBNR w KQkq -,b1d2 e7e5 g1f3 b8c6 d4e5 c6e5 f3e5 d6e5 d1c2 e8h8
rnbqk2r/pp2npbp/4p1p1/2ppP3/3P4/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,d4c5 b8c6 h2h4 c8d7 e3f4 b7b6 c5b6 d8b6 d1d2 b6b8
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/1PN3P1/P3PPBP/R1BQK1NR w KQ -,a1b1 b8d7 g1f3 f6e4 c3e4 d5e4 f3d2 f7f5 c1b2 e6e5
rnbqk2r/ppp2ppp/5n2/2bBp3/4P3/5Q2/PPPP1PPP/RNB1K1NR w KQkq -,b1c3 e8h8 d2d3 f6d5 e4d5 c7c6 g1e2 c6d5 f3d5 d8d5
8/8/8/8/8/3Q2K1/8/4k3 w - -,g1h3 e8h8 b1c3 f6d5 e4d5 c7c6 d2d3 f7f6 e1h1 f8f7
rnbqk2r/ppp2ppp/4pn2/3p2B1/1b1P4/2NQ4/PPP1PPPP/R3KBNR w KQkq -,e1a1 e8h8 g5f6 d8f6 e2e4 b4c3 d3c3 d5e4 f2f3 e6e5
r1bqkb1r/p1p2ppp/1pn2n2/3p4/3P4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f3e5 c6e5 d4e5 f6d7 d1d5 a8b8 f1b5 f8b4 e5e6 f7e6
r2qkb1r/p1pb1ppp/1pn2n2/1B1p4/3P4/2N1PN2/PP3PPP/R1BQK2R w KQkq -,d1a4 c6e7 b5d7 d8d7 a4d7 e8d7 f3g5 h8g8 g5f7 g7g5
8/8/4Q3/8/1K6/3k4/8/8 w - -,e1h1 f8d6 c1d2 c6e7 a1c1 c7c6 b5d3 d7f5 d3f5 e7f5
8/8/8/8/1K6/3Q4/1k6/8 w - -,e1h1 f8d6 c1d2 c6e7 a1c1 c7c6 b5d3 d7f5 d3f5 e7f5
2rq1rk1/1p2bppp/p1npbn2/4p3/2P1P3/N1N1B3/PP2BPPP/R2Q1RK1 w - -,a1c1 d8e8 d1d2 f6d7 c3d5 e7d8 e2h5 d7c5 f2f3 g7g6
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/3BP3/PP3PPP/RNBQK1NR w KQkq -,d3h7 f6h7 g1e2 c8f5 b1d2 f5d3 e1h1 h7f6 e2f4 e7e6
rnbqk2r/pp2bppp/4pn2/2pp4/3P1P2/2PBP3/PP1N2PP/R1BQK1NR w KQkq -,a2a4 b7b6 d1e2 c8b7 g1f3 e8h8 e1h1 f6e4 a4a5 b6a5
r1bqkbnr/pp4pp/2n5/4pp2/8/3P1N2/PPP2PPP/RNBQKB1R w KQkq -,b1d2 g8f6 f1e2 f8d6 c2c3 e8h8 e1h1 d6c7 b2b4 a7a6
rnbqk1nr/pp1pppbp/6p1/2p5/3P3P/5N2/PPP1PPP1/RNBQKB1R w KQkq -,d4d5 g8f6 b1c3 e8h8 a2a4 d7d6 e2e4 c8g4 f1e2 a7a6
r1bq1rk1/pppnppbp/3p1np1/8/2PPP2P/2N2N2/PP3PP1/R1BQKB1R w KQ -,f1e2 e7e5 d4d5 a7a5 f3d2 h7h5 d2f1 d7c5 c1g5 d8e8
rn1qkbnr/pp3ppp/4p3/2ppPb2/3P4/8/PPPB1PPP/RN1QKBNR w KQkq -,d2c3 b8c6 g1f3 f5g4 f1e2 d8b6 d4c5 f8c5 e1h1 g4f3
r2qkbnr/pp3ppp/2n1p3/3pPb2/3P4/8/PP1B1PPP/RN1QKBNR w KQkq -,b1c3 c6d4 d1a4 d4c6 f1b5 g8e7 g1e2 a7a6 b5c6 e7c6
r1bqkb1r/pp2pppp/2n2n2/2pp4/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,e4e5 d5c4 e5f6 g7f6 b1a3 c8e6 b2b3 c4b3 a2b3 d8d3
r1bqkb1r/pp2pppp/2n5/2pn4/2B5/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,e1h1 e7e6 d2d4 c5d4 f1e1 d5b6 c4b3 d4c3 d1e2 f8e7
r1bqkb1r/pp3ppp/2n1p3/2pn4/2BP4/2P2N2/PP3PPP/RNBQK2R w KQkq -,e1h1 f8e7 d4c5 e7c5 b1d2 e8h8 f1e1 h7h6 h2h3 c5e7
rnbqkbnr/ppp1p2p/5pp1/3pQ3/8/4P3/PPPP1PPP/RNB1KBNR w KQkq -,f1b5 c7c6 e5c3 c6b5 a2a4 b5a4 a1a4 e7e5 c3b3 g8e7
rnbq1rk1/pppnppbp/3p2p1/4P3/3P1B2/2N2N2/PPP2PPP/R2QKB1R w KQ -,d1d2 d6e5 d4e5 d7b6 d2e3 c8g4 f1e2 b8c6 a1d1 d8c8
r1bqk2r/ppp1bppp/2n1pn2/3p4/2P5/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq -,d2d4 e8h8 a2a3 b7b6 d1c2 c6b8 f1d3 c7c5 d4c5 d5c4
r1b1kb1r/pppn1ppp/5n2/4p3/4P3/4BP2/PPP3PP/RN1K1BNR w kq -,a2a4 f8c5 d1e2 a7a5 b1d2 e8h8 e2f2 c5e3 f2e3 g7g6
rnb1k2r/ppp2ppp/1q2pn2/8/1b6/2N2N2/PPPB1PPP/R2QKB1R w KQkq -,f1e2 b8d7 e1h1 e8h8 c3a4 b6a5 a4c3 c7c6 f1e1 a5d8
rnbqkb1r/pp2pppp/8/2n3B1/4p2P/8/PPPN1PP1/R2QKBNR w KQkq -,d1e2 d8a5 g5e3 e7e5 e2b5 a5b5 f1b5 c8d7 e3c5 d7b5
rn1qkbnr/ppp1pppp/8/3p1b2/8/3P4/PPPQPPPP/RNB1KBNR w KQkq -,e2e4 d5e4 d2f4 f5g6 d3e4 b8d7 f1d3 e7e5 f4e3 f8d6
rnbqkb1r/pp1n1ppp/4p3/3pP3/3p4/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,f3d4 d7e5 c1f4 e5g6 f4g3 a7a6 c3a4 e6e5 c2c4 f8d6
r1bk2nr/ppp2ppp/8/4p3/1b2P3/4B3/PPP2PPP/RN2KB1R w KQ -,b1d2 g8f6 f2f3 d8e7 a2a3 b4d6 d2c4 b7b6 e1a1 c8e6
r1bqk1nr/pp1nbpp1/2p4p/4p3/2B1P3/5N2/PPP2PPP/RNBQ1RK1 w kq -,b2b3 g8f6 b1d2 e8h8 c1b2 e7d6 a2a4 f8e8 h2h3 d7c5
rnbqk2r/ppp1bppp/5n2/3p4/8/1PN2N2/P1PP1PPP/R1BQKB1R w KQkq -,f1d3 e8h8 e1h1 c7c5 f1e1 a7a6 c3e2 b8c6 e2g3 e7d6
rnbqkbnr/pp3ppp/2pp4/4p3/4P1P1/8/PPPP1PBP/RNBQK1NR w KQkq -,h2h3 h7h5 g4h5 g8f6 d2d4 f6h5 b1c3 b8d7 c1e3 f8e7
r1bqk2r/pppp2pp/2n2n2/4pp2/2P5/P1bP2P1/1P2PPBP/R1BQK1NR w KQkq -,d1d2 c3d2 c1d2 h7h6 g1f3 d7d6 d2c3 a7a6 b2b4 e8h8
r2qk2r/ppp1ppbp/2n2np1/3p1b2/3P1B2/2P1PN2/PP2BPPP/RN1QK2R w KQkq -,h2h3 e8h8 b1d2 f6e4 e1h1 h7h5 f1e1 f8e8 e2b5 e4d2
r2qkb1r/pp2pppp/2np1n2/2p5/4P3/3P1bPP/PPP2PB1/RNBQK2R w KQkq -,b2b3 f3d1 e1d1 e7e6 c1b2 d8b6 h1f1 a8d8 b1d2 h7h5
rnb1kb1r/pppn1ppp/4p3/3pP3/3P1P1q/8/PPPN2PP/R1BQKBNR w KQkq -,e1e2 h4f4 d2f3 f4g4 g1h3 f7f6 h3f2 g4g6 e5f6 b8c6
rnbqk2r/pp2ppbp/5np1/2p1p3/2B2P2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,d2d3 e5f4 c1f4 e8h8 e1h1 b8c6 d1e1 f6h5 f4e3 b7b6
r2qkbnr/ppp2pp1/2n1p2p/3p4/3P1B2/2PbPN2/PP3PPP/RN1QK2R w KQkq -,f3e5 c6e5 f4e5 d3g6 e1h1 f7f6 e5g3 c7c6 c3c4 h6h5
rnbqkb1r/pppn1ppp/4p3/3pP3/3P1P2/6P1/PPPN3P/R1BQKBNR w KQkq -,c2c3 c7c5 f1d3 a7a5 h2h4 b8c6 g1e2 c5d4 c3d4 a5a4
r2qk1nr/ppp2pp1/2nbp2p/3p4/3P1B2/2PQPN2/PP3PPP/RN2K2R w KQkq -,f4g3 g8f6 e1h1 e8h8 c3c4 f8e8 b1c3 c6b4 d3e2 d5c4
rnbqk2r/ppp2pbp/4pnp1/3p4/3P4/4PN2/PPPNBPPP/R1BQK2R w KQkq -,e1h1 e8h8 b2b4 f6e4 c1b2 a7a5 b4b5 c7c5 c2c4 a5a4
r2qkb1r/pp1n1ppp/2p1pn2/8/2pP2b1/2N1PN2/PP2BPPP/R1BQ1RK1 w kq -,e2c4 f8d6 h2h3 g4h5 e3e4 e6e5 d4d5 d7b6 c4d3 c6d5
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P3N/2N5/PPP2PPP/R1BQKB1R w KQkq -,c1g5 d8b6 d1d2 b6b2 a1b1 b2c2 b1b7 c2d2 e1d2 f5g6
rnbqk2r/ppp1ppb1/5np1/3p3p/3P1B1P/4P3/PPP1BPP1/RN1QK1NR w KQkq -,g1f3 c7c5 c2c3 b8c6 e1h1 d8b6 d1b3 c5c4 b3b6 a7b6
rn1qk1nr/ppp2ppp/4p3/3pNb2/1b1P4/2N5/PPP1PPPP/R1BQKB1R w KQkq -,e2e3 b8d7 c1d2 d7e5 d4e5 g8e7 f1d3 e8h8 e1h1 c7c5
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/1QN1P3/PP3PPP/R1B1KBNR w KQkq -,b3b7 b8d7 c4c5 a8c8 b7a7 e6e5 g1f3 f6e4 a7a4 f8e7
8/8/8/3K4/5k2/4n3/8/4Q3 w - -,g1f3 d8c7 f3h4 f5e4 c1d2 h7h6 c3e4 d5e4 g2g3 f8e7
3k4/2r5/1Q6/1K6/8/8/8/8 w - -,g1f3 d8c7 f3h4 f5e4 c1d2 h7h6 c3e4 d5e4 g2g3 f8e7
rnb1k2r/ppp2ppp/3p4/2b1P3/3N3q/4K3/PPP3PP/RNBQ1B1R w kq -,e5e6 f7e6 c2c3 e6e5 e3d2 e5d4 f1b5 b8c6 d1e1 h4e7
8/8/8/8/7p/4K2k/8/8 w - -,e3f2 h3g4 f2g2 g4f4 g2h2 f4g5 h2h3 g5h5 h3h2
rnbqk2r/ppppb1pp/4p3/5p2/3Pn3/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,c2c4 d7d5 b1c3 c7c6 d1c2 b8d7 f1d1 e8h8 f3e1 e7d6
rnbqkb1r/pp3ppp/3p1n2/2p1p3/2P1P3/2NP1N2/PP3PPP/R1BQKB1R w KQkq -,f1e2 b8c6 e1h1 g7g6 f3e1 f8g7 f2f4 c6d4 e1c2 e8h8
r1bq1rk1/pp1pppbp/n1p2np1/8/2P5/2N1P1P1/PP1PNPBP/R1BQK2R w KQ -,e3e4 d7d6 e1h1 a8b8 d2d4 b7b5 c4b5 c6b5 a2a3 b5b4
r1bqkb1r/1ppp1pp1/p1n2n1p/4p3/2B1P3/P1NP4/1PP2PPP/R1BQK1NR w KQkq -,c1e3 f8e7 h2h3 d7d6 g1e2 e8h8 e1h1 f6h5 c3d5 e7g5
r1bqkb1r/pppnpppp/3p1n2/8/4P3/3P1P2/PPP3PP/RNBQKBNR w KQkq -,g1e2 c7c6 d3d4 e7e5 b1c3 f8e7 e2g3 e8h8 c1e3 e5d4
rnb1kb1r/ppp2ppp/8/4q3/2B1p3/8/PPPPQ1PP/R1B1K1NR w KQkq -,g1h3 b8c6 c2c3 f8d6 h3f2 c8f5 g2g3 e8h8 e1h1 a8e8
rnbqkbnr/ppppppp1/8/8/1P5p/8/PBPPPPPP/RN1QKBNR w KQkq -,e2e3 g8f6 c2c4 d7d5 c4d5 f6d5 a2a3 b8d7 d2d4 a7a5
rnbqk2r/ppppnpbp/6p1/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,f3g5 e8h8 h2h4 c7c6 c4f7 f8f7 g5f7 g8f7 h4h5 d7d6
rnbq1rk1/p1ppbppp/1p2pn2/8/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w - -,e3e4 d7d5 e4e5 f6d7 c2c4 d5c4 d3c4 c8a6 c4a6 b8a6
rnbq1rk1/ppppnpbp/6p1/4p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQ -,h2h4 h7h5 c1e3 c7c6 g2g4 d7d5 g4h5 d5c4 h5g6 f7g6
8/8/8/Q1n5/3k4/8/3K4/8 w - -,e1h1 b8c6 g5f3 c6a5 b1c3 a5c4 d3c4 h7h6 h2h3 d7d6
rnbqk1nr/ppp2pbp/4p1p1/8/2BPP3/5N2/PP3PPP/RNBQK2R w KQkq -,e1h1 g8e7 b1c3 a7a6 d1e2 b7b5 c4b3 c7c5 d4c5 d8c7
r1bqk2r/pppp1ppp/2n5/4P3/2Bb2n1/5N2/PP3PPP/RNBQK2R w KQkq -,f3d4 c6e5 e1h1 e8h8 c4b3 d7d5 h2h3 g4f6 d4f3 f8e8
r1bq1rk1/ppp2pbp/2np1np1/4p3/3PP3/2P1BN1P/PP1N1PP1/R2QKB1R w KQ -,f1d3 d6d5 f3e5 c6e5 d4e5 f6e4 d2f3 b7b6 e1h1 c8b7
r1bq1rk1/pppnp1bp/3p1np1/3P1p2/2P5/5NP1/PP2PPBP/RNBQ1RK1 w - -,d1c2 f6e4 f3d2 d7c5 d2e4 c5e4 c1e3 e7e6 d5e6 d8f6
r1bqk1nr/1ppp1ppp/p1n5/1Bb5/3pP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,c1g5 f7f6 b5c6 d4c3 b1c3 d7c6 d1d8 e8d8 g5f4 c8g4
r3kb1r/pp1nppp1/1qp2n1p/3p1b2/3P1B2/1QP1PN2/PP1N1PPP/R3KB1R w KQkq -,h2h4 a7a5 b3b6 d7b6 a2a4 e7e6 f3e5 f8e7 f1d3 f5d3
r2qk2r/ppp2ppp/2np1n2/4p3/2B1P1b1/3PQN2/PPP2PPP/RN2K2R w KQkq -,b1d2 e8h8 e1h1 c6a5 c4b3 c7c5 c2c3 a5b3 a2b3 f8e8
rnbq1rk1/pp3ppp/2pbpn2/3p4/3P4/3BPN1P/PPP2PP1/RNBQ1RK1 w - -,b1c3 b8d7 e3e4 f6e4 c3e4 d5e4 d3e4 d8c7 c2c3 b7b6
r1bqkb1r/ppp2pp1/2n2n1p/3pp3/4P3/4QN2/PPPP1PPP/RNB1KB1R w KQkq -,e4d5 f6d5 e3e4 f7f5 e4h4 d8d6 b1c3 f8e7 h4c4 d5b6
rnbq1rk1/pp3ppp/4pn2/1Nbp4/5B2/4P3/PPP2PPP/R2QKBNR w KQ -,f1d3 d8e7 g1f3 b8c6 b5d4 f6d7 d4c6 b7c6 f3e5 d7e5
r1bqkb1r/pp1npppp/2p5/3n4/3P1B2/2N5/PP2PPPP/R2QKBNR w KQkq -,c3d5 c6d5 g1f3 d8b6 d1c2 d7f6 a2a3 c8d7 a1c1 a8c8
rnbqk1nr/pp1p1ppp/4p3/8/1b2P3/2N5/PPP2PPP/R1BQKBNR w KQkq -,d1d4 b4f8 c1f4 b8c6 d4e3 g8f6 e1a1 d8a5 c1b1 f8c5
rnbq1rk1/ppp1bppp/4pn2/3pN3/2PP4/2N5/PP2PPPP/R1BQKB1R w KQ -,h2h3 d5c4 e2e3 c7c5 f1e2 c5d4 e3d4 b8c6 e5c6 b7c6
