8/5pkp/R3p1p1/p3P1N1/3P4/8/P1p1nPPP/5K2 w - -,a6c6 c2c1q c6c1 e2c1 a2a4 h7h5 g5e4 c1d3 e4c5 d3f4
r5k1/4pp2/3p1n2/3P1P1p/2P3pP/r5q1/4B1P1/1QR1R2K w - -,h1g1 g3e3 g1h1 e3f2 c1c2 f2h4 h1g1 g4g3 e2f3 a3a1
8/5pkp/2R1p1p1/p3P1N1/3P4/8/P3nPPP/2q2K2 w - -,c6c1 e2c1 a2a4 h7h6 g5e4 c1b3 f1e2 b3d4 e2d3 d4c6
8/4p3/5r2/4k3/5R2/5K2/5P2/8 w - -,f4f6 e7f6 f3g4 e5e4 f2f4 e4d3 g4f5 d3e3 f5f6 e3f4
8/pp6/3B1k1p/3P4/8/5K2/Pn5P/8 w - -,f3e4 b2c4 d6f8 h6h5 f8b4 a7a6 e4d4 c4e5 b4d6 e5d7
r1bqr1k1/ppppbppp/5n2/3NNQ2/1nP5/4P3/PP1P1PPP/R1B1KB1R w KQ -,e5g4 f6g4 f5g4 b4c2 e1d1 d7d6 g4f4 e7g5 f4f3 c2a1
8/8/3KB3/8/2N2k2/8/8/8 w - -,e5g4 f6g4 f5g4 b4c2 e1d1 d7d6 g4f4 e7g5 f4f3 c2a1
r1bqr1k1/pppp1ppp/5n2/4NQ2/1bP5/4P3/PP1P1PPP/R1B1KB1R w KQ -,e5f3 d7d5 f5d3 c8e6 a2a3 b4f8 b2b3 d8d7 d3c2 e6f5
r1bq1rk1/pppp1ppp/5n2/4n3/2PNp3/P1P3P1/3PPPBP/R1BQK2R w KQ -,e1h1 f8e8 a3a4 e5c4 d2d3 e4d3 e2d3 c4e5 f2f4 e5g6
rn2kb1r/p1qbpppp/2p2n2/1p6/2B5/2NP1P2/PPPBQ1PP/2KR2NR w kq -,h2h4 b5c4 d3c4 b8a6 g2g4 e7e5 g1h3 f8e7 d1e1 d7e6
8/5pk1/4p1pp/p3P1N1/3P4/P7/5PPP/2n2K2 w - -,g5f3 f7f5 f1e1 c1d3 e1e2 d3f4 e2f1 a5a4 f3d2 g7f7
rn2kb1r/2qbpppp/2p2n2/pp6/8/1BNP1P2/PPPBQ1PP/2KR2NR w kq -,d1e1 a5a4 b3f7 e8f7 f3f4 f7g8 g1f3 h7h5 h2h3 c6c5
5R2/1k6/p7/2p5/8/2r5/P7/1K6 w - -,
8/5R2/pk6/2p5/8/2r5/P7/1K6 w - -,
8/8/p4R2/k1p5/8/2r5/P7/1K6 w - -,
r1bqr1k1/p1p2pp1/2pp1n1p/2b5/4P3/2NB3P/PPP2PP1/R1BQR1K1 w - -,c3a4 f6d7 a4c5 d7c5 e1e3 d6d5 e3g3 d8f6 d1h5 c5e4
r1bq1rk1/4bppp/p3pn2/1pp5/3P4/2NBPN2/PP3PPP/2RQ1RK1 w - -,a2a4 c5c4 d3e2 a8b8 h2h3 e7d6 f3d2 d8c7 d1c2 c8b7
rn2kb1r/ppq1pppp/2p2n2/5b2/2B2P2/2NP4/PPPBQ1PP/R3K1NR w KQkq -,g1f3 b8d7 h2h3 h7h5 e1a1 b7b5 f3d4 g7g6 c4b3 e7e6
r1r3k1/1b1q1pbp/p2ppnp1/n7/Pp1P4/3B1N1P/1PPNQPPB/R1R3K1 w - -,c2c4 c8e8 c1e1 a8d8 c4c5 d6c5 d3a6 b7a6 e2a6 d8a8
r1bqk2r/p1pn1ppp/1pnp4/4p3/2P1P3/P1PP1NP1/5P1P/R1BQKB1R w KQkq -,f3h4 d7c5 f1g2 c6a5 a1b1 d8d7 d3d4 c5a4 c1d2 c7c5
r2qk2r/pbpn1ppp/1pnp4/4p3/2P1P3/P1PP1NP1/5PBP/R1BQK2R w KQkq -,e1h1 f7f6 a3a4 d8e7 f3e1 h7h5 h2h3 c6a5 e1c2 d7c5
2r3rk/ppN2p1p/5Pp1/3R4/1p4n1/1P6/P5PP/3R1K2 w - -,d1d4 g4e3 f1e2 e3d5 c7d5 g8d8 e2e3 d8d6 e3d3 c8d8
r1bq4/ppp1nQpk/1bnp3p/8/2BPP3/2N5/P4PPP/R1B2RK1 w - -,c1e3 b6d4 e3d4 c6d4 c3d5 e7d5 e4d5 d8g5 f1d1 c8h3
r2qk2r/pbpn1ppp/1p1p4/n3p3/2P1P3/P1PP1NP1/5PBP/R1BQ1RK1 w kq -,f3h4 g7g6 g2h3 d8e7 h4g2 e8a8 g2e3 f7f6 a3a4 d8f8
3R4/8/8/6K1/2p5/8/4k3/8 w - -,
rnbqkbnr/pp2pppp/8/2P5/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq -,c3b5 a7a6 b5d4 e7e5 d4c2 d8d1 e1d1 f8c5 c1e3 c5e7
8/pp6/3B1k1p/3P4/2n1K3/8/P6P/8 w - -,d6c5 a7a6 e4d4 c4e5 c5d6 e5d7 d4e4 h6h5 d6b4 d7b6
rn2k2r/pp2ppbp/1qp2np1/3p4/3P1BbP/P1N1PN2/1PP2PP1/R2QKB1R w KQkq -,b2b4 b8d7 f1e2 e8h8 f3e5 g4e2 d1e2 b6d8 e1h1 d7e5
5r1k/6p1/3R3b/p1p5/1pP2p2/1P3P1P/PB6/2K5 w - -,d6h6 h8g8 h6h5 f8d8 c1c2 d8d6 h5g5 d6e6 g5g7 g8f8
r6r/5pkp/p1q2p2/1pp5/1PP5/3P4/1P3PPP/R1B1R1K1 w - -,c4b5 c6b5 b4c5 h7h5 d3d4 g7h7 h2h4 h8g8 g2g3 b5c6
2rq1rk1/pp4pp/2n1b3/3p1p2/1P3P2/P2BbN2/1BP4P/R2Q1R1K w - -,b4b5 c6e7 d1e2 d8b6 a1e1 d5d4 f3d4 e3d4 e2e6 b6e6
r3kbnr/pp3ppp/1qn1p3/1B1pPb2/Q1pP4/2P2N2/PP3PPP/RNB1K2R w KQkq -,e1h1 a8c8 f1e1 a7a6 b5c6 b6c6 a4d1 b7b5 b1d2 b5b4
rnb1k2r/pp1ppp1p/5npB/2q5/2P5/2P5/P1Q1PPPP/R3KBNR w KQkq -,e2e3 h8g8 e3e4 b7b6 h6e3 c5c7 a2a4 c8b7 f2f3 b8c6
r1bqkb1r/pp1ppppp/5n2/2p1n3/4P3/2N5/PPPPBPPP/R1BQK1NR w KQkq -,f2f4 e5c6 e4e5 f6g8 g1f3 d7d5 d2d4 e7e6 c1e3 c5c4
r1bqkb1r/pp1ppppp/2n2n2/2p5/4PP2/2N5/PPPPB1PP/R1BQK1NR w KQkq -,e4e5 f6g8 g1f3 d7d5 d2d4 c5d4 f3d4 e7e6 c1e3 c8d7
8/pp6/5k2/3P3p/2n1KB2/8/P6P/8 w - -,h2h4 a7a6 f4g5 f6f7 e4d4 c4d6 d4e5 d6c4 e5e4 c4b6
r1bqkbnr/pp1ppppp/2n5/2p1P3/5P2/2N5/PPPPB1PP/R1BQK1NR w KQkq -,g1f3 d7d5 d2d4 e7e6 c1e3 c5d4 f3d4 c6d4 d1d4 g8e7
1rk5/rp3p2/1Q6/nBp1p3/2P5/q3N3/8/1K5R w - -,g1f3 d7d5 d2d4 e7e6 c1e3 c5d4 f3d4 c6d4 d1d4 g8e7
rn2kbnr/1p1b1ppp/1p2p3/3pP3/3P4/8/PP3PPP/RNB1KBNR w KQkq -,b1c3 b8c6 g1f3 f7f6 f1e2 f6e5 d4e5 f8b4 c1e3 g8e7
2rrb1k1/pp3pp1/4p2p/3q4/2NP1R2/P5RP/1P1Q1PP1/6K1 w - -,c4b6 a7b6 f4g4 g8f8 g4g7 d5d4 d2h6 f8e7 g1h2 d8d5
r1b3k1/3p4/p1p1pr1p/2bn4/8/3B4/PPP3PP/R4R1K w - -,b2b4 c5e7 c2c4 d5f4 d3e4 g8g7 c4c5 e6e5 a2a4 a8a7
r2qkb1r/p2bpp1p/2pp1np1/6B1/3QP3/2N2N2/PPP2PPP/R3K2R w KQkq -,e4e5 d6e5 f3e5 d7e6 e5c6 d8d7 d4d7 e6d7 c6e5 d7e6
8/5pk1/4p1pp/p3P3/3P4/P2n1N2/5PPP/5K2 w - -,f3d2 g6g5 d2c4 a5a4 f1e2 d3f4 e2f3 f4d3 c4e3 f7f5
rnb1kb1r/pp3ppp/4pq2/2P5/1PP5/3p4/P3PPPP/R1BQKBNR w KQkq -,e2d3 f6a1 g1f3 a7a5 f1e2 a5b4 e1h1 a8a2 d3d4 b8d7
8/pp6/1n3k2/3P3p/3K1B2/8/P6P/8 w - -,f4d6 b6a4 d6a3 a7a6 a3b4 a4b2 h2h3 b2a4 d4e4 a4b6
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/2PP4/PP1NNPPP/R1BQKB1R w KQkq -,g2g3 d5e4 d2e4 f6e4 d3e4 d8d1 e1d1 b7b6 f2f3 c8b7
8/5pk1/4p2p/p3P1p1/3P4/P2n4/3N1PPP/5K2 w - -,d2c4 a5a4 f1e2 d3f4 e2f3 f4d3 c4e3 h6h5 f3e2 d3f4
8/3K1k2/8/5r2/1Q6/8/8/8 w - -,d2c4 a5a4 f1e2 d3f4 e2f3 f4d3 c4e3 h6h5 f3e2 d3f4
7k/1bpp2p1/3bp3/p4B2/2P5/P3B1rq/1PQ2P1P/4RRK1 w - -,f2g3 e6f5 f1f5 h3g2 c2g2 b7g2 g1g2 h8h7 g2h3 d6e7
rnb1kbnr/pp2qppp/8/2p1N3/3Pp3/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1c4 c8e6 d4d5 e6f5 c1f4 e7f6 c4b5 b8d7 d1d2 e8a8
r2qkb1r/p2bpp1p/2p2np1/4p1B1/3Q4/2N2N2/PPP2PPP/R3K2R w KQkq -,f3e5 d7e6 e5c6 d8d7 d4d7 e6d7 c6e5 d7f5 e1a1 a8c8
rn1qk2r/p1pp1ppp/bp2pn2/8/2PPP3/2P5/P1Q2PPP/R1B1KBNR w KQkq -,e4e5 f6g8 g1f3 b8c6 d4d5 c6a5 c1g5 f7f6 d5e6 f6g5
r1bqkbnr/1p3ppp/p1np4/2p1p3/P3P3/2N2N1P/1PPP1PP1/R1BQKB1R w KQkq -,f1c4 f8e7 d2d3 g8f6 e1h1 e8h8 c1g5 c8e6 g5f6 e7f6
r1bq1rk1/pp2bppp/2np1n2/2p1p3/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - -,f1e1 h7h6 d2f1 c8e6 f1e3 d8d7 f3h4 e7d8 e1f1 d6d5
3Q4/3n4/4k3/2K5/8/8/8/8 w - -,a2a3 c8e6 f1e1 a8c8 b2b4 b7b5 c1b2 d8b6 d2f1 f8d8
rn1qk1nr/p1pp1ppp/bp2p3/4P3/2PP4/2P5/P1Q2PPP/R1B1KBNR w KQkq -,g1f3 b8c6 d4d5 c6a5 c1g5 f7f6 g5h4 g7g5 e1a1 g5h4
r1bqkbnr/1ppp1pp1/2n4p/p3p3/P3P3/3P1N2/1PP2PPP/RNBQKB1R w KQkq -,f1e2 g8f6 b1c3 d7d5 e4d5 f6d5 e1h1 f8e7 d3d4 e5d4
r1bqk2r/p2pbppp/2p1p1n1/2p1P3/8/1P1P1N2/P1P2PPP/RNBQK2R w KQkq -,h2h4 f7f6 b1d2 h7h6 g2g3 e8h8 d1e2 g6e5 f3e5 f6e5
r2qk2r/pppb1pp1/2nbpn1p/3p4/3P4/PP2PN2/1BPN1PPP/R2QKB1R w KQkq -,c2c4 e8h8 d1c2 a7a5 f1e2 a5a4 b3b4 d5c4 d2c4 f6d5
r1bq1rk1/5ppp/p3pn2/1pb5/8/2NBPN2/PP3PPP/2RQ1RK1 w - -,a2a4 b5a4 c3a4 c5e7 f3e5 c8b7 d3e2 d8a5 d1d4 f8d8
rnbq1rk1/pp3ppp/2pp1n2/2b5/2B1PB2/3P1N1P/PPP3P1/RN1QK2R w KQ -,c4b3 a7a5 a2a4 f6h5 f4h2 c5e3 d1e2 h5f4 h2f4 e3f4
K7/8/7k/1R4R1/8/8/p7/7r w - -,a8b8 a2a1q g5c5 a1f6 b8c7 f6e7 c7b6 e7e4 b5b3 e4d4
r2qkb1r/ppp2ppp/2n1pn2/3p3b/3P4/1PN1PN1P/P1P2PP1/R1BQKB1R w KQkq -,a2a3 f8d6 c3b5 d6e7 f1e2 a7a6 b5c3 e8h8 c1b2 e7d6
K7/8/7k/R5R1/8/8/8/q6r w - -,g5e5 a1d4 e5b5 h1f1 b5b6 h6g7 a5a7 f1f7 a7b7 d4a4
r4rk1/pp1bppb1/nq3npp/1Npp4/P2P1BPP/2P1PP1N/1P6/R2QKB1R w KQ -,f4e5 d7b5 a4b5 a6c7 f1d3 c5d4 e3d4 f6d7 f3f4 c7b5
8/8/8/8/8/3Q4/k7/5K2 w - -,f1d3 h6h5 f4e5 h5g4 h3f4 c5d4 a4a5 b6d8 e3d4 g7h6
K6q/8/7k/RR6/8/8/8/7r w - -,a8a7 h8d4 a7b8 h1f1 a5a6 h6g7 b5b7 f1f7 a6b6 d4e4
r1bq1rk1/5ppp/p3pn2/1N6/8/3BbN2/PP3PPP/2RQ1RK1 w - -,c1b1 e3f2 f1f2 a6b5 h2h3 c8b7 d3b5 d8b6 b5d3 f8d8
r1bq1rk1/5ppp/4pn2/1p6/8/3BPN2/PP4PP/2RQ1RK1 w - -,d3b5 d8d1 f1d1 a8a2 b2b4 c8b7 h2h3 f8b8 b5c4 a2a3
rnbqkb1r/1p1ppppp/p4n2/8/2BN4/5Q2/PPP2PPP/RNB1K2R w KQkq -,b1c3 b8c6 d4c6 b7c6 c1g5 e7e6 e1a1 d7d5 h1e1 f8e7
rnbqk2r/pp4pp/2p1pn2/3pNp2/1bPP1B2/4P3/PP3PPP/RN1QKB1R w KQkq -,b1c3 b8d7 f1e2 e8h8 e1h1 d7e5 f4e5 b4d6 a1c1 d8e7
r1bqk2r/1pp2ppp/p1n1pn2/8/1bQP4/5NP1/PP2PPBP/RNB1K2R w KQkq -,b1d2 d8d5 e1h1 b4d2 c4d5 e6d5 c1d2 c8e6 d2f4 e8a8
r2q1rk1/pp2bp1p/2npb2p/8/2B1Q3/2N2N1P/PP3PP1/2KR3R w - -,c4d3 e7g5 c1b1 f8e8 e4h7 g8f8 f3g5 d8g5 c3e4 g5g7
r1b1k2r/pp1n1ppp/2p1pn2/q7/3P4/P1PB3N/1BP3PP/R2Q1RK1 w kq -,d1e1 b7b6 e1g3 c8a6 c3c4 a5a4 d4d5 a6c4 d5e6 c4e6
r4rk1/pp2q1pp/2n1P3/2p1b3/2P5/6P1/PP1PQ2P/RNB2RK1 w - -,b1c3 e7e6 d2d4 f8f1 g1f1 c6d4 e2e4 e6h3 f1g1 e5g3
r2q1rk1/pp3p1p/2npb2p/6b1/4Q3/2NB1N1P/PP3PP1/2KR3R w - -,c1b1 f8e8 e4h7 g8f8 f3g5 d8g5 c3e4 g5g7 h7g7 f8g7
8/8/8/8/8/7K/2k5/1R6 w - -,d1d2 f8e8 f3g5 d8g5 e4h7 g8f8 c3e4 g5g2 h7h6 g2g7
8/8/8/8/8/1k5K/8/R7 w - -,d1d2 f8e8 f3g5 d8g5 e4h7 g8f8 c3e4 g5g2 h7h6 g2g7
2R5/8/8/8/8/1k5K/8/8 w - -,d1d2 f8e8 f3g5 d8g5 e4h7 g8f8 c3e4 g5g2 h7h6 g2g7
8/pp1n4/5k2/3P3p/3K1B1P/8/P7/8 w - -,f4g5 f6f5 g5e7 a7a6 e7d8 d7e5 d4c5 f5e4 d8a5 e5d3
4r1k1/1p3nb1/2p4p/qn4p1/r2PP3/1Q4BP/1P2N1P1/3RR1K1 w - -,e1f1 e8f8 f1f7 f8f7 d1f1 b5d4 b3f7 g8h7 e2d4 a4d4
R7/7K/8/8/8/8/2k5/8 w - -,e1f1 e8f8 f1f7 f8f7 d1f1 b5d4 b3f7 g8h7 e2d4 a4d4
r1b1kb1r/2qp1ppp/p1n1pn2/1pp5/2B1P3/2NP1NP1/PPP1QP1P/R1B1K2R w KQkq -,c4b3 c8b7 a2a4 b5b4 c3d1 c6a5 c1f4 d7d6 f3d2 h7h6
r1bq1rk1/bp1p1ppp/p1n1p3/8/1P1PP3/3B4/P2PNPPP/R1BQ1RK1 w - -,a2a3 c6d4 c1b2 d4c6 g1h1 d7d5 f2f4 d5e4 d3e4 c6d4
5rk1/1p3nb1/2p4p/qn4p1/r2PP3/1Q4BP/1P2N1P1/3R1RK1 w - -,f1f7 f8f7 d1f1 g7f6 f1f6 a4a1 e2c1 a5a2 b3a2 a1a2
r2qkb1r/ppp2pp1/2n1pnp1/3p4/3P4/2P1P3/PP2BPPP/RNBQK2R w KQkq -,d1b3 a8b8 b1d2 d8d7 a2a3 a7a6 c3c4 c6a5 b3c3 a5c4
k7/P4p2/4r1pp/8/3K3P/R4PP1/8/8 w - -,a3a4 e6d6 d4e5 d6e6 e5d5 e6b6 g3g4 b6f6 f3f4 f6b6
rn2kb1r/ppqnpppb/2p5/5PPp/2B5/2NP4/PPPBQ2P/R3K1NR w KQkq -,c4f7 e8f7 g5g6 h7g6 f5g6 f7e8 g1f3 c6c5 e1a1 c7b6
rn3b1r/ppqnpkpb/2p5/5PPp/8/2NP4/PPPBQ2P/R3K1NR w KQ -,g5g6 f7e8 g6h7 c7e5 c3e4 e5b2 a1d1 e8d8 g1f3 d8c8
r2qk2r/pp3ppp/2n1bn2/2bp4/8/P1NB1N2/1PP2PPP/R1BQK2R w KQkq -,e1h1 a7a6 h2h3 h7h6 c3e2 c5a7 b2b4 e8h8 c1b2 f8e8
6k1/1p3rb1/2p4p/qn4p1/r2PP3/1Q4BP/1P2N1P1/3R2K1 w - -,d1f1 a4a1 b3f7 g8h8 g3e5 a1f1 g1f1 g7e5 f7f8 h8h7
r1b1k2r/ppp2ppp/2nb1nq1/3p4/3NP3/2P1BP2/PP1QB1PP/RN3RK1 w kq -,e3f4 d6c5 f4e3 c5d6 e4d5 c6d4 d2d4 g6h5 g2g3 h5d5
r1b1kb1r/1p3ppp/p1n2n2/3q4/8/3B1N2/PP3PPP/RNBQK2R w KQkq -,
rnbq1rk1/pp4pp/2p1pn2/3pNp2/1bPP1B2/4P3/PP1N1PPP/R2QKB1R w KQ -,a2a3 b4a5 b2b4 a5c7 d2f3 b8d7 f1d3 a7a5 e1h1 a5b4
r1b1kb1r/1p3ppp/p4n2/3q4/1n6/3B1N2/PP3PPP/RNBQ1RK1 w kq -,d3e2 d5d1 e2d1 f8c5 b1c3 e8h8 c1g5 f8d8 d1b3 c8f5
8/8/2N5/5K2/3N4/8/8/k7 w - -,
r3kb1r/1p3ppp/p3bn2/3q4/1n6/3B1N2/PP2QPPP/RNB2RK1 w kq -,f3e1 b4a2 c1e3 a8d8 b1d2 a2b4 d3c4 d5d7 e1f3 f8e7
r3kb1r/1p3ppp/p3bn2/3q4/8/3n1N2/PP2QPPP/RNBR2K1 w kq -,
