r6r/pppk1pp1/3p1q1p/3Pp3/7Q/8/PPP2PPP/R4RK1 w - -,
r1k4r/ppp2pp1/3p1q1p/3Pp3/Q7/8/PPP2PPP/R4RK1 w - -,
4kq1Q/p1rb4/8/3P4/1p3NPp/1P5P/P1P2R1K/8 w - -,f2f4 f6h4 b2b3 h8f8 a4c4 f7f5 f4e5 h4c4 b3c4 d6e5
rnbqk1nr/ppp1p1bp/3p1pp1/8/3P1P2/4PN2/PPP3PP/RNBQKB1R w KQkq -,e3e4 e7e6 b1c3 g8e7 h2h4 h7h5 c1e3 d6d5 f1d3 d5e4
8/8/1Q6/4k3/8/2K2b2/8/8 w - -,e3e4 e7e6 b1c3 g8e7 h2h4 h7h5 c1e3 d6d5 f1d3 d5e4
8/8/4b3/6Q1/4k1K1/8/8/8 w - -,e3e4 e7e6 b1c3 g8e7 h2h4 h7h5 c1e3 d6d5 f1d3 d5e4
r1r5/4kpp1/p6p/1pNppP2/2nP2P1/P2KP3/1P4P1/1R5R w - -,h1h5 a6a5 d3e2 a5a4 e2f2 f7f6 h5h1 e7d6 c5e6 a8a7
8/8/r5pp/P1k5/3R4/3K2P1/5P2/8 w - -,d4a4 g6g5 d3e4 c5d6 e4f5 d6e7 f5e5 e7e8 a4a3 e8e7
r3kb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2P1PN2/Pq1NBPPP/R2QK2R w KQkq -,a1b1 b2a2 b1b7 g4f3 g2f3 c5c4 e1h1 a8c8 d1a1 a2d2
2r5/6p1/3np1k1/3p2p1/1p1P2P1/3KPR2/1Pr5/1R1N4 w - -,e3e4 d5e4 d3e3 e4f3 e3d3 f3f2 d1f2 c2f2 b1e1 g6f6
2r5/6p1/3np1k1/3p2p1/3P2P1/1p1KP3/1Pr2R2/1R1N4 w - -,e3e4 d5e4 d3e3 d6c4 e3e4 c2f2 d1f2 c4d2 e4e5 d2b1
2r5/6p1/4p1k1/3p2p1/3Pn1P1/1p1KP3/1Pr2R2/R2N4 w - -,a1a7 e4f2 d1f2 c2f2 e3e4 c8c2 e4d5 e6d5 a7e7 g6h7
8/6p1/2r1p1k1/3p2p1/3Pn1P1/1p1KP3/1Pr1R3/R2N4 w - -,a1a6 c2e2 d3e2 c6a6 e2d3 a6a2 d1c3 e4f2 d3e2 a2b2
rnbqkb1r/ppppn1pp/8/4pp2/4PP2/8/PPPPN1PP/RNBQKB1R w KQkq -,b1c3 b8c6 f4e5 f5e4 e2f4 d7d5 d2d4 e7f5 c3d5 c6d4
r3k2r/1b2bppp/pqn1pn2/1pp5/3pPPP1/3P1N1P/PPP1N1B1/R1BQ1RK1 w kq -,g4g5 f6h5 a2a4 b5b4 f3d2 c6a5 g2f3 g7g6 f3h5 g6h5
rnbq1rk1/ppppnpbp/4p1p1/8/2PPP3/5N1P/PP3PP1/RNBQKB1R w KQ -,f1d3 d7d5 c4d5 e6d5 e1h1 d5e4 d3e4 c7c6 b1c3 b8d7
rnb1kb1r/pp1p1ppp/4pn2/8/1qPP1B2/2N5/P3NPPP/R2QKB1R w KQkq -,g2g3 b4c4 f1g2 f8a3 a1b1 d7d5 e1h1 c8d7 f4e5 a3e7
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/2B1P3/P1NP1N1P/1PPB1PP1/R2QK2R w KQ -,g2g4 f6h7 d1e2 c8e6 e1a1 b7b5 c4e6 f7e6 g4g5 h6g5
6k1/8/5K2/8/8/3B4/8/6N1 w - -,g2g4 f6h7 d1e2 c8e6 e1a1 b7b5 c4e6 f7e6 g4g5 h6g5
1r3k2/1pNn1np1/p7/6rp/P1B5/1P4P1/2P4P/2K1R3 w - -,c7e6 f8e7 e6g5 f7e5 c4f1 e7d6 e1d1 d6e7 h2h4 b7b5
rnbqkb1r/5ppp/p3pn2/1ppp4/4PP2/2NP1N2/PPP1B1PP/R1BQK2R w KQkq -,
rnbq1bnr/ppppp1pp/6k1/5p2/5P2/6K1/PPPPP1PP/RNBQ1BNR w - -,h2h3 h7h6 e2e4 e7e6 g3h2 g6h7 e4f5 e6f5 d2d4 d7d6
rnbqkbnr/5ppp/p3p3/1pp5/3pPP2/2NP1N2/PPP1B1PP/R1BQK2R w KQkq -,f4f5 d4c3 f5e6 c8e6 b2c3 g8f6 f3g5 f8e7 g5e6 f7e6
r1b1kb1r/ppp1qppp/2np1n2/8/2B1Pp2/3P1N2/PPP3PP/RNBQ1RK1 w kq -,c1f4 c8e6 c4b3 g7g6 b1c3 e6b3 a2b3 f8g7 d1d2 e8h8
rnbqkb1r/pppp4/5n1p/6p1/2BPPp2/5N2/PPP3P1/RNBQK2R w KQkq -,e4e5 d7d5 e5f6 d5c4 f3g5 d8f6 d1h5 e8e7 b1c3 h6g5
rnbq1rk1/p1p1bppp/1p1ppn2/8/2PP4/2NBPN2/PP3PPP/R1BQK2R w KQ -,e3e4 b8d7 h2h3 c7c5 d4d5 f6e8 e1h1 e7f6 d1c2 g7g6
8/1R6/5pp1/r4k1p/4p2P/6P1/5PK1/8 w - -,b7b8 a5d5 b8e8 d5c5 e8a8 c5b5 a8e8 b5b2 e8e7 b2c2
rnb2rk1/pp1p1ppp/1q2pn2/2b5/5B2/4PN2/PPP1BPPP/RN1QK2R w KQ -,e1h1 b6b2 f4e5 b2b6 e5f6 g7f6 c2c4 b6c7 b1c3 b8c6
r1bq1rk1/ppppnppp/2n5/1B2p3/1b2P3/5N2/PPPP1PPP/RNBQR1K1 w - -,c2c3 b4a5 b1a3 f7f5 d2d3 d7d6 a3c4 a7a6 b5c6 e7c6
rnb1r1k1/1p3pp1/p1pq1n1p/3p4/3P4/2NBPN2/PP3PPP/R2Q1RK1 w - -,d1c2 c8g4 f3h4 g4e6 h2h3 b8d7 h4f3 a8c8 a1c1 c6c5
rn1qkbnr/1bpppppp/p7/8/1p2P3/1PN2N2/P1PP1PPP/R1BQKB1R w KQkq -,c3a4 b7e4 a2a3 e7e6 a3b4 f8b4 f1e2 g8f6 e1h1 a6a5
rnbqkbnr/ppp2p1p/6p1/3p4/3Pp1P1/7P/PPP1PPB1/RNBQK1NR w KQkq -,c1f4 f8b4 f4d2 b4d2 d1d2 h7h5 b1c3 c7c6 e1a1 h5g4
rnb1kb1r/ppp2pp1/3p1q1p/4p3/4P3/2PP4/PP3PPP/RN1QKBNR w KQkq -,f1e2 f6g6 e2f3 b8d7 b1d2 h6h5 d2c4 a7a5 h2h4 g6f6
5B2/8/2k5/4K3/2B5/8/8/8 w - -,f1e2 b8d7 b1d2 g7g6 g1f3 h6h5 e1h1 g6g5 d2c4 f8h6
r1bq1bnr/pp1nk1p1/2p5/3pP2B/5P2/4P3/PPP3PP/RN1QK1NR w KQ -,d1f3 d8b6 b2b3 e7d8 b1d2 f8b4 a1d1 h8h5 f3h5 b6e3
r1bq1rk1/1p3ppp/pbn5/3p4/8/1N4P1/PPP2PBP/R1BQ1R1K w - -,h2h4 h7h6 c2c3 a6a5 c1f4 a5a4 b3d4 b6d4 c3d4 c8f5
6K1/4k1P1/3R4/8/8/8/7r/8 w - -,d6d1 e7e6 d1e1 e6d5 e1f1 h2g2 g8f7 d5c4 g7g8q g2g8
r1b2k1r/ppN2ppp/8/3qP3/1b2n3/2P5/PP2PPPP/R3KBNR w KQ -,a1d1 d5c5 d1d8 f8e7 d8d3 c5f2 e1d1 f2f1 d1c2 b4a5
krR5/pb6/2R5/8/8/K7/8/2Q5 w - -,a1d1 d5c5 d1d8 f8e7 d8d3 c5f2 e1d1 f2f1 d1c2 b4a5
rnbqkb1r/3n1ppp/p3p3/1pppP3/5P2/2NP1N2/PPP1Q1PP/R1B1KB1R w KQkq -,e2f2 b8c6 g2g4 f8e7 c3e2 d8c7 f1g2 c8b7 e1h1 h7h5
r1b1r1k1/1p3ppp/pb6/8/1n2B3/1N4P1/PPP2P1P/R1B2R1K w - -,e4f3 c8h3 f3g2 h3g2 h1g2 b4c2 a1b1 c2e1 g2g1 e1d3
rn1q1rk1/pp3ppp/2p1pn2/3p4/3bP3/2N2QPP/PPPP1PB1/R1BR2K1 w - -,e4d5 e6d5 c3e2 d4b6 d2d4 b8d7 h3h4 f8e8 a2a4 b6c7
1N6/8/1K2B3/8/3k4/8/8/8 w - -,b8c6 d4c3 b6b5 c3d3 b5b4 d3c2 e6f5 c2b2 c6d4 b2a1
r1b1kbnr/pp3ppp/1qn1p3/3pP3/1p1P4/2P1B3/P4PPP/RN1QKBNR w KQkq -,h2h4 b4c3 b1c3 f8b4 e3d2 g8h6 c3b5 e8h8 d2b4 c6b4
rnbqkb1r/pp2pppp/1n6/3pP3/3P4/8/PP3PPP/RNBQKBNR w KQkq -,h2h4 b8c6 b1c3 h7h6 c1e3 c8f5 g2g4 f5d7 g1h3 e7e6
8/8/8/3K4/2B5/8/8/2k1N3 w - -,
r1bqkb1r/ppppn1pp/5p2/4p3/2BnP3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,f3d4 e5d4 c2c3 c7c6 d1h5 g7g6 h5f3 f8g7 f1e1 b7b5
r2qk2r/pp3ppp/2p1bb2/3n4/Q7/2N3P1/PP2PPBP/R1B2RK1 w kq -,c3d5 e6d5 f1d1 b7b5 a4f4 d8c8 f4e3 c8e6 e3e6 f7e6
r2qk2r/pp3ppp/2p2b2/3b4/Q7/6P1/PP2PPBP/R1B2RK1 w kq -,f1d1 b7b5 a4f4 d8e7 e2e4 f6e5 e4d5 e5f4 c1f4 g7g5
r2qk2r/pp2bppp/2np1n2/1B2p2b/4P3/2N2N1P/PP2QPP1/R1BR2K1 w kq -,g2g4 f6g4 h3g4 h5g4 c3d5 e8h8 d5e3 d8c8 e3g4 c8g4
8/4kB2/8/8/8/5N2/4K3/8 w - -,f7b3 e7f6 e2d3 f6e7 b3c4 e7d7 f3e5 d7d6 d3d4 d6e7
r2qk2r/p4ppp/2p2b2/1p1b4/Q7/6P1/PP2PPBP/R1BR2K1 w kq -,a4f4 d8c8 f4e3 c8e6 e3e6 f7e6 e2e4 d5c4 e4e5 f6e5
8/6k1/3p4/3P4/2P5/8/8/7K w - -,a4b4 d8e7 b4e7 e8e7 g2d5 c6d5 d1d5 h8d8 d5d8 a8d8
rnb4r/pppp2pp/4kn2/2b1N3/4P3/8/PPPP1PPP/RNB1K2R w KQ -,d2d4 c5d4 e5f3 b8c6 f3d4 c6d4 b1a3 e6f7 c1e3 d4e6
rnbq1rk1/pp3pb1/3p1np1/3Pp2p/4P2P/2N1B3/PP2BPP1/R2QK1NR w KQ -,f2f3 b8a6 g1h3 c8h3 h1h3 a6c5 a1c1 a7a6 b2b4 c5d7
rn1qkbnr/ppp5/5p2/3p2pp/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,b1c3 g5f4 f1d3 g8e7 h2h3 g4e6 e3e4 b8c6 e1h1 d8d7
2rq1rk1/4bppp/p2p1nb1/npp1p3/4P3/2PP1NNP/PPB2PP1/R1BQR1K1 w - -,f3h4 d6d5 g3f5 a5c6 c2b3 d5e4 d3e4 c5c4 b3c2 f6d7
r2qkb1r/pp1n1pp1/2p1pn1p/3p1b2/3P3B/2NBPN2/PPP2PPP/R2QK2R w KQkq -,e1h1 f5d3 c2d3 g7g5 h4g3 f6h5 f3e5 h5g3 f2g3 d7e5
4Q3/1q4k1/p3p3/2P5/P3P2P/2P5/4r1PK/8 w - -,e8d8 g7h7 d8g5 b7c7 h2h3 c7f7 c5c6 e2e4 c6c7 e4c4
r1bqkb1r/pp2p1pp/n1p2n2/3p4/3P1Bp1/2NQ3P/PPP1PP2/R3KBNR w KQkq -,h3g4 c8g4 e1a1 e7e6 d3g3 d8d7 g1f3 g4f3 e2f3 e8a8
r1b1kb1r/pp2p1pp/n1p2n2/q2p4/3P1Bp1/2NQ3P/PPP1PP2/2KR1BNR w kq -,f4d2 a6b4 d3g3 b4a2 c1b1 a2b4 h3g4 f6e4 g3h2 c8d7
r1bqkb1r/pp1p1ppp/2n1p3/8/4P3/8/PPP2PPP/RNBQK1NR w KQkq -,a2a4 d7d5 e4d5 e6d5 g1f3 d5d4 e1h1 f8e7 b1a3 e8h8
R7/P5k1/K4p1p/4p1pP/4P1P1/5r2/8/8 w - -,a2a4 d7d5 e4d5 e6d5 g1f3 d5d4 e1h1 f8e7 b1a3 e8h8
rn1qkb1r/1p2npp1/p3p2p/3p3P/3P1BP1/2N5/PPP2P2/R2QKB1R w KQkq -,d1f3 e7c8 e1a1 f8d6 f4e3 b8c6 c1b1 c8b6 f1d3 d6e7
r1b1kbnr/1p3ppp/p1n5/4p3/2p5/6P1/PPN1PPBP/RNB2RK1 w kq -,c2e3 c8e6 b1d2 f7f6 d2c4 f8c5 f1d1 g8e7 c4d6 c5d6
2kr1b1r/1p2nppp/p1n1b3/4p3/2N5/4N1P1/PP2PPBP/R1B2RK1 w - -,c4b6 c8c7 b6a4 c6d4 a4c3 f7f5 b2b3 e7c6 c1b2 e5e4
rn1qkbnr/1b1p1ppp/p3p3/1p6/3NP3/1BN5/PPP2PPP/R1BQK2R w KQkq -,f2f3 f8c5 c1e3 d8b6 d1d2 b8c6 e1a1 a8d8 d2f2 g8f6
rnbqk2r/pp2npbp/3pp1p1/2p5/4P3/3P2P1/PPP1NPBP/RNBQ1RK1 w kq -,d3d4 e8h8 c2c3 b8c6 c1e3 b7b6 f1e1 c8a6 b1a3 a6e2
8/5pk1/5N2/4Q1pp/8/8/5PPP/6K1 w - -,c2c3 b8c6 c1e3 b7b6 f1e1 e8h8 d3d4 c8a6 b1a3 a6e2
rn1q1rk1/pb2b1pp/1pp1pn2/3pNp2/2PP4/6P1/PPQNPPBP/R1B2RK1 w - -,c4d5 c6d5 d2f3 f6e4 h2h4 d8c8 c2b3 b8c6 c1f4 c6a5
5R2/3N4/6k1/8/7K/8/8/8 w - -,f1d1 b8d7 e5d3 d8e8 b2b4 a7a5 b4a5 a8a5 a2a4 a5a7
r3k1nr/ppp1bppp/2n5/3q4/3p2b1/3B1N2/PPP2PPP/RNBQR1K1 w kq -,
r6k/pr6/2p3p1/4Rbq1/3B4/7p/P4RPP/6K1 w - -,e5e7 h8g8 e7b7 g5c1 f2f1 c1d2 b7g7 g8f8 g7g6 d2d4
rn1qkb1r/pp3p1p/5p2/3bp3/8/1N3P2/PPP3PP/RN1QKB1R w KQkq -,b1c3 d5e6 d1d8 e8d8 c3d5 e6d5 e1a1 d8c7 d1d5 b8c6
r2qkbnr/pp2pppp/2n5/2pp1b2/8/3P1NP1/PPPNPP1P/R1BQKB1R w KQkq -,e2e4 f5g4 h2h3 g4f3 d2f3 d5e4 d3e4 d8d1 e1d1 e8a8
r2qkb1r/ppp2ppp/2np1n2/8/3pPPb1/2P2N2/PP2B1PP/RNBQK2R w KQkq -,c3d4 d6d5 e4e5 f8b4 c1d2 b4d2 b1d2 f6e4 a1c1 e8h8
r1bqk2r/pp1pppbp/2n3p1/2pnP3/7P/1P3N2/PBPP1PP1/RN1QKB1R w KQkq -,b1a3 d7d6 f1b5 c8d7 a3c4 e8h8 d2d4 c5d4 b5c6 d7c6
r1bqk2r/pp1pnpb1/4p1pp/2p5/3nP3/2NPB1P1/PPP1NPBP/R2QK2R w KQkq -,e1h1 d7d6 a2a4 e7c6 e3c1 e8h8 e2d4 c6d4 c3e2 b7b6
8/8/B7/8/2N5/1k1K4/8/8 w - -,d3d4 b3c2 a6b5 c2b1 d4c3 b1a2 c4d2 a2a1 b5a4 a1a2
rn2k1nr/pp1qppbp/3p2p1/2p5/4P3/2N2N1P/PPPP1PP1/R1BQK2R w KQkq -,e1h1 b8c6 f1e1 a8c8 d2d3 b7b6 a2a4 g8f6 c3d5 e8h8
r1bq1rk1/3np1bp/p2p1p2/1PpP4/4P2p/2N1Q3/PP1N2PP/R3KB1R w KQ -,g2g4 h4g3 e3g3 g8h8 h1g1 g7h6 a2a4 d7e5 d2c4 e5c4
rn1qkb1r/pb1n1ppp/1p2p3/2ppP3/3P4/2NB1N1P/PPP2PP1/R1BQK2R w KQkq -,c1g5 d8c8 e1h1 a7a6 f1e1 c8c7 g5f4 f8e7 d3f1 e8h8
r1b1k1nr/pppp2pp/2n1qp2/4P1B1/1b6/2N2N2/PPPQPPPP/R3KB1R w KQkq -,e5f6 g8f6 g5f6 e6f6 d2e3 c6e7 e1a1 b4c3 e3c3 f6c3
r1bqkb1r/pppn1ppp/4pn2/3p4/1P3P2/4P3/PBPP2PP/RN1QKBNR w KQkq -,g2g4 h7h6 g1f3 f8b4 h1g1 e6e5 f4e5 f6e4 c2c4 d7c5
r1b1k2r/pppp2pp/2n1qn2/6B1/1b6/2N2N2/PPPQPPPP/R3KB1R w KQkq -,g5f6 e6f6 d2e3 f6e7 e3e7 c6e7 e1a1 b4c3 b2c3 d7d6
2kr3r/ppp1qpp1/2nb1nb1/6Bp/6P1/2N2N1P/PPP1PPB1/R3QRK1 w - -,a1d1 h5g4 h3g4 g6c2 d1d6 e7d6 e1c1 c2g6 g5f4 d6c5
r1bqk1nr/pppp2pp/5p2/3Pp3/1b1nP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f3d4 e5d4 d1d4 d8e7 c1e3 g8h6 a2a3 b4c3 d4c3 h6g4
r1b1k1nr/pppp1ppp/2n2q2/4p3/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c1d2 c6d4 f3d4 e5d4 c3d5 b4d2 d1d2 f6e5 f2f4 e5d6
r1bq1rk1/1pppbppp/p1n2n2/5NB1/4P3/2N5/PPP2PPP/R2QKB1R w KQ -,f5e7 d8e7 f1d3 e7d6 d1d2 h7h6 g5f6 d6f6 e1a1 c6b4
8/4k3/K5Q1/8/8/8/8/8 w - -,d1d3 d7d6 f5e7 d8e7 e1a1 e7e6 f2f4 f8e8 f4f5 e6e5
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1P3/3P1N2/PPP1QPPP/RNB1K2R w KQkq -,a2a4 e7e6 c2c3 g8e7 b1a3 d6d5 c4a2 e8h8 e1h1 h7h6
r4rk1/p1q2pp1/3p1n2/3P4/1p4P1/7R/PPP2Q1P/5RK1 w - -,f2h4 c7c5 f1f2 c5f2 g1f2 f6e4 f2g2 f7f6 h4h7 g8f7
r4rk1/p4pp1/3p1n2/2qP4/1p4PQ/7R/PPP4P/5RK1 w - -,h3e3 c5e3 h4f2 f6g4 f2e3 g4e3 f1b1 e3c2 g1f2 f8e8
r4rk1/p4pp1/3p4/2qP3n/1p4PQ/7R/PPP2R1P/6K1 w - -,h4h5 f7f6 g4g5 c5d5 h5h7 g8f7 f2f6 f7e8 h3e3 e8d7
rnbqkb1r/pppn1ppp/4p3/P2pP3/1P1P4/8/2P2PPP/RNBQKBNR w KQkq -,c2c3 a7a6 f1d3 b7b6 a5b6 d7b6 g1h3 c8d7 d1f3 f8e7
rnbq3r/ppp2kpp/8/3pp3/1b2N3/5N2/PPPP1PPP/R1BQK2R w KQ -,f3e5 f7g8 c2c3 b8c6 d2d4 d8e8 c3b4 d5e4 e1h1 c8e6
8/8/1B6/4k3/8/3KN3/8/8 w - -,b6c7 e5e6 c7g3 e6d7 d3e4 d7c6 g3e5 c6b5 e4d5 b5b6
r4rk1/p5p1/3p1p2/2qP3Q/1p4P1/7R/PPP2R1P/6K1 w - -,g4g5 c5d5 h5h7 g8f7 f2f6 f7e8 h3e3 e8d7 h7g7 d7c6
r4rk1/p5p1/3p1p2/3q2PQ/1p6/7R/PPP2R1P/6K1 w - -,h5h7 g8f7 f2f6 f7e8 h3e3 e8d7 h7g7 d7c6 f6f8 d5d1
1k1N4/3K4/8/8/3B4/8/8/8 w - -,d8e6 b8b7 e6c7 b7b8 d7c6 b8c8 c7d5 c8b8 d5e7 b8a8
r2qkb1r/pp2pppp/n1p2n2/3p1b2/3P4/N1P2NP1/PP2PPBP/R1BQ1RK1 w kq -,f3h4 f5d7 a3c2 e7e6 h4f3 f8d6 c3c4 e8h8 c4c5 d6c7
r1bqkb1r/pp1p1ppp/2n1p1n1/2p5/4P3/2P2NP1/PP1PQP1P/RNB1KB1R w KQkq -,h2h4 d7d5 h4h5 g6e7 e4d5 e6d5 d2d4 c5d4 f3d4 c6d4
8/pp3pk1/2p5/8/8/2P5/PP5P/6K1 w - -,g1g2 g7h6 g2f3 h6g5 f3e4 a7a5 a2a4 b7b5 b2b3 g5g4
8/k1p2pp1/1p2b3/P7/8/4KP2/1PP3P1/8 w - -,a5b6 a7b6 e3d4 f7f6 g2g3 b6b5 d4d3 b5c5 d3e4 c5c4
rnbqk2r/pp2bppp/2p1pn2/3p4/3P1B2/2NQ4/PPP1PPPP/2KR1BNR w kq -,e2e4 d5e4 c3e4 f6e4 d3e4 d8d5 e4e5 e8h8 e5c7 f8e8
r2qkbnr/pp1b1pp1/2n1p2p/3pP3/2pP4/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,d3c2 b7b5 b2b3 g8e7 h2h4 e7f5 h4h5 f8e7 b1d2 c4b3
3r4/4qk1p/pnbr1p2/1pp2p2/4P3/1P1R1PQ1/P1P3PP/3R2K1 w - -,d1e1 d6d3 c2d3 f5e4 f3e4 d8g8 g3h4 b6d7 h4h7 f7f8
rn1qkb1r/pp3ppp/2p2n2/4p3/6b1/3P1NN1/PPP2PPP/R1BQKB1R w KQkq -,f1e2 b8d7 e1h1 f8e7 h2h3 g4f3 e2f3 e8h8 g3f5 f8e8
6r1/p1Q5/k2P4/8/8/8/8/6K1 w - -,f1e2 b8d7 e1h1 f8e7 h2h3 g4f3 e2f3 e8h8 g3f5 f8e8
3q1rk1/pp1nbppp/2rp1n2/4p3/4P1P1/1NNQBP2/PP5P/2KR3R w - -,c1b1 b7b6 h2h4 d7c5 b3c5 b6c5 h4h5 f6e8 h5h6 g7g6
8/3k1B2/8/4K3/1N6/8/8/8 w - -,h1g1 f6e8 g4g5 e8c7 h2h4 d8c8 c1b1 d7c5 b3c5 d6c5
4rk2/1p4q1/3p1Bp1/p1pP1p2/P1P5/1PK5/7R/8 w - -,f6g7 f8g7 h2f2 g7f6 f2h2 g6g5 h2h6 f6e5 c3d3 e5f4
4r1k1/1Rp3p1/8/5p2/8/1P1PnNb1/1PPB1p2/5K2 w - -,d2e3 e8e3 f3d2 e3e1 f1g2 e1g1 g2f3 g7g5 b7b4 g5g4
6k1/1Rp3p1/8/5p2/8/1P1PrNb1/1PP2p2/5K2 w - -,f1g2 e3f3 g2f3 f2f1q f3g3 f5f4 g3g4 f4f3 b7b4 f3f2
2kr1b1r/ppp2ppp/2n1pn2/3q4/3P2b1/2P1BN2/PP1N1PPP/R2QKB1R w KQ -,f1e2 h7h6 h2h3 g4f5 e1h1 g7g5 b2b4 g5g4 h3g4 f6g4
8/3rqk1p/pnbR1p2/1pp2p2/4P3/1P3PQ1/P1P3PP/3R2K1 w - -,e4f5 c5c4 g1f2 c4b3 a2b3 c6d5 d6d7 e7d7 g3h3 f7e8
r5k1/5p2/5Qp1/2R5/8/8/5PPP/6K1 w - -,d6d7 c6d7 g3c7 f5e4 c7b6 e4f3 b6b7 e7e3 g1h1 f3g2
r3kb1r/1pp2ppp/p1b2n2/4N3/3qP3/2NP4/PPP3PP/R1BQK2R w KQkq -,e5c6 b7c6 d1f3 f8b4 c1d2 e8h8 e1a1 a8b8 d1e1 f6d7
rn1qkbnr/ppp1pppp/8/3p1b2/8/5NPP/PPPPPP2/RNBQKB1R w KQkq -,f1g2 b8c6 d2d4 e7e6 e1h1 f8e7 f3e5 g8f6 c2c4 c6e5
r1b3nr/ppp2pp1/3k3p/3q4/3N4/4PQ1P/PP3PP1/R1B2RK1 w - -,e3e4 d5c4 c1e3 d6e7 f1c1 c4a4 c1c7 c8d7 b2b3 a4b4
8/4k3/N3B3/4K3/8/8/8/8 w - -,f3d5 d6d5 b2b4 g8f6 f1d1 f6e8 c1b2 d5d6 d4f5 d6e6
5rk1/p3bppp/8/np2p1N1/1n4b1/2NP4/PP1P1PPP/R1B2RK1 w - -,h2h3 g4h5 f2f4 e5f4 g5f3 a5c6 b2b3 b4c2 a1b1 h5g6
rn2kbnr/pppqpppp/8/3p1b2/8/5NPP/PPPPPPB1/RNBQK2R w KQkq -,c2c4 c7c6 f3e5 d7c7 d2d4 e7e6 c1f4 c7b6 b1d2 b6d4
rn1qkbnr/pp2pppp/8/3p1b2/3P4/2N4P/PP2PPP1/R1BQKBNR w KQkq -,d1b3 g8f6 b3b7 b8d7 g1f3 a8b8 b7a7 e7e5 e2e3 f8b4
r4r2/pppkn2p/8/6B1/3p4/8/PPP2PPP/6K1 w - -,g2g4 e7g8 g5d2 a8e8 g1f1 c7c5 g4g5 d7c6 h2h4 g8e7
rnbq1rk1/1p2ppbp/p1p2np1/3pN3/3P1B2/2NBP3/PPP2PPP/R2QK2R w KQ -,h2h4 h7h5 d1d2 c6c5 e1a1 c5c4 d3e2 b7b5 g2g4 b5b4
r1bqkb1r/ppp2ppp/2n1p3/2Pp4/3Pn3/P3P3/1P3PPP/RNBQKBNR w KQkq -,b1d2 e4d2 c1d2 e6e5 f1b5 c8d7 d2c3 e5d4 e3d4 d8g5
2kr2nr/ppp1q1p1/2nb1p2/6B1/6bp/2N2NP1/PPP1PPBP/R3QRK1 w - -,g5h4 g7g5 h4g5 f6g5 e1c1 h8h5 f1d1 g8h6 c3b5 d8h8
2kr2nr/ppp1q3/2nb1p2/6p1/6bB/2N2NP1/PPP1PPBP/R3QRK1 w - -,a1b1 e7h7 b1d1 g4f3 e2f3 g5h4 e1e6 c8b8 f1e1 h7c2
