r1bqk1nr/p2p1pbp/2p3p1/2p1p3/4P3/P1N2N2/1PPP1PPP/R1BQ1RK1 b kq -,g8h6 b2b4 e8h8 b4c5 d8a5 a3a4 f8e8 c1a3 g7f8 h2h3
r1bqk2r/pppn1ppp/3b1n2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,a7a6 e1h1 e8h8 c1d2 f8e8 f1e1 c7c6 d1c2 h7h6 h2h3
rnb1kb1r/pp1n1ppp/1qp1p3/3pP3/3P1P2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,h7h6 a2a3 c6c5 d4c5 b6c5 f1d3 c5b6 a1b1 f8e7 b2b4
r1bqkbnr/1p1ppppp/p1n5/2p5/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq -,e7e6 c4b3 d7d5 c2c3 g8f6 b1d2 b7b5 g1f3 f8e7 e1h1
r1bqkb1r/pp3ppp/5n2/n1pPp1N1/Q1B5/2P5/PP1P1PPP/RNB1K2R b KQkq -,d8d7 c4b5 b7b6 b5d7 c8d7 a4h4 h7h6 d2d3 f6d5 h4e4
r1b1kbnr/pppp1ppp/2n3q1/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,g8f6 e1h1 f8e7 c3d5 f6d5 e4d5 c6a5 f3e5 g6f5 e5f3
r1bqk1nr/p3bppp/2ppp3/2p5/4PP2/2N2N2/PPPP2PP/R1BQ1RK1 b kq -,d6d5 d2d3 g8f6 d1e1 e8h8 b2b3 c5c4 e4e5 f6d7 d3c4
rnbqk2r/pppp1ppp/5n2/2b5/3pP3/2PB1N2/PP3PPP/RNBQK2R b KQkq -,c5b6 e4e5 f6d5 d3c4 c7c6 c4d5 c6d5 c1g5 f7f6 e5f6
r2qkbnr/1ppb1pp1/p1np3p/4p3/B3P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,g8f6 d2d4 f8e7 h2h3 e8h8 a4c2 f8e8 b1d2 e7f8 d2f1
rnbqk2r/ppppppbp/5np1/8/P2P4/2P2N2/1P2PPPP/RNBQKB1R b KQkq -,b8c6 g2g3 d7d5 f1g2 e8h8 e1h1 f8e8 c1f4 h7h6 b1d2
r1bqkb1r/1p3ppp/p1n2n2/2Ppp1B1/N7/4P3/PPP2PPP/R2QKBNR b KQkq -,d8a5 c2c3 f6e4 a4b6 a8b8 g1f3 c8g4 d1d5 e4c3 d5d2
r1bqk1nr/1pp2ppp/p1nbp3/3p4/3P4/2N1PNB1/PPP2PPP/R2QKB1R b KQkq -,d8e7 f1d3 c8d7 e1h1 d6g3 h2g3 e8a8 d1e2 c6b4 a2a3
r1bqk1nr/1pp2ppp/p1n1p3/3p4/3P4/2N1PNP1/PPP2PP1/R2QKB1R b KQkq -,g8f6 f1d3 c8d7 e1h1 c6e7 f1e1 d7c6 a2a4 e8h8 a4a5
r1bqkb1r/pp3ppp/2n5/2pnp3/4P3/5NP1/PP1P1PBP/RNBQ1RK1 b kq -,d5b4 b1c3 c8g4 h2h3 g4e6 a2a3 b4d3 c3d5 f8d6 d1b3
rnbqkb1r/pp1p1ppp/2p2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R b KQkq -,d7d5 d3e2 d8c7 d2d4 f6e4 f3e5 b8d7 e5f3 f8d6 c2c4
r1bqkb1r/pp3ppp/2n2n2/1Bpp4/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,f8d6 d2d4 e8h8 e1h1 h7h6 d4c5 d6c5 h2h3 c8f5 b5d3
r2qkb1r/ppp2ppp/2np1n2/4p3/2P1P1b1/2N2PP1/PP1P2BP/R1BQK1NR b KQkq -,c6b4 d1a4 f6d7 f3g4 b4d3 e1e2 c7c6 b2b4 d3c1 a1c1
rn3r2/pbppq1p1/1p2pN2/8/3P1kNP/3B2P1/PPP2P2/R3K2R b - -,c6b4 d1a4 f6d7 f3g4 b4d3 e1e2 c7c6 b2b4 d3c1 a1c1
8/8/8/8/2k1N3/8/2p4K/8 b - -,c6b4 d1a4 f6d7 f3g4 b4d3 e1e2 c7c6 b2b4 d3c1 a1c1
8/8/2Q5/6K1/1k6/8/8/8 b - -,c6b4 d1a4 f6d7 f3g4 b4d3 e1e2 c7c6 b2b4 d3c1 a1c1
2kr3r/pb1n1p2/4pP2/1pb5/2p1QB2/2N2q2/PP3PPP/R4RK1 b - -,c6b4 d1a4 f6d7 f3g4 b4d3 e1e2 c7c6 b2b4 d3c1 a1c1
rnbqkb1r/pp3ppp/4p3/2pn4/2B2P2/3P1N2/PPP3PP/RNBQK2R b KQkq -,f8d6 g2g3 e8h8 c1d2 a7a6 a2a4 b7b6 e1h1 d6e7 b1c3
rnbq1rk1/ppppbppp/5n2/4B3/2P5/P3P3/3P1PPP/RN1QKBNR b KQ -,d7d5 c4d5 f6d5 e5b2 c7c5 d1c2 b8c6 b1c3 e7f6 c3d5
r1bqkbnr/pp2pp1p/2np2p1/8/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq -,d8a5 b1c3 f8g7 d1d2 g8f6 f2f3 c6d4 e3d4 c8e6 f1b5
rnbqk2r/ppp1ppbp/5np1/3p4/3P1B2/2P3P1/PP2PPBP/RN1QK1NR b KQkq -,c7c5 g1f3 e8h8 e1h1 d8b6 d1b3 b8c6 h2h3 h7h6 b1d2
rnbqkb1r/p1pppp1p/1p3np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,c8b7 e4e5 f6e4 c3e4 b7e4 d4d5 e7e6 f2f3 e4f5 g2g4
8/5b2/5k2/8/4QK2/8/8/8 b - -,f6g8 f2f4 f8g7 g1f3 d7d6 f1d3 b8d7 e1h1 c8b7 d1e1
rn1qkbnr/ppp1pppp/8/3p4/6b1/4PNP1/PPPP1P1P/RNBQKB1R b KQkq -,b8d7 h2h3 g4h5 c2c4 e7e6 d2d4 g8f6 f1d3 d5c4 d3c4
rn1qkb1r/ppp2ppp/1n2p3/8/3PP1b1/P4N2/1P2BPPP/RNBQK2R b KQkq -,g4f3 e2f3 b8c6 c1e3 d8d7 b1c3 e8a8 c3e2 f7f5 d1c2
rnbqk1nr/ppp1b1pp/3p4/4Pp2/2B1P3/5N2/PPP2PPP/RNBQK2R b KQkq -,d8d7 d1d5 e7d8 b1c3 c7c6 d5d6 d7d6 e5d6 b7b5 c4b3
rnbq1rk1/ppp1ppbp/3p1np1/7P/2PP4/2N2N2/PP2PPP1/R1BQKB1R b KQ -,c7c5 h5h6 g7h8 d4d5 c8g4 e2e4 f6h5 f1e2 b8d7 d1b3
rnbqkb1r/pp3ppp/2pp1n2/8/2B5/5N2/PPPP1PPP/RNBQK2R b KQkq -,d6d5 c4e2 f8d6 e1h1 e8h8 d2d4 b8a6 c2c4 d5c4 e2c4
rnbqk2r/pppp1pbp/4pnp1/8/2PP3P/2N2N2/PP2PPP1/R1BQKB1R b KQkq -,b7b6 e2e4 d7d6 f1d3 b8d7 d3c2 e6e5 d1e2 h7h6 d4e5
rnbqkbnr/pp3ppp/8/3p4/3Pp3/2N5/PP1NPPPP/R1BQKB1R b KQkq -,g8f6 d2b3 f8b4 c1f4 f6h5 f4d2 b8c6 e2e3 h5f6 f1e2
rnbqkb1r/pp3ppp/5n2/3p4/3Pp3/1NN5/PP2PPPP/R1BQKB1R b KQkq -,f8b4 c1f4 f6h5 f4d2 b4c3 b2c3 e8h8 a2a4 b8c6 a4a5
rnbqk1nr/ppp1b1pp/3p4/3QP3/2B1p3/5N2/PPP2PPP/RNB1K2R b KQkq -,e8d7 d5e4 d7e8 e4d5 e8d7 e1h1 d8f8 e5d6 c7d6 f3e5
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/3P1Q2/PPP2PPP/RNB1KBNR b KQkq -,b8c6 c2c3 g8f6 f1e2 d7d5 c1g5 f8g7 g5f6 e7f6 e4d5
rnbqk1nr/ppp1bppp/3p4/4p3/4P3/1P3N2/PBPP1PPP/RN1QKB1R b KQkq -,f7f5 b1c3 g8f6 f1d3 b8c6 e1h1 e8h8 d3c4 g8h8 f3g5
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/2NP1N2/PP1B1PPP/R2QKB1R b KQkq -,g8e7 f1e2 d7d6 e1h1 e8h8 a2a3 b7b6 b2b4 c8b7 b4b5
rnbqk1nr/pp3ppp/8/3p4/1b1P4/2N5/PP1B1PPP/R2QKBNR b KQkq -,h7h6 a2a3 b4a5 f1b5 b8c6 h2h3 g8e7 g1f3 c8f5 e1h1
rnbqkb1r/pp2pp1p/3p2p1/3n4/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,b8d7 d1b3 e7e6 f1e2 f8g7 b3a3 d7f6 c3c4 d5e7 b1c3
r1bqkbnr/ppp3pp/2np1p2/4p3/2B1P3/1P3N2/PBPP1PPP/RN1QK2R b KQkq -,c6a5 c4g8 h8g8 d2d4 a5c6 d1e2 d8e7 d4d5 c6d8 b1c3
2k5/2r5/3K4/3Q4/8/8/8/8 b - -,c7d7 d6c6 d7d5 c6d5 c8d7 d5e5 d7e7 e5d4 e7e6 d4e4
r1bqk1nr/ppp2pbp/2n1p1p1/3p4/3PP3/2NBBN2/PPP2PPP/R2QK2R b KQkq -,b7b6 e4e5 c8b7 e1h1 f7f6 e5f6 g8f6 e3g5 e8h8 d1e2
r1bqkbnr/ppp2ppp/2n5/3Pp3/2B5/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,c6e7 d2d4 e7g6 d4e5 g6e5 f3e2 d8e7 c4b3 e5g6 b1c3
rn1qkb1r/pppbpppp/5n2/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,c7c6 h2h3 e7e6 e1h1 c6c5 b2b3 d7c6 c1b2 b8d7 b1d2
rnbqk2r/ppp2pbp/5np1/3p2B1/3P4/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,c7c6 e2e3 c8f5 f1e2 e8h8 e1h1 h7h6 g5h4 b8d7 h2h3
r1bqk1nr/ppp1ppbp/2n3p1/8/3P4/2N1BN2/PPP1BPPP/R2QK2R b KQkq -,h7h5 e1h1 g8f6 d1d2 c8f5 d4d5 c6b4 f3h4 c7c6 h4f5
8/8/8/4Q3/2k1K3/3n4/8/8 b - -,
r2qkbnr/p3pppp/2pp4/2p5/4P1b1/3P1N1P/PPP2PP1/RNBQK2R b KQkq -,g4e6 e1h1 g7g6 f1e1 f8g7 b1c3 g8f6 e4e5 d6e5 f3e5
8/2B5/k1K5/8/8/3B4/8/8 b - -,g4e6 e1h1 g7g6 f1e1 f8g7 b1c3 g8f6 e4e5 d6e5 f3e5
rnbqkbnr/ppp3pp/4pp2/3p4/1P6/P3P3/1BPP1PPP/RN1QKBNR b KQkq -,c7c5 b4c5 f8c5 d2d4 c5d6 c2c4 b8c6 b1d2 g8e7 f1d3
rnbqk2r/ppp2ppp/3b1n2/8/3P4/3B1N2/PPP3PP/RNBQK2R b KQkq -,e8h8 e1h1 c7c5 c1g5 c5d4 b1d2 d6e7 f3e5 b8d7 e5d7
r1bqkb1r/ppp2ppp/2p5/8/3Pn3/8/PPP1BPPP/RNBQK2R b KQkq -,f8d6 c1e3 e8h8 b1d2 e4d2 d1d2 f8e8 e1h1 d8h4 g2g3
rn1qkbnr/1b3ppp/p2pp3/1pp5/4P3/P1NP4/BPP1NPPP/R1BQK2R b KQkq -,g8f6 e1h1 b8d7 f2f4 g7g6 g1h1 d8c7 d1e1 f8g7 f4f5
r1b1k2r/ppp1bppp/2n2n2/3qp3/8/2PP1N2/PP2BPPP/RNBQ1RK1 b kq -,c8f5 d3d4 e5d4 c3d4 e8h8 b1c3 d5d6 f1e1 a8d8 a2a3
r2qkb1r/ppp1pppp/2n2n2/1B1p2B1/3P2b1/4PN2/PPP2PPP/RN1QK2R b KQkq -,e7e6 b1d2 f8e7 c2c4 e8h8 e1h1 f6e4 c4d5 e6d5 g5f4
8/2K5/k7/8/8/8/1R6/8 b - -,e7e6 b1d2 f8e7 e1h1 e8h8 h2h3 g4f3 d1f3 h7h6 g5f6
r1bqkb1r/pp2pp1p/2n2p2/2Pp4/8/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,c8e6 e2e3 d8a5 f3d4 a5c5 d4e6 f7e6 d1h5 e8d7 e3e4
rnbqkb1r/ppp1pppp/3p4/3nP3/8/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,g7g6 f1c4 d5b6 c4b3 b8c6 e5d6 c7d6 d2d4 f8g7 e1h1
rnbqkb1r/ppp1pppp/8/3nN3/8/2P5/PP1P1PPP/RNBQKB1R b KQkq -,g7g6 f1c4 c7c6 d2d4 b8d7 e5f3 f8g7 e1h1 b7b5 c4d5
rnbqk2r/pp2nppp/4p3/2bpP3/6Q1/3B1N2/PPP2PPP/RNB1K2R b KQkq -,a7a6 g4g7 h8g8 g7h7 g8g2 b1c3 b8c6 c1d2 d8c7 e1a1
rnbqk1nr/pppp1ppp/8/4p3/1b1P4/2P5/PP2PPPP/RNBQKBNR b KQkq -,b4e7 d4e5 d7d6 g1f3 b8c6 c1f4 c8f5 e5d6 e7d6 f4d6
rnbqk1nr/pppp1ppp/3b4/4p3/3P4/2P1P3/PP3PPP/RNBQKBNR b KQkq -,e5d4 c3d4 d6e7 f1d3 d7d5 g1f3 g8f6 e1h1 e8h8 b1c3
k7/8/8/8/8/3P4/2K5/8 b - -,a8b7 c2c3 b7c7 c3c4 c7c6 d3d4 c6d6 d4d5 d6d7 c4c5
r2qkbnr/pppb2pp/8/4p3/8/5Q2/PPP2PPP/RNB1KB1R b KQkq -,a7a5 f3b7 a8b8 b7f3 f8b4 c2c3 b4c5 f3h5 g7g6 h5e5
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/1PB1P3/P2P1N2/2P2PPP/RNBQK2R b KQkq -,c5d6 c1b2 e8h8 e1h1 h7h6 b1d2 f8e8 c2c3 b7b5 c4a2
2k5/r7/2Q1K3/8/8/8/8/8 b - -,c5d6 c1b2 e8h8 e1h1 h7h6 b1d2 f8e8 c2c3 b7b5 c4a2
rn1qk2r/pbpp2pp/1p1Bpn2/5p2/3P4/2PBPN2/PP3PPP/RN1QK2R b KQkq -,b8c6 d6g3 e8h8 e1h1 c6e7 g1h1 h7h6 c3c4 f6e4 b1c3
rnbqkb1r/ppp2ppp/5n2/3Pp3/8/1PN5/P2PPPPP/R1BQKBNR b KQkq -,f6d5 c1b2 c8f5 a2a3 d5c3 b2c3 f8d6 e2e3 b8d7 f1c4
rnbqkbnr/pppp1p2/8/4p1N1/8/3P4/PPP1P1PP/RNBQKB1R b KQkq -,b8c6 e2e4 f8e7 h2h4 d7d5 f1e2 c6d4 b1c3 g8f6 c3d5
rnbqkbnr/ppp2pp1/4p2p/3p4/3P1P2/3BP3/PPP3PP/RNBQK1NR b KQkq -,f8e7 g1f3 g8f6 e1h1 c7c5 c2c3 b7b6 b1d2 e8h8 f3e5
r1bqk2r/pppp1pp1/2n2n1p/4p3/1bBPP3/P1N2N2/1PP2PPP/R1BQK2R b KQkq -,d7d5 a3b4 d5c4 d4e5 f6d7 b4b5 c6b4 e1h1 e8h8 d1e2
r1bqk2r/pppp1pp1/2n2n1p/4p3/2BPP3/P1P2N2/2P2PPP/R1BQK2R b KQkq -,d8e7 e1h1 e8h8 f1e1 d7d6 h2h3 f8e8 a3a4 e7d8 c4d3
rnbqk2r/pp3pp1/3ppn1p/2pP4/1bP1P2B/2N5/PP3PPP/R2QKBNR b KQkq -,g7g5 h4g3 b4c3 b2c3 f6e4 f1d3 e4g3 h2g3 d8e7 g1e2
rnbqkbnr/pppppp2/7p/6p1/5P2/4PN2/PPPP2PP/RNBQKB1R b KQkq -,c7c6 d2d4 g5g4 f3e5 h6h5 c2c4 d7d6 e5d3 c8f5 b1c3
rn1qkb1r/pbpppppp/1p3n2/8/2B1P3/5Q1N/PPPP1PPP/RNB1K2R b KQkq -,b8c6 b1c3 e7e6 e1h1 c6d4 f3d3 c7c5 h3g5 a7a6 a2a4
8/2k3p1/4N1N1/4K3/8/8/8/8 b - -,c7c6 e5d4 c6b5 d4c3 b5c6 c3c4 c6b6 e6g5 b6c6 g5f7
8/5kr1/3K4/7Q/8/8/8/8 b - -,c7c6 e5d4 c6b5 d4c3 b5c6 c3c4 c6b6 e6g5 b6c6 g5f7
8/2k5/8/8/3K4/3P4/8/8 b - -,c7b6 d4d5 b6c7 d5e6 c7d8 d3d4 d8e8 e6d6 e8f7 d4d5
8/5k2/2r5/5K1Q/8/8/8/8 b - -,f7f8 h5f3 c6c7 f5e6 f8g8 f3a8 g8h7 a8e4 h7g8 e4g6
r1bq1rk1/pppp1ppp/2n2n2/4p3/4P3/P1NPPN2/1PP3PP/R2QKB1R b KQ -,d7d5 e4d5 f6d5 d1d2 f8e8 h2h3 d5c3 d2c3 c6e7 e3e4
8/8/1K6/8/3Q4/5k2/8/8 b - -,a7a6 d1d2 b7b5 f1e2 d7d6 h2h3 c6e7 g2g4 c8b7 h1g1
r3kbnr/pp1n1ppp/1qp1p3/2Pp1b2/3P4/1QN1PN2/PP3PPP/R1B1KB1R b KQkq -,f8c5 d4c5 d7c5 b3a3 a7a5 c3a4 c5a4 a3a4 g8f6 f3h4
rnbq1rk1/ppp1ppbp/5np1/3p4/3P4/2PBP3/PP2NPPP/RNBQ1RK1 b - -,c7c5 b1d2 b8d7 f2f4 f6e8 d2f3 e8d6 f3e5 b7b6 a2a4
r1bqkb1r/pp3ppp/2N1p3/3n4/8/3BB3/PPP2PPP/RN1QK2R b KQkq -,d8d6 c6d4 d6b4 b1d2 f8c5 d3b5 e8e7 a2a3 d5e3 a3b4
8/8/8/8/8/3KQ3/8/7k b - -,d8d6 c6d4 d6b4 b1d2 f8c5 d3b5 e8e7 a2a3 d5e3 a3b4
8/8/8/8/5Q2/3K4/7k/8 b - -,d8d6 c6d4 d6b4 b1d2 f8c5 d3b5 e8e7 a2a3 d5e3 a3b4
rnbqkb1r/pp3ppp/4pn2/2pp4/3P1P2/2PBP3/PP1N2PP/R1BQK1NR b KQkq -,b8d7 g2g4 g7g6 g4g5 f6h5 g1f3 h7h6 h2h4 d8c7 h1g1
8/8/K2Q4/8/4k3/8/8/8 b - -,b8d7 g2g4 g7g6 g4g5 f6h5 g1f3 h7h6 h2h4 d8c7 h1g1
rnbqkb1r/pp1npppp/8/2ppP3/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,e7e6 g2g3 b8c6 c1f4 f8e7 h2h4 b7b5 a2a3 e8h8 f1g2
rnbqk1nr/ppb3pp/2p1p3/2Pp1p2/3P4/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,g8e7 b2b4 e8h8 b4b5 b8d7 e1h1 d7f6 c1b2 e7g6 a2a4
r1b1k2r/ppp1qppp/2nbpn2/1B1p4/3P4/2P1PNB1/PP3PPP/RN1QK2R b KQkq -,h7h6 b1d2 e8h8 e1h1 a7a6 b5c6 b7c6 f3e5 c6c5 g3h4
rnbq1rk1/ppp1bppp/3p1n2/4P3/2B1P3/2N2N2/PPPP2PP/R1BQK2R b KQ -,f6d7 e5d6 e7d6 d2d4 c7c5 c1g5 d6e7 g5e7 d8e7 d4d5
8/1k2N3/3K4/2B5/8/8/8/8 b - -,f6d7 e5d6 e7d6 d2d4 c7c5 c1g5 d6e7 g5e7 d8e7 d4d5
1k6/3N4/2K5/2B5/8/8/8/8 b - -,f6d7 e5d6 e7d6 d2d4 c7c5 c1g5 d6e7 g5e7 d8e7 d4d5
q2r3r/1b2kpp1/p3p3/P1Q5/1pN1P3/3B1Pp1/1P4P1/R5K1 b - -,e7e8 d3c2 b7c6 a1d1 d8d1 c2d1 f7f6 d1b3 c6b5 c4d6
rn1qkb1r/pbpp1ppp/1p2pn2/8/3P4/3BPP2/PPP1N1PP/RNBQK2R b KQkq -,d7d5 b1d2 c7c5 c2c3 b8c6 e1h1 f8e7 f3f4 d8c7 b2b3
rnbq1rk1/ppp2ppp/3b4/3pN3/3Pn3/2PB4/PP3PPP/RNBQ1RK1 b - -,d8h4 b1d2 c8f5 d2f3 h4e7 f1e1 b8d7 e5d7 e7d7 f3e5
r1bqkb1r/pp2ppp1/2n2n1p/2pp4/3P3B/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,d8b6 d1c2 c5d4 e3d4 g7g5 h4g3 c8f5 c2b3 f8g7 b3b6
rnbqk1nr/pp3ppp/2p1p3/3p4/1b1PPB2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,d5e4 f3d2 g8f6 c3e2 b8d7 c2c3 b4e7 g2g3 e8h8 f1g2
r1b1k1nr/pppp1ppp/1bn5/8/4P2q/1NN3P1/PPP2P1P/R1BQKB1R b KQkq -,h4h6 c1h6 g8h6 a2a4 c6a5 b3d2 d7d6 f1e2 a5c6 c3d5
8/8/8/8/8/3K1Q2/8/6k1 b - -,h4h6 c1h6 g8h6 a2a4 c6a5 b3d2 d7d6 f1e2 a5c6 c3d5
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1B2/2P2P2/PP1NP1PP/R2QKBNR b KQkq -,f6h5 f4g3 e6e5 g3f2 e5d4 c3d4 f8d6 e2e3 e8h8 g2g4
rnbqkb1r/pp3ppp/4pn2/2pP4/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq -,h7h6 d5e6 c5d4 e6f7 e8f7 d1d4 f8b4 b1c3 b8c6 d4d8
r1bqkbnr/pppppppp/2n5/8/8/P6P/1PPPPPP1/RNBQKBNR b KQkq -,g8f6 d2d4 d7d5 g1f3 c8f5 e2e3 e7e6 c2c4 f8e7 b2b4
r1bqk2r/pppp1ppp/2nb1n2/1B2p3/2P5/1P2P3/PB1P1PPP/RN1QK1NR b KQkq -,a7a6 b5c6 d7c6 d1c2 d8e7 g1e2 h7h5 b1c3 c8d7 f2f3
6k1/4K3/6P1/8/8/8/8/8 b - -,g8g7 e7d7 g7f6 g6g7 f6g7 d7d6 g7f6 d6d5 f6f5 d5d4
r1bqkb1r/ppp3pp/2n2n2/3ppp2/8/1P2P1P1/PBPPNPBP/RN1QK2R b KQkq -,c8e6 d2d4 e5e4 h2h4 e6f7 e2f4 a7a5 b2a3 f8a3 b1a3
rnbqkb1r/ppp1pppp/5n2/3p4/8/P4N1P/1PPPPPP1/RNBQKB1R b KQkq -,c7c5 e2e3 b8c6 d2d4 c5d4 e3d4 c8f5 c2c4 e7e6 c4c5
r1bqk2r/pppnppbp/3p1np1/8/3P1B2/2P1P2P/PP2BPP1/RN1QK1NR b KQkq -,b7b6 g1f3 e8h8 a2a4 a7a6 e1h1 f8e8 b1a3 c8b7 a3c4
rnb1k1nr/ppp2ppp/8/2b5/3N4/4B3/PPP2PPP/RN2KB1R b KQkq -,c5b6 b1c3 g8f6 e1a1 f6g4 e3f4 e8h8 f4g3 b8c6 d4c6
rn1qkb1r/ppp2ppp/4pn2/3p1bB1/3P4/2PBP3/PP3PPP/RN1QK1NR b KQkq -,f8e7 d3f5 e6f5 g5f6 e7f6 d1b3 b7b6 g1e2 a7a5 b1d2
r1bqkbnr/pp1ppp1p/2n3p1/8/Q3P3/2P5/PP3PPP/RNB1KBNR b KQkq -,g8f6 g1f3 f8g7 f1e2 e8h8 e1h1 d8c7 f1d1 b7b6 c1g5
rnbqk2r/ppp1bppp/5p2/8/8/5N2/PPPPQPPP/R1B1KB1R b KQkq -,c7c5 e2d1 b8c6 f1c4 e8h8 e1h1 c8g4 c2c3 d8b6 h2h3
rn2kb1r/pp2pppp/2p2n2/8/4PBb1/2N2N2/PPP2PPP/R2K1B1R b kq -,b8d7 f1e2 g4f3 g2f3 e7e5 f4e3 f8c5 c3b1 e8e7 b1d2
rnbqk2r/pppp1ppp/5n2/2b1p3/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq -,c7c6 h2h3 e8h8 g1f3 f8e8 f1e2 d7d6 e1h1 b7b5 a2a3
rnbqkb1r/pp2pppp/5n2/2pp4/8/2PP1N2/PPQ1PPPP/RNB1KB1R b KQkq -,b8c6 c1f4 f6h5 f4d2 e7e5 e2e4 h5f6 b1a3 f8e7 f1e2
rnb1kb1r/pp1p1pp1/1q2pn1p/2p5/3P3B/4PN2/PPPN1PPP/R2QKB1R b KQkq -,f8e7 d2c4 b6c6 c2c3 d7d5 f3e5 c6c7 h4g3 c7d8 c4d2
rnb1k2r/ppp2ppp/3qpn2/3p4/3P1P2/2P2N2/PP1Q1PPP/RN2KB1R b KQkq -,a7a5 f1b5 c7c6 b5d3 b7b6 e1h1 e8h8 f3e5 c8a6 f1e1
rnbqk2r/ppp1p1bp/5pp1/3p3n/3P4/2N1PNB1/PPP2PPP/R2QKB1R b KQkq -,c8e6 g3h4 e8h8 h2h3 f6f5 f1e2 h5f6 e1h1 b8d7 a2a4
rnbqk2r/pppp1ppp/5n2/2b1p3/4P3/2NP4/PPPB1PPP/R2QKBNR b KQkq -,e8h8 c3a4 c5e7 g1f3 f8e8 f1e2 e7f8 c2c4 c7c6 a4c3
rnb1kbnr/pppp2pp/5q2/4N3/3Pp3/2N5/PPP2PPP/R1BQKB1R b KQkq -,b8c6 c3e4 f6e7 f1c4 c6e5 d4e5 e7b4 e4d2 d7d5 e5d6
rnb1kbnr/pppp2pp/6q1/8/2N5/2NB4/PPP2PPP/R1BQK2R b KQkq -,g6g2 d1h5 e8d8 c1g5 g8f6 c4e5 c7c6 d3e4 d8c7 g5f6
rnbq1rk1/ppp1ppbp/5np1/3PP3/3P4/2N5/PP3PPP/R1BQKBNR b KQ -,c8g4 f2f3 f6d5 f3g4 c7c5 g1f3 b8c6 f1e2 c6d4 f3d4
