2rq1rk1/1b1nbppp/p2p1n2/1p2pP2/4P1P1/PNN2B2/1PP4P/R1BQ1RK1 b - -,c8c3 b2c3 d8b6 g1g2 d6d5 g2h1 d5e4 f3g2 h7h6 g4g5
8/8/8/2p5/4K2p/5N2/1P4pq/1R4bk b - -,h4h3 b1d1 c5c4 d1c1 c4c3 b2c3 h2e5 e4e5 h3h2 e5e6
3q1rk1/1b1nbppp/p2p1n2/1p2pP2/4P1P1/PNP2B2/2P4P/R1BQ1RK1 b - -,f6e4 d1d3 d6d5 c1e3 h7h6 f3e4 d5e4 d3e2 d8c7 a3a4
q4rk1/r1p1bppp/p1n1pn2/8/1p1Pb3/4PNP1/PP1B1PBP/RNR2QK1 b - -,c6b8 f3e5 c7c5 a2a3 b4a3 b1a3 c5d4 e3d4 e4g2 f1g2
8/4k3/8/4K1Q1/8/3B4/8/8 b - -,c6b8 f3e5 c7c5 a2a3 b4a3 b1a3 c5d4 e3d4 e4g2 f1g2
3rr1k1/pbqnbpp1/1pp1pn1p/3p4/2PP4/1PN1PN2/PBQ2PPP/1B1R1RK1 b - -,c7c8 h2h3 d7f8 f3e5 c6c5 c2e2 d5c4 b3c4 c5d4 e3d4
2n1k3/5p2/1p2p1p1/3pNn2/P2P3P/4PN2/4KP2/8 b - -,
8/5pk1/p3b1p1/1p2P3/5PP1/2Pr1B2/P3R1K1/8 b - -,d3c3 e2d2 a6a5 g4g5 c3a3 f3d5 e6d5 d2d5 b5b4 d5d2
4k3/5p2/1pNnp1p1/3p1n2/P2P3P/4PN2/4KP2/8 b - -,d6c4 e2e1 f7f6 e1d1 f5d6 c6b4 c4b2 d1c2 b2a4 c2b3
r2r2k1/p1n2ppp/1p1qp3/3pN2P/3P1P2/P5P1/1P1KQP2/2R4R b - -,b6b5 h5h6 g7g6 c1c6 d6e7 c6c5 d8d6 h1c1 c7e8 c5c8
3r1bk1/4qp2/p5pP/8/3r4/7Q/PP6/K4R1R b - -,g8h7 a2a3 d4d3 h3g2 f7f5 g2c6 d8d7 c6a6 e7f7 f1c1
4k3/8/1p1nppp1/3p1n2/PN1P3P/4PN2/4KP2/8 b - -,d6e4 b4d3 e4c3 e2d2 c3a4 d2c2 b6b5 c2b3 a4b6 b3b4
r2k1b1r/1p1bp2p/4Pnp1/1Bp5/5B2/5P2/PqP1Q2P/3R1RK1 b - -,h8g8 f4e5 b2b4 e5f6 e7f6 d1d7 d8c8 e6e7 f8e7 e2e6
rn1qkbnr/pp2pppp/8/2p1Pb2/3p4/3P1N1P/PPP2PP1/RNBQKB1R b KQkq -,b8c6 g2g4 f5e6 f1g2 h7h5 g4g5 g7g6 c1f4 f8g7 c2c4
6k1/6p1/5R2/pr1pNb2/3Pr3/1P6/P4K2/6R1 b - -,b5b7 f6f5 e4d4 f2e3 d4e4 e3d3 a5a4 e5g6 b7f7 f5d5
2b3k1/5Rp1/8/pr1pN3/3Pr3/1P3K2/P7/6R1 b - -,e4e5 g1g7 g8h8 d4e5 d5d4 g7h7 h8g8 f7g7 g8f8 g7a7
3n2k1/7p/2pr2p1/1p3p2/1p1P3P/1P3PP1/P4K2/2R2B2 b - -,d6d4 f2e3 d4d6 g3g4 g8g7 f1h3 g7f6 g4f5 g6f5 c1c5
4k3/1bR1p2p/p5p1/4Np2/2P2P1P/1P4P1/r7/4K3 b - -,a2c2 c7b7 e8d8 b3b4 c2c3 e1d2 d8c8 b7e7 c3g3 e7h7
3n2k1/7p/2pr2p1/1p3p2/1p3P1P/1P2K1P1/P7/2R2B2 b - -,h7h5 c1a1 d8e6 a2a4 b4a3 a1a3 g8f8 b3b4 e6c7 a3a7
4k3/8/1p2ppp1/3p1n2/P2Pn2P/4PN2/N3KP2/8 b - -,e8e7 a2c1 e4c3 e2d2 c3a4 d2c2 e6e5 d4e5 f6e5 f3e5
rnb1k2r/pp3ppp/4p3/q2p4/1bPPn3/2N2N2/PPQB1PPP/R3KB1R b KQkq -,e4d2 c2d2 e8h8 a1c1 d5c4 f1c4 b8d7 e1h1 d7f6 f3e5
6k1/6p1/5R2/pr1pNb2/3P1r2/1P2K3/P7/6R1 b - -,f4h4 f6f5 h4h3 e3f4 b5b6 f5f7 h3h4 f4e3 h4h7 f7d7
r1bq1bnr/2pp2pp/p7/np2k2Q/4P3/2N5/PPPP1PPP/R1B1K2R b KQ -,g7g5 d2d4 e5d6 c1g5 g8e7 d4d5 c7c6 e4e5 d6c7 d5d6
6k1/6p1/5R2/pr1pNb2/3Pr3/1P3K2/P7/6R1 b - -,f5g4 e5g4 g7f6 g4f6 g8f8 f6e4 d5e4 f3e4 a5a4 e4d3
7k/7p/4Pp2/2Bp1Pq1/8/p1P4K/P4R1P/8 b - -,h7h5 f2g2 g5f5 h3h4 f5e4 h4g3 e4e1 g3f4 e1e5 f4f3
r1b2r1k/1p3ppp/p4R2/2q1p3/P3P3/2N3Q1/1PP1B1PP/R6K b - -,b7b5 g3f2 c5b4 f6f7 c8e6 f7f8 a8f8 f2e1 b4b2 a4b5
8/3k4/1p2ppp1/3p1n2/P2Pn2P/4P3/N2NKP2/8 b - -,e4d2 e2d2 f5h4 a2c1 e6e5 d4e5 h4f3 d2d3 f3e5 d3c3
r1bq1bnr/2pp2pp/p3k3/np1Q4/4P3/2N5/PPPP1PPP/R1B1K2R b KQ -,e6f6 d5a8 a5c6 d2d4 f6f7 c1e3 g8f6 d4d5 c6e5 e3d4
r1b1kb1r/ppp2ppp/2n2n2/1Bq1p3/8/2NPBN2/PPP2PPP/R2QK2R b KQkq -,c5d6 d3d4 c8d7 d1e2 e8a8 e1a1 e5d4 f3d4 c6d4 e3d4
8/6pk/p1p4p/P4Q2/1Pq5/7P/r4PP1/4R1K1 b - -,c5d6 d3d4 c8d7 d1e2 e8a8 e1a1 e5d4 f3d4 c6d4 e3d4
rnbqkbnr/ppp3pp/3p4/5p2/2PQ4/6P1/PP2PPBP/RNB1K1NR b KQkq -,b8c6 d4d2 c8e6 b2b3 d6d5 c4d5 f8b4 b1c3 b4c3 d2c3
8/3k4/1p2ppp1/3p1n2/P2P3P/4P3/N2K1P2/8 b - -,f5h4 a2c1 e6e5 d4e5 h4f3 d2d3 f3e5 d3c3 g6g5 c1e2
8/3k4/1p2ppp1/3p4/PN1P3n/4P3/3K1P2/8 b - -,h4f5 b4a2 f5d6 d2e2 d6e4 f2f3 e4d6 e2f2 g6g5 f2g3
2K5/P7/8/2k5/8/8/1R6/r7 b - -,
8/3k4/1p2ppp1/3p1n2/P2P4/3NP3/3K1P2/8 b - -,g6g5 d2c3 d7e7 d3b4 f5d6 c3d3 e7d7 d3c2 d6e4 b4d3
5R2/r2k1p1P/3P4/1p3b2/5p2/p7/5PPK/2R5 b - -,f5h7 f8f7 d7d6 f7a7 h7g8 a7a6 d6d5 a6a3 d5d4 a3a8
8/3k4/1p2pp2/3p1np1/P2P4/2KNP3/5P2/8 b - -,f5d6 c3b4 d7e7 a4a5 b6a5 b4a5 g5g4 a5b4 d6c4 b4c3
r2q1rkn/pp1b2pp/2n1pb2/3p3P/3P1B2/2N2NP1/PP2BP2/R2Q1RK1 b - -,
2qb1rk1/5ppp/p3b3/2BNP3/3Q1P2/6P1/P6P/5RK1 b - -,e6h3 c5f8 h3f1 g1f1 g8f8 d5e3 d8e7 f1g2 h7h5 d4c4
r1bqkbnr/ppp2ppp/2n5/3pp3/7P/2PP2P1/PP2PP2/RNBQKBNR b KQkq -,h7h6 f1g2 g8f6 g1f3 f8d6 e1h1 c8e6 d1c2 e8h8 e2e4
r1bqk2r/pppp1ppp/2nb1n2/4p3/4P3/2PP1Q2/PP3PPP/RNB1KBNR b KQkq -,d6e7 f3e2 d7d5 e2c2 a7a5 g1f3 e8h8 f1e2 c8e6 e1h1
8/8/1pk1pp2/3p1np1/P2P4/3NP3/3K1P2/8 b - -,f5d6 d2c2 c6b7 c2c3 d6e4 c3c2 b7a6 c2b2 g5g4 b2c2
5k2/8/8/8/5PK1/8/8/8 b - -,f8g8 g4h5 g8f7 h5g5 f7g7 g5f5 g7f7 f5e5 f7e7 f4f5
r3kbnr/pp1q1ppp/2npp3/2p5/4PB2/3P1N2/PPP2PPP/RN1Q1RK1 b kq -,h7h6 f4g3 f8e7 h2h3 g8f6 b1d2 e8h8 a2a4 f6h7 c2c3
r1b1kb1r/ppp2ppp/2n5/3np3/3P4/2P2N2/PP3PPP/RNB1KB1R b KQkq -,e5d4 f1c4 c8e6 f3g5 f8e7 g5e6 f7e6 c4b5 e8a8 b5c6
8/2K5/8/1Q2kn2/8/8/8/8 b - -,e5e4 b5a5 f5d4 c7d6 d4f5 d6c5 e4d3 a5a6 d3d2 a6a2
8/3k4/1p2ppp1/3p1n2/n2P3P/3NPN2/3K1P2/8 b - -,d7e7 d2c2 b6b5 c2b3 a4b6 b3b4 f5d6 d3f4 e7f7 f4d3
r2qkbnr/pp1n2pp/2p1pp2/3p1b2/3P1B2/2P1PN1P/PP1N1PP1/R2QKB1R b KQkq -,d8b6 b2b4 g8e7 a2a3 a7a5 f1e2 e7g6 f4h2 e6e5 e1h1
8/8/1pknpp2/3p2p1/P2P4/3NPP2/3K4/8 b - -,d6c4 d2e2 f6f5 e2f2 c6b7 f2e2 b7a6 d3f2 c4d6 f2h3
rnbqk1nr/1pp2ppp/8/p3N3/QbPp4/8/PB1PPPPP/RN2KB1R b KQkq -,b8c6 e5c6 b7c6 a4c6 c8d7 c6e4 g8e7 e4d4 a8a6 d4g7
r2qkbnr/ppp1pppp/2n5/8/2P3b1/3B1N2/PP3PPP/RNBQ1RK1 b kq -,c6e5 d1a4 d8d7 a4d7 e5d7 b1d2 e7e6 a2a3 a7a5 f1e1
r3k1nr/pppq1ppp/2np4/2b1p3/4P1b1/2NP1N2/PPP1BPPP/R1BQ1RK1 b kq -,g8f6 c3a4 a7a6 a4c5 d6c5 c2c3 c5c4 f3e1 g4e2 d1e2
r1b1kb1r/1p2pppp/p1n2n2/3p4/3P1B2/2NBP2P/Pq2NPP1/R2QK2R b KQkq -,e7e6 a1b1 b2a3 e1h1 a3a5 e3e4 d5e4 c3e4 f6d5 e4d6
8/1k6/1p1npp2/3p2p1/P2P4/4PP2/3K1N2/8 b - -,b7a6 f2g4 f6f5 g4f6 a6a5 f6d7 d6c4 d2d3 g5g4 f3g4
8/6k1/P2p4/2p4p/2P5/7P/4r1n1/1B4RK b - -,g7f7 a6a7 e2e8 g1g2 f7f6 g2a2 d6d5 c4d5 c5c4 a2f2
1rb1rb2/1pR4k/pN1p1Qp1/P2P2B1/4p1P1/8/1P2q1p1/6K1 b - -,e8e7 c7e7 f8e7 f6f7 h7h8 f7e8 h8g7 e8e7 g7g8 e7d8
8/8/kp1npp2/3p2p1/P2PP3/5P2/3K1N2/8 b - -,d5e4 f3e4 a6a5 d2d3 a5a4 d4d5 e6d5 e4d5 f6f5 d3d4
8/1p5r/2pk2r1/p2n1p2/P2Pp3/4P1P1/1P2KPB1/R1R5 b - -,
r1bqkbnr/pp1p1ppp/2p5/4P3/4p3/2N1P3/PPP2PPP/R1BQKB1R b KQkq -,d8e7 c3e4 e7e5 d1d4 e5d4 e3d4 d7d5 e4g3 h7h5 h2h4
r1r3k1/5ppp/2n1p3/2NpP3/3P4/5PK1/3Q2PP/8 b - -,a8b8 d2e3 h7h6 h2h4 b8b4 e3a3 b4d4 h4h5 d4b4 g3h3
8/p7/8/1P6/4K3/6k1/8/8 b - -,g3f2 e4d5 f2e3 d5c5 e3e2 c5d6 e2d3 b5b6 a7b6 d6c6
8/8/kp1npp2/6p1/P2PP3/8/3K1N2/8 b - -,a6a5 d4d5 e6d5 e4d5 f6f5 d2d3 a5a4 d3d4 d6f7 f2d3
8/pp1R4/1k6/4b3/7p/P2N2PK/1r5P/8 b - -,b2a2 d3e5 h4g3 h2g3 b6c5 d7d3 b7b5 g3g4 a2e2 e5f3
8/8/1p1npp2/k5p1/P2PP3/3K4/5N2/8 b - -,a5a4 d4d5 e6d5 e4d5 f6f5 d3d4 d6f7 f2d1 g5g4 d1c3
r2q1rk1/p4pp1/1bp2n1p/5bB1/3N4/5N2/PPP2PPP/R2Q1RK1 b - -,f5e4 g5f6 d8f6 c2c3 c6c5 f1e1 c5d4 e1e4 d4c3 b2c3
1rb2rk1/p1q1bppp/1pnpp3/2pnP3/3PN3/2P2NP1/PP3PBP/R1BQR1K1 b - -,b8b7 c3c4 d6e5 c4d5 e6d5 e4c3 c5d4 c3d5 c7d6 f3d2
8/8/1p1npp2/4P1p1/k2P4/3K4/5N2/8 b - -,f6e5 d4e5 d6f7 f2e4 b6b5 e4c3 a4b4 d3c2 f7e5 c3e4
1r6/3rbkp1/1p2Rp2/pP1p1R1P/N2P2P1/2PK4/6N1/8 b - -,e7d6 e6e1 d6g3 e1e3 g3h2 g4g5 f7g8 g5g6 d7d6 e3e7
8/8/1p1np3/4P1p1/k7/3K4/5N2/8 b - -,d6f7 f2e4 f7e5 d3c3 e5f7 c3b2 a4b4 e4f6 b6b5 f6h5
8/5n2/1p2p3/4P1p1/k2K4/8/5N2/8 b - -,b6b5 f2e4 b5b4 e4d6 f7d8 d4c5 g5g4 d6e4 d8f7 e4d6
1r1Q1rk1/ppq2p2/2b5/2pB3p/2P4P/4P3/PB3PP1/1R3RK1 b - -,f8d8 e3e4 c6d5 e4d5 c7f4 f1e1 d8e8 b2c3 f7f6 e1e8
r3kbnr/pp1b1ppp/2n1p3/qB2P3/4Q3/2N5/PPP2PPP/R1B1K1NR b KQkq -,f8b4 e4c4 b4c3 b2c3 a7a6 b5c6 d7c6 g1e2 a5e5 c1f4
8/8/8/8/1k3P1p/5KpP/8/8 b - -,b4c4 f4f5 c4d5 f3e2 d5e5 f5f6 e5f6 e2f1 f6f5 f1g1
8/p7/8/1P6/7k/4K3/8/8 b - -,h4g3 b5b6 a7b6 e3d3 g3f3 d3c4 f3e3 c4b5 e3e2 b5b6
7k/5p1q/pp3PpR/2pb2Q1/3p1K2/2P5/P5rP/2B1r3 b - -,h4g3 b5b6 a7b6 e3d3 g3f3 d3c4 f3e3 c4b5 e3e2 b5b6
r1b2r2/pn4kp/2p5/2P2p2/1PBB4/8/P4PPP/RN4K1 b - -,f8f6 b1d2 c8d7 a1e1 a8e8 e1e8 d7e8 f2f4 e8f7 g1f2
rn1q1rk1/pp2ppbp/2p2np1/3bN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,d8c8 c3d5 c6d5 c1f4 c8d8 a1c1 e7e6 d1b3 b8d7 b3b7
8/1K1k4/8/P5B1/8/8/2p5/8 b - -,b8d7 e2e4 d5e6 e5f3 e6g4 h2h3 g4f3 d1f3 e7e5 d4d5
8/1p6/6r1/p2k1p2/P2Pp3/1P1n2P1/4KPBr/5RR1 b - -,d5d4 e2d2 g6c6 g3g4 f5f4 g2e4 d4e4 g1h1 h2f2 f1f2
8/3k4/1Q2B3/5K2/8/8/8/8 b - -,d5d4 e2d2 g6c6 g3g4 f5f4 g2e4 d4e4 g1h1 h2f2 f1f2
r1q2rk1/3b1ppp/p3p3/2bpPP2/3B4/1RN5/P1PQ1RPP/6K1 b - -,g8h8 f5f6 f8g8 c3e2 d7b5 b3c3 b5c4 d2g5 a8b8 h2h3
1r6/3rbkp1/1p3p2/pP1p1RPP/N2P1N2/2PK4/8/8 b - -,d7d6 g5g6 f7g8 f4d5 d6e6 f5f1 e7d8 c3c4 e6e8 a4c3
r1bq1rk1/pp3pb1/3p1npp/8/1n1P3B/1Q1B1N2/PP1N1PPP/R4RK1 b - -,b4d5 d3g6 f7g6 h4f6 d8f6 b3d5 f6e6 d5b5 a7a6 b5d3
R4K2/5P2/5k2/8/8/8/5r2/8 b - -,f6g6 a8a6 g6h7 a6a3 f2h2 a3e3 h7g6 f8e7 h2h7 e7e6
3n4/8/1p2p3/4P1p1/k2KN3/8/8/8 b - -,d8f7 d4e3 a4b4 e4f6 f7e5 e3d4 e5f7 f6e8 g5g4 e8c7
rnbqk2r/ppp1npbp/3p2p1/8/3PP3/3B1N1P/PP3PP1/RNBQK2R b KQkq -,d6d5 e4e5 c7c5 d4c5 e8h8 e1h1 b8d7 b1c3 d7c5 f1e1
3n4/8/1p2p3/4P3/k3N1p1/4K3/8/8 b - -,b6b5 e3f4 b5b4 f4g4 b4b3 g4f3 a4b4 f3e3 b3b2 e4d2
2rqbk1r/1p5p/p3p1n1/3pPp2/1P3b2/P2B3P/1Q3PP1/1R2RNK1 b - -,h8g8 b4b5 a6a5 g1h1 d8c7 g2g3 f4e5 b2a2 c7d6 b1c1
r4rk1/p4ppp/2p1b3/bp6/4PBq1/3RN1P1/PPQ2P1P/R5K1 b - -,g4g6 c2c6 a8c8 c6b5 g6e4 f2f3 e4g6 e3d5 a5b6 d5b6
rnbqkbnr/4pppp/pp1p4/2p5/P1B1PP2/2N5/1PPP2PP/R1BQK1NR b KQkq -,b8c6 g1f3 e7e6 d2d4 c5d4 f3d4 d8c7 f4f5 c6d4 d1d4
r1bqr1k1/p1p2pb1/2p2npp/3P4/4P3/2N1BP2/PP2B1PP/R2Q1RK1 b - -,c6d5 e3d4 c7c6 e4d5 f6d5 d4g7 g8g7 d1d4 g7g8 c3d5
3n4/8/4p3/1p2P3/k3NKp1/8/8/8 b - -,b5b4 f4g4 b4b3 g4g5 a4b4 g5f6 b3b2 e4d2 b4c3 d2b1
r1b1kb1r/ppppqppp/2n2n2/8/3Pp3/1P2P3/PBPN1PPP/RN1QKB1R b KQkq -,d7d5 c2c4 c8g4 d1c1 h7h5 a2a3 h8h6 c1c2 e8a8 h2h3
r1bqkb1r/ppp2ppp/2np4/2n5/8/5N2/PPPPBPPP/RNBQ1RK1 b kq -,f8e7 f1e1 e8h8 d2d4 c5e4 c2c4 f8e8 e2d3 e4f6 d4d5
r4rk1/pb3ppp/p3pn2/q1bpN3/NP3B2/2P1P3/P4PPP/R2QK2R b KQ -,c5b4 c3b4 a5b4 e1f1 a8c8 e5d3 b4e7 f1g1 a6a5 f4g5
r1b2rk1/1pq2ppp/p3pn2/2b5/1PP5/6P1/P2Q1PBP/RNB1R1K1 b - -,f8d8 d2c2 c5b4 c1f4 c7a5 e1e5 b4c5 b1d2 c5f2 g1f1
