2b1kr2/p6r/1pB1pQ2/5p2/2pP4/2P5/PP3P2/R5K1 b - -,c2e2 c5c3 d3b5 g8f7 g1f1 c3e3 e2e3 a7e3 b5d7 f7g6
rnbqkbnr/ppp2ppp/8/3pp3/8/P1N5/1PPPPPPP/R1BQKBNR w KQkq -,h2h3 d5d4 c3b1 c8e6 e2e3 c7c5 f1b5 b8d7 e3d4 e5d4
rnbqkbnr/ppp2ppp/4p3/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq -,c7c6 d5e6 c8e6 d2d4 g8f6 g1f3 h7h6 f1d3 f8d6 h2h3
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,c7c6 e2e4 e7e5 h2h3 f8e8 c1e3 e5d4 f3d4 d7c5 d1c2
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,g7g5 f3g5 e7e6 g5f3 b8c6 b1c3 f8g7 g2g3 g8e7 f1g2
r1bqkbnr/pp1p1ppp/2n1p3/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,h7h6 d4d5 c6a5 f1d3 g8f6 e1h1 e6d5 e4e5 f6e4 f1e1
r1bqk1nr/pp1pppbp/2n3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R w KQkq -,a2a4 g7b2 a1a2 b2g7 a4a5 g8f6 b1c3 d7d6 f1e2 e8h8
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq -,d1b3 e5d4 g1f3 d8e7 f1d3 f6e4 e1h1 e4c5 b3c2 c5d3
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq -,g7g5 c1g5 f8g7 e2e3 c7c5 c2c3 d8b6 d1b3 b8c6 b1d2
r1bq1rk1/p4ppp/2pb1n2/3p2B1/8/2NB1Q2/PPP2PPP/R3R1K1 b - -,c8d7 a2a3 h7h6 g5h4 a8b8 b2b4 f8e8 e1e8 d8e8 h2h3
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,d1e2 b8c6 g1f3 g7g6 c2c3 f8g7 e2e3 d7d5 e4d5 d8d5
r3k2r/pBpp1ppp/1p6/2b1Pq2/8/1QPp1P2/PP1P3P/RNBR3K b kq -,c7c6 d1f1 a8b8 b7a6 b6b5 c3c4 b8b6 c4b5 c6b5 b3c3
r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,a2a3 f8e7 b5c6 d7c6 f3e5 e8h8 d2d3 e4d6 f1e1 f8e8
rk6/3QPp1p/p1n2p2/P1b1r3/2p5/2P3P1/5P1P/6K1 w - -,e7e8r e5e8 d7e8 b8c7 e8a8 c6a5 a8a6 c5b6 a6b5 h7h6
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,f8d6 e4d5 g8f6 d5e6 c8e6 g1f3 e8h8 c1e3 b8d7 f1d3
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,c1h6 g7h6 e2e3 f8g7 g1f3 d7d5 f1e2 e8h8 e1h1 c7c5
r1b1k1nr/ppqpppbp/2n3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R w KQkq -,d1d2 g8f6 b1c3 e8h8 f1e2 d7d6 e1h1 a7a5 b3d4 c6d4
